Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,10.43,11.30,10.43,10.65,51000,10.65
2015-02-12,10.14,10.75,9.95,10.70,11100,10.70
2015-02-11,10.00,10.30,9.93,10.05,32400,10.05
2015-02-10,10.10,10.10,9.86,10.06,16800,10.06
2015-02-09,9.97,10.05,9.92,9.99,8400,9.99
2015-02-06,10.00,10.05,9.99,10.05,1100,10.05
2015-02-05,9.99,9.99,9.85,9.94,800,9.94
2015-02-04,9.85,9.88,9.85,9.88,600,9.88
2015-02-03,10.19,10.30,9.81,9.85,6400,9.85
2015-02-02,10.44,10.92,10.14,10.16,3800,10.16
2015-01-30,11.13,11.32,10.41,10.41,68900,10.41
2015-01-29,10.54,11.75,10.54,10.87,95600,10.87
2015-01-28,10.04,10.84,10.04,10.65,65700,10.65
2015-01-27,9.99,10.16,9.99,10.01,1200,10.01
2015-01-26,10.00,10.11,9.76,9.90,6900,9.90
2015-01-23,9.95,9.99,9.82,9.99,51000,9.99
2015-01-22,9.70,9.89,9.68,9.83,4900,9.83
2015-01-21,9.90,10.00,9.53,9.78,6400,9.78
2015-01-20,10.10,10.10,9.94,10.03,3300,10.03
2015-01-16,10.03,10.07,10.03,10.07,500,10.07
2015-01-15,10.37,10.37,9.90,9.90,7200,9.90
2015-01-14,10.23,10.35,10.14,10.33,1700,10.23
2015-01-13,10.60,10.60,10.60,10.60,500,10.50
2015-01-12,10.28,10.30,10.28,10.30,300,10.20
2015-01-09,10.06,10.25,10.06,10.25,800,10.15
2015-01-08,10.00,10.01,9.97,10.01,400,9.91
2015-01-07,10.25,10.25,9.96,9.97,1000,9.87
2015-01-06,10.35,10.55,10.23,10.38,14800,10.28
2015-01-05,10.40,10.58,10.27,10.55,14200,10.45
2015-01-02,10.00,10.66,8.87,10.60,69300,10.50
2014-12-31,10.17,10.20,10.15,10.16,1400,10.06
2014-12-30,10.05,10.05,10.05,10.05,100,9.95
2014-12-29,10.03,10.20,10.00,10.05,3100,9.95
2014-12-26,10.04,10.08,9.97,10.08,4500,9.98
2014-12-24,9.91,9.95,9.91,9.95,500,9.85
2014-12-23,10.25,10.56,10.25,10.55,2200,10.45
2014-12-22,10.02,10.70,9.92,10.68,12300,10.58
2014-12-19,10.01,10.26,9.88,10.23,2200,10.13
2014-12-18,9.98,10.06,9.85,10.00,7600,9.90
2014-12-17,10.43,10.43,9.83,10.16,2000,10.06
2014-12-16,10.28,10.28,9.90,9.90,2400,9.80
2014-12-15,10.28,10.28,10.28,10.28,100,10.18
2014-12-12,9.70,10.22,9.47,10.22,2300,10.12
2014-12-11,10.22,10.27,10.22,10.25,1100,10.15
2014-12-10,10.22,10.22,10.21,10.21,400,10.11
2014-12-09,10.18,10.43,10.04,10.04,9100,9.94
2014-12-08,9.94,10.40,9.68,10.40,17900,10.30
2014-12-05,10.10,10.10,10.10,10.10,000,10.00
2014-12-04,10.10,10.10,10.10,10.10,000,10.00
2014-12-03,10.10,10.10,10.10,10.10,000,10.00
