Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.50,25.70,24.24,25.28,4500,25.28
2015-02-12,26.30,26.30,25.76,25.76,1700,25.76
2015-02-11,25.00,26.30,25.00,25.56,2900,25.56
2015-02-10,26.35,26.35,25.25,25.50,3700,25.50
2015-02-09,24.26,27.50,24.00,26.34,10900,26.34
2015-02-06,25.00,25.00,22.56,24.05,6200,24.05
2015-02-05,26.50,27.00,24.52,24.70,12600,24.70
2015-02-04,24.95,26.22,23.65,24.00,7200,24.00
2015-02-03,22.00,25.99,21.65,25.00,7200,25.00
2015-02-02,18.00,24.00,18.00,23.00,4600,23.00
