Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,20.92,20.92,20.92,20.92,000,20.92
2015-02-12,20.92,20.92,20.92,20.92,200,20.92
2015-02-11,21.32,21.32,20.62,20.62,12900,20.62
2015-02-10,21.05,21.05,21.05,21.05,000,21.05
2015-02-09,21.01,21.09,21.01,21.05,1200,21.05
2015-02-06,20.88,20.88,20.86,20.86,6400,20.86
2015-02-05,20.67,20.83,20.67,20.83,17700,20.83
2015-02-04,21.15,21.15,21.15,21.15,000,21.15
2015-02-03,20.84,21.15,20.84,21.15,4300,21.15
2015-02-02,20.30,20.49,20.26,20.49,5200,20.49
2015-01-30,19.71,20.24,19.70,20.24,1900,20.24
2015-01-29,19.88,19.88,19.88,19.88,000,19.88
2015-01-28,20.07,20.07,19.88,19.88,700,19.88
2015-01-27,20.05,20.16,20.00,20.16,2100,20.16
2015-01-26,20.07,20.07,20.01,20.04,1200,20.04
2015-01-23,20.10,20.22,20.08,20.08,4800,20.08
2015-01-22,20.33,20.33,20.16,20.23,1600,20.23
2015-01-21,20.59,20.59,20.17,20.18,1700,20.18
2015-01-20,20.12,20.14,20.00,20.09,6000,20.09
2015-01-16,20.19,20.34,20.13,20.34,1700,20.34
2015-01-15,20.05,20.08,20.01,20.02,7300,20.02
2015-01-14,19.96,20.28,19.89,20.28,5100,20.28
2015-01-13,20.12,20.12,20.08,20.08,700,20.08
2015-01-12,20.36,20.36,20.17,20.20,800,20.20
2015-01-09,20.96,20.96,20.44,20.44,1900,20.44
2015-01-08,20.53,20.58,20.48,20.54,2800,20.54
2015-01-07,20.69,20.69,20.52,20.53,1200,20.53
2015-01-06,20.80,20.91,20.65,20.65,5500,20.65
2015-01-05,21.05,21.05,20.86,20.90,2500,20.90
2015-01-02,22.38,22.38,21.12,21.16,6700,21.16
2014-12-31,21.22,21.34,21.20,21.34,9100,21.34
2014-12-30,21.58,21.58,21.52,21.54,10300,21.54
2014-12-29,21.87,21.87,21.54,21.54,15200,21.54
2014-12-26,21.86,21.86,21.68,21.73,12400,21.73
2014-12-24,21.81,21.82,21.73,21.75,15700,21.75
2014-12-23,21.86,22.12,21.86,22.07,54300,22.07
2014-12-22,22.27,22.27,21.80,21.80,3700,21.80
2014-12-19,22.06,22.27,21.94,22.27,3500,22.27
2014-12-18,22.25,22.25,21.93,22.03,13300,22.03
2014-12-17,25.00,25.00,22.01,22.01,6100,22.01
2014-12-16,21.80,22.04,21.76,21.85,14100,21.85
2014-12-15,22.33,22.33,21.94,21.94,1700,21.94
2014-12-12,22.48,22.48,22.32,22.33,51700,22.33
2014-12-11,22.60,22.64,22.52,22.53,31400,22.53
2014-12-10,23.30,23.30,22.77,22.77,200,22.77
2014-12-09,22.89,23.08,22.85,23.03,28000,23.03
2014-12-08,22.87,22.91,22.85,22.85,1300,22.85
2014-12-05,23.31,23.31,23.31,23.31,000,23.31
2014-12-04,23.33,23.39,23.29,23.31,22000,23.31
2014-12-03,23.46,23.51,23.36,23.36,1200,23.36
2014-12-02,23.78,23.78,23.46,23.46,1200,23.46
2014-12-01,23.46,23.58,23.45,23.58,6000,23.58
2014-11-28,23.92,23.92,23.51,23.51,3100,23.51
2014-11-26,24.73,24.73,24.73,24.73,100,24.73
2014-11-25,24.90,24.94,24.65,24.66,6600,24.66
2014-11-24,24.88,24.90,24.74,24.77,900,24.77
2014-11-21,24.99,25.00,24.79,24.95,8300,24.95
2014-11-20,24.55,24.55,24.55,24.55,000,24.55
2014-11-19,24.71,24.71,24.55,24.55,2600,24.55
2014-11-18,24.72,24.72,24.59,24.63,12000,24.63
2014-11-17,24.72,24.72,24.72,24.72,200,24.72
2014-11-14,24.56,24.56,24.56,24.56,000,24.56
2014-11-13,24.95,24.95,24.53,24.56,2900,24.56
2014-11-12,25.20,25.20,25.10,25.10,800,25.10
2014-11-11,24.91,25.18,24.91,25.12,8000,25.12
2014-11-10,25.25,25.25,25.12,25.12,5700,25.12
2014-11-07,25.16,25.25,25.16,25.25,500,25.25
