Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,50.68,50.86,50.15,50.65,1305100,50.65
2015-02-12,50.48,50.88,50.06,50.81,600000,50.81
2015-02-11,49.88,50.28,49.66,50.23,721900,50.23
2015-02-10,49.82,50.00,49.54,49.83,1013000,49.83
2015-02-09,50.31,50.53,49.55,49.68,764800,49.68
2015-02-06,51.30,51.45,50.41,50.58,594100,50.58
2015-02-05,50.92,51.45,50.71,51.37,457000,51.37
2015-02-04,50.47,51.08,50.11,50.69,524500,50.69
2015-02-03,50.00,50.63,49.77,50.59,777900,50.59
2015-02-02,50.39,50.39,49.02,49.93,772500,49.93
2015-01-30,50.67,50.95,50.02,50.09,747800,50.09
2015-01-29,50.53,50.99,50.21,50.98,659500,50.98
2015-01-28,51.32,51.48,50.57,50.61,617900,50.61
2015-01-27,50.50,51.27,50.47,51.06,549200,51.06
2015-01-26,51.02,51.23,50.49,51.20,628200,51.20
2015-01-23,51.23,51.49,50.85,51.19,598200,51.19
2015-01-22,50.37,51.48,49.81,51.45,838400,51.45
2015-01-21,50.09,50.40,49.89,50.17,364100,50.17
2015-01-20,50.74,51.00,49.78,50.34,417400,50.34
2015-01-16,49.77,50.36,49.58,50.30,734700,50.30
2015-01-15,50.36,50.45,49.72,49.73,495900,49.73
2015-01-14,49.84,50.58,49.72,50.26,929100,50.26
2015-01-13,50.77,51.25,49.98,50.18,805300,50.18
2015-01-12,50.61,51.00,49.99,50.06,529100,50.06
2015-01-09,50.31,50.46,49.63,50.43,880800,50.43
2015-01-08,49.77,50.41,49.70,50.21,1505300,50.21
2015-01-07,47.81,49.52,47.68,49.39,955000,49.39
2015-01-06,48.57,48.77,47.61,47.84,1435400,47.64
2015-01-05,48.46,48.85,48.22,48.36,592400,48.16
2015-01-02,48.39,48.79,48.25,48.55,751700,48.35
2014-12-31,48.82,48.98,48.07,48.10,399400,47.90
2014-12-30,48.64,48.83,48.43,48.57,477300,48.37
2014-12-29,48.53,48.97,48.39,48.62,528800,48.42
2014-12-26,48.97,49.14,48.71,48.76,255900,48.56
2014-12-24,48.86,48.93,48.65,48.79,257500,48.59
2014-12-23,49.34,49.34,48.45,48.81,482000,48.61
2014-12-22,48.96,49.46,48.95,49.11,453200,48.90
2014-12-19,48.98,49.40,48.69,49.03,1932800,48.83
2014-12-18,48.39,48.76,48.05,48.76,607700,48.56
2014-12-17,47.29,48.04,46.65,47.99,920400,47.79
2014-12-16,47.09,47.67,47.00,47.12,882800,46.92
2014-12-15,47.57,47.89,47.07,47.14,825400,46.94
2014-12-12,47.98,48.40,47.43,47.44,610300,47.24
2014-12-11,48.50,48.80,48.09,48.16,608100,47.96
2014-12-10,48.41,48.74,48.15,48.29,1078800,48.09
2014-12-09,48.21,48.43,48.01,48.34,745300,48.14
2014-12-08,48.72,49.04,48.50,48.57,884900,48.37
2014-12-05,49.41,49.50,48.65,48.74,706100,48.54
2014-12-04,48.70,49.09,48.66,48.98,790700,48.78
2014-12-03,48.24,48.62,48.20,48.59,848100,48.39
2014-12-02,47.96,48.31,47.94,48.26,1216700,48.06
2014-12-01,48.17,48.31,47.89,47.96,799700,47.76
2014-11-28,47.99,48.88,47.72,48.18,384700,47.98
2014-11-26,47.77,47.90,47.55,47.77,426300,47.57
2014-11-25,47.59,47.81,47.35,47.75,1856700,47.55
2014-11-24,46.83,47.70,46.75,47.66,857100,47.46
2014-11-21,47.09,47.22,46.49,46.61,1708700,46.42
2014-11-20,47.00,47.38,46.28,46.77,1513400,46.57
2014-11-19,46.47,46.68,46.18,46.35,1203000,46.16
2014-11-18,46.26,47.09,46.24,46.61,1389900,46.42
2014-11-17,45.75,46.41,45.53,46.26,1209800,46.07
2014-11-14,45.62,45.94,44.99,45.24,827000,45.05
2014-11-13,45.23,45.93,45.23,45.70,1375700,45.51
2014-11-12,44.26,45.13,44.17,45.13,678700,44.94
2014-11-11,44.10,44.36,43.87,44.27,439600,44.08
2014-11-10,44.10,44.32,43.92,44.15,510900,43.97
2014-11-07,44.10,44.20,43.67,43.99,613400,43.81
2014-11-06,43.83,44.25,43.71,44.03,576800,43.85
2014-11-05,43.69,44.00,43.25,43.69,477900,43.51
2014-11-04,42.89,43.38,42.84,43.36,355500,43.18
2014-11-03,43.19,43.25,42.96,43.08,296300,42.90
2014-10-31,43.09,43.27,42.90,43.11,476000,42.93
2014-10-30,42.14,42.66,42.12,42.64,506300,42.46
2014-10-29,42.25,42.56,41.96,42.17,523900,41.99
2014-10-28,42.31,42.31,41.90,42.27,354900,42.09
2014-10-27,41.74,42.22,41.43,42.20,395400,42.02
