Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,29.52,29.67,29.43,29.51,159600,29.51
2015-02-12,29.55,29.75,29.46,29.51,139900,29.51
2015-02-11,29.70,29.71,29.46,29.54,287400,29.54
2015-02-10,29.86,29.88,29.75,29.78,82500,29.78
2015-02-09,29.90,30.10,29.89,29.92,160200,29.73
2015-02-06,30.25,30.30,29.91,29.92,202300,29.73
2015-02-05,30.30,30.32,30.24,30.32,128900,30.13
2015-02-04,30.37,30.42,30.32,30.36,94800,30.17
2015-02-03,30.27,30.48,30.25,30.48,182800,30.29
2015-02-02,30.42,30.42,30.10,30.29,139000,30.10
2015-01-30,30.37,30.41,30.15,30.33,157400,30.14
2015-01-29,30.30,30.42,30.12,30.27,199700,30.08
2015-01-28,30.44,30.50,30.25,30.30,130600,30.11
2015-01-27,30.43,30.54,30.30,30.52,106200,30.33
2015-01-26,30.62,30.62,30.32,30.45,161300,30.26
2015-01-23,30.48,30.73,30.48,30.65,86300,30.45
2015-01-22,30.52,30.62,30.37,30.61,187100,30.41
2015-01-21,30.30,30.57,30.25,30.48,275300,30.29
2015-01-20,30.06,30.25,30.05,30.22,267700,30.03
2015-01-16,30.24,30.24,29.98,30.05,256800,29.86
2015-01-15,29.74,30.06,29.70,29.98,134200,29.79
2015-01-14,29.41,29.77,29.41,29.72,261500,29.53
2015-01-13,30.04,30.15,29.61,29.92,193200,29.73
2015-01-12,29.88,30.10,29.86,30.04,133200,29.85
2015-01-09,29.89,30.05,29.89,30.00,72500,29.81
2015-01-08,30.04,30.25,29.88,29.89,191500,29.70
2015-01-07,30.30,30.30,30.04,30.05,165300,29.67
2015-01-06,29.86,30.17,29.86,30.09,141100,29.71
2015-01-05,30.25,30.39,29.88,29.89,309700,29.51
2015-01-02,30.82,30.85,30.40,30.43,131500,30.04
2014-12-31,30.26,31.16,30.26,30.74,370300,30.35
2014-12-30,30.40,30.51,30.21,30.35,191800,29.96
2014-12-29,30.74,30.81,30.44,30.44,214800,30.05
2014-12-26,30.44,30.76,30.41,30.70,198700,30.31
2014-12-24,30.25,30.42,30.21,30.38,187500,29.99
2014-12-23,32.38,32.41,31.90,32.02,289500,29.80
2014-12-22,32.74,32.87,32.00,32.29,367900,30.05
2014-12-19,31.61,32.79,31.59,32.66,549900,30.40
2014-12-18,31.35,32.00,31.07,31.55,429600,29.36
2014-12-17,30.82,31.74,30.70,30.94,431300,28.80
2014-12-16,30.90,31.55,30.53,30.85,314000,28.71
2014-12-15,31.66,31.79,30.91,31.06,374600,28.91
2014-12-12,31.71,31.82,31.40,31.53,199900,29.34
2014-12-11,31.37,31.96,31.37,31.92,158000,29.71
2014-12-10,32.05,32.05,31.30,31.49,261600,29.31
2014-12-09,31.97,32.05,31.85,32.05,146700,29.83
2014-12-08,32.49,32.58,32.19,32.19,146100,29.78
2014-12-05,32.84,32.96,32.37,32.52,187500,30.09
2014-12-04,32.75,33.04,32.74,32.88,100000,30.42
2014-12-03,32.92,33.00,32.70,32.85,204500,30.39
2014-12-02,32.87,33.12,32.78,32.97,223800,30.50
2014-12-01,32.89,32.99,32.75,32.88,172000,30.42
2014-11-28,32.95,33.01,32.79,33.01,36700,30.54
2014-11-26,32.89,33.09,32.81,32.98,189200,30.51
2014-11-25,32.70,32.86,32.66,32.79,133300,30.34
2014-11-24,32.57,32.83,32.49,32.83,175200,30.37
2014-11-21,32.43,32.59,32.31,32.55,136200,30.11
2014-11-20,32.07,32.44,32.07,32.41,132700,29.98
2014-11-19,31.97,32.17,31.95,32.10,93900,29.70
2014-11-18,32.06,32.11,31.90,32.01,292900,29.61
2014-11-17,32.17,32.20,32.00,32.03,283600,29.63
2014-11-14,32.16,32.22,32.12,32.22,95500,29.81
2014-11-13,32.25,32.27,32.15,32.17,112500,29.76
2014-11-12,32.20,32.27,32.14,32.24,69600,29.83
2014-11-11,32.20,32.29,32.08,32.21,131000,29.80
2014-11-10,32.24,32.27,32.14,32.24,100700,29.83
2014-11-07,32.08,32.37,32.05,32.29,132900,29.70
2014-11-06,32.11,32.20,32.07,32.14,118000,29.56
2014-11-05,32.06,32.25,32.06,32.12,206800,29.54
2014-11-04,32.15,32.47,31.99,32.00,255400,29.43
2014-11-03,32.17,32.38,32.14,32.23,127500,29.64
2014-10-31,32.05,32.27,31.97,32.09,128400,29.51
2014-10-30,31.88,32.37,31.85,31.98,124900,29.41
2014-10-29,32.36,32.39,31.87,32.03,151000,29.46
2014-10-28,32.12,32.35,32.12,32.34,180700,29.74
2014-10-27,31.86,32.18,31.80,32.13,156900,29.55
2014-10-24,31.59,31.94,31.56,31.87,144000,29.31
2014-10-23,31.80,31.80,31.52,31.59,126000,29.05
2014-10-22,31.52,31.76,31.39,31.57,260300,29.03
2014-10-21,31.34,31.70,31.30,31.64,215900,29.10
2014-10-20,31.56,31.64,31.28,31.34,246600,28.82
2014-10-17,31.64,31.75,31.52,31.56,150400,29.03
2014-10-16,31.10,31.61,31.10,31.38,244800,28.86
2014-10-15,31.57,31.58,31.04,31.33,371900,28.81
2014-10-14,31.57,31.90,31.57,31.58,204000,29.04
2014-10-13,31.86,31.87,31.50,31.57,244600,29.03
2014-10-10,32.00,32.05,31.66,31.75,347600,29.20
2014-10-09,32.63,32.65,31.99,32.00,290300,29.43
2014-10-08,32.46,32.89,32.45,32.73,280800,29.93
2014-10-07,32.17,32.63,32.14,32.57,211800,29.78
2014-10-06,32.36,32.66,32.23,32.44,348300,29.66
2014-10-03,31.70,32.30,31.68,32.13,413100,29.38
2014-10-02,31.63,31.89,31.56,31.74,388500,29.02
2014-10-01,31.71,31.79,31.51,31.77,334100,29.05
2014-09-30,31.57,31.72,30.69,31.56,680200,28.86
2014-09-29,31.61,31.80,31.52,31.59,872900,28.88
2014-09-26,31.18,31.96,31.08,31.81,1593600,29.08
2014-09-25,32.16,32.20,31.94,32.10,183100,29.35
2014-09-24,32.40,32.48,32.10,32.16,290700,29.40
2014-09-23,32.52,32.57,32.39,32.44,119700,29.66
2014-09-22,32.79,32.79,32.40,32.48,95200,29.70
2014-09-19,32.66,32.83,32.65,32.79,99000,29.98
2014-09-18,32.70,32.76,32.55,32.59,115800,29.80
2014-09-17,32.56,32.75,32.48,32.70,143800,29.90
2014-09-16,32.40,32.65,32.34,32.60,111300,29.81
2014-09-15,32.38,32.53,32.29,32.49,195800,29.71
2014-09-12,32.90,32.90,32.34,32.43,132900,29.65
2014-09-11,32.97,33.03,32.85,32.90,98300,30.08
2014-09-10,33.06,33.06,32.84,33.03,117400,30.20
2014-09-09,33.35,33.43,33.03,33.21,171300,30.19
2014-09-08,33.23,33.37,33.17,33.35,149800,30.32
2014-09-05,33.15,33.25,33.05,33.23,101700,30.21
2014-09-04,33.12,33.16,33.00,33.16,112500,30.14
2014-09-03,32.94,33.17,32.82,33.17,245500,30.15
2014-09-02,32.64,32.89,32.58,32.82,143200,29.84
2014-08-29,32.52,32.68,32.50,32.67,146600,29.70
