Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,15.38,15.78,15.32,15.55,35800,15.55
2015-02-12,15.15,15.41,15.15,15.35,26000,15.35
2015-02-11,15.19,15.20,15.15,15.20,10700,15.20
2015-02-10,15.25,15.25,15.15,15.16,15000,15.16
2015-02-09,15.35,15.35,15.15,15.16,31900,15.16
2015-02-06,15.35,15.36,15.21,15.25,23600,15.25
2015-02-05,15.43,15.43,15.31,15.35,9700,15.35
2015-02-04,15.20,15.42,15.20,15.34,18000,15.34
2015-02-03,15.17,15.31,15.17,15.30,14600,15.30
2015-02-02,15.30,15.30,15.12,15.27,7800,15.27
2015-01-30,15.27,15.60,15.15,15.25,19000,15.25
2015-01-29,15.14,15.22,15.10,15.21,13800,15.21
2015-01-28,15.19,15.24,14.88,15.10,20300,15.10
2015-01-27,15.00,15.28,15.00,15.19,17600,15.19
2015-01-26,14.92,15.09,14.92,15.00,11900,15.00
2015-01-23,14.79,14.95,14.79,14.91,14600,14.91
2015-01-22,14.74,14.88,14.71,14.78,10600,14.78
2015-01-21,14.83,14.86,14.71,14.71,29900,14.71
2015-01-20,15.04,15.04,14.91,15.02,24200,14.93
2015-01-16,14.78,14.95,14.74,14.95,12900,14.86
2015-01-15,14.96,14.96,14.82,14.87,23900,14.78
2015-01-14,14.84,14.92,14.76,14.92,21700,14.83
2015-01-13,14.72,14.92,14.72,14.82,20900,14.73
2015-01-12,14.56,14.83,14.56,14.75,10500,14.66
2015-01-09,14.45,14.64,14.39,14.59,16800,14.50
2015-01-08,14.31,14.46,14.31,14.45,16900,14.36
2015-01-07,14.16,14.43,14.16,14.34,18400,14.25
2015-01-06,14.09,14.23,13.99,14.19,28900,14.10
2015-01-05,14.10,14.10,13.97,14.04,23200,13.96
2015-01-02,14.13,14.21,14.02,14.10,48300,14.02
2014-12-31,14.61,14.64,13.95,14.08,94100,14.00
2014-12-30,14.51,14.56,14.47,14.56,8100,14.47
2014-12-29,14.57,14.60,14.46,14.60,12700,14.51
2014-12-26,14.55,14.65,14.48,14.57,12500,14.48
2014-12-24,14.78,14.78,14.58,14.58,5200,14.49
2014-12-23,14.76,14.84,14.66,14.69,21000,14.60
2014-12-22,15.05,15.05,14.72,14.82,30600,14.73
2014-12-19,14.75,14.98,14.71,14.76,22000,14.67
2014-12-18,14.92,14.92,14.76,14.83,19600,14.65
2014-12-17,14.59,14.73,14.57,14.73,13900,14.55
2014-12-16,14.50,14.65,14.38,14.56,37000,14.38
2014-12-15,14.66,14.75,14.47,14.47,31900,14.30
2014-12-12,14.57,14.76,14.57,14.70,26200,14.52
2014-12-11,14.60,14.76,14.56,14.69,21900,14.51
2014-12-10,14.60,14.68,14.55,14.61,17600,14.43
