Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,27.02,27.15,26.89,27.11,3222300,27.11
2015-02-12,26.71,27.07,26.69,27.05,3554900,27.05
2015-02-11,26.45,26.75,26.44,26.67,2686300,26.67
2015-02-10,26.50,26.55,26.32,26.46,2997400,26.46
2015-02-09,26.22,26.45,26.14,26.34,2597800,26.34
2015-02-06,26.40,26.53,26.19,26.38,3732600,26.38
2015-02-05,26.16,26.40,25.95,26.38,3472500,26.38
2015-02-04,26.00,26.28,25.97,26.10,3317100,26.10
2015-02-03,25.83,26.29,25.75,26.10,4049200,26.10
2015-02-02,25.46,25.87,25.23,25.85,3720300,25.85
2015-01-30,26.37,26.50,25.94,25.95,4914100,25.26
2015-01-29,26.58,26.69,26.20,26.65,3264500,25.95
2015-01-28,27.09,27.35,26.51,26.53,5805800,25.83
2015-01-27,26.63,26.92,26.53,26.69,2349900,25.98
2015-01-26,26.47,26.89,26.35,26.87,2921000,26.16
2015-01-23,26.73,26.77,26.48,26.49,1641300,25.79
2015-01-22,26.39,26.75,26.17,26.69,2516500,25.98
2015-01-21,26.21,26.37,26.03,26.19,2762600,25.50
2015-01-20,26.55,26.62,26.14,26.32,1983400,25.62
2015-01-16,26.07,26.37,25.97,26.37,4180900,25.67
2015-01-15,26.05,26.35,26.05,26.27,5020000,25.58
2015-01-14,26.40,26.44,25.96,26.03,6148900,25.34
2015-01-13,26.77,27.05,26.45,26.50,3459800,25.80
2015-01-12,26.89,26.99,26.45,26.54,2811100,25.84
2015-01-09,27.50,27.50,26.87,26.92,4678600,26.21
2015-01-08,27.17,27.51,27.10,27.50,2748100,26.77
2015-01-07,26.68,26.96,26.58,26.96,3606300,26.25
2015-01-06,26.75,26.82,26.39,26.41,3639400,25.71
2015-01-05,26.86,26.91,26.63,26.74,3425600,26.03
2015-01-02,27.09,27.23,26.78,27.04,2849900,26.33
2014-12-31,27.26,27.34,26.97,26.99,2253500,26.28
2014-12-30,27.13,27.28,27.02,27.22,1540200,26.50
2014-12-29,26.98,27.26,26.89,27.12,1415700,26.40
2014-12-26,27.02,27.13,26.92,27.01,1073200,26.30
2014-12-24,27.06,27.06,26.92,26.92,938500,26.21
2014-12-23,26.88,27.06,26.83,26.97,2266600,26.26
2014-12-22,26.64,26.84,26.54,26.74,2468900,26.03
2014-12-19,26.80,26.96,26.56,26.56,5573100,25.86
2014-12-18,26.44,26.76,26.27,26.76,3960100,26.05
2014-12-17,25.84,26.22,25.71,26.18,3922500,25.49
2014-12-16,26.03,26.11,25.44,25.75,8482800,25.07
2014-12-15,26.58,26.60,25.97,26.24,4084700,25.55
2014-12-12,26.70,26.85,26.39,26.39,3467200,25.69
2014-12-11,26.76,27.09,26.76,26.85,7369400,26.14
2014-12-10,26.84,27.01,26.70,26.76,7133300,26.05
2014-12-09,27.14,27.18,26.78,26.83,8200600,26.12
2014-12-08,27.30,27.48,27.23,27.28,4891000,26.56
2014-12-05,27.28,27.38,27.19,27.26,2888600,26.54
2014-12-04,27.23,27.34,27.12,27.22,3319500,26.50
2014-12-03,27.20,27.41,27.15,27.21,4923200,26.49
2014-12-02,27.08,27.33,27.08,27.26,2952100,26.54
2014-12-01,27.16,27.29,27.01,27.10,3322800,26.38
2014-11-28,27.35,27.52,27.23,27.24,1186500,26.52
2014-11-26,27.20,27.26,27.10,27.24,1431400,26.52
2014-11-25,27.34,27.39,27.09,27.22,2193200,26.50
2014-11-24,27.40,27.46,27.22,27.33,2051900,26.61
2014-11-21,27.32,27.38,27.14,27.35,2639600,26.63
