Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,11.33,11.35,11.31,11.34,83100,11.29
2015-02-12,11.31,11.35,11.30,11.32,70900,11.27
2015-02-11,11.29,11.31,11.28,11.30,54100,11.25
2015-02-10,11.26,11.35,11.24,11.31,84400,11.26
2015-02-09,11.23,11.31,11.23,11.27,99700,11.22
2015-02-06,11.27,11.29,11.23,11.28,61800,11.23
2015-02-05,11.23,11.30,11.23,11.26,68400,11.21
2015-02-04,11.20,11.26,11.19,11.26,56400,11.21
2015-02-03,11.20,11.27,11.19,11.23,73700,11.18
2015-02-02,11.20,11.22,11.17,11.19,86100,11.14
2015-01-30,11.19,11.26,11.18,11.19,53300,11.14
2015-01-29,11.20,11.23,11.18,11.22,80800,11.17
2015-01-28,11.24,11.25,11.20,11.23,144900,11.18
2015-01-27,11.21,11.25,11.19,11.25,40800,11.20
2015-01-26,11.21,11.27,11.21,11.25,86100,11.20
2015-01-23,11.18,11.26,11.17,11.24,39700,11.19
2015-01-22,11.23,11.25,11.18,11.21,119900,11.16
2015-01-21,11.12,11.18,11.12,11.18,74200,11.13
2015-01-20,11.16,11.18,11.10,11.14,65000,11.09
2015-01-16,11.09,11.17,11.09,11.17,73300,11.12
2015-01-15,11.15,11.18,11.10,11.11,72500,11.06
2015-01-14,11.03,11.17,11.02,11.16,85300,11.11
2015-01-13,11.22,11.25,11.15,11.21,77400,11.16
2015-01-12,11.22,11.27,11.20,11.24,80900,11.19
2015-01-09,11.25,11.30,11.25,11.25,54300,11.20
2015-01-08,11.22,11.30,11.21,11.30,40600,11.25
2015-01-07,11.23,11.25,11.20,11.20,60600,11.15
2015-01-06,11.20,11.24,11.20,11.20,59000,11.15
2015-01-05,11.34,11.34,11.16,11.24,104700,11.19
2015-01-02,11.34,11.43,11.26,11.40,75400,11.34
2014-12-31,11.21,11.38,11.16,11.38,264600,11.32
2014-12-30,11.20,11.23,11.18,11.23,84200,11.18
2014-12-29,11.28,11.28,11.20,11.25,109100,11.20
2014-12-26,11.24,11.35,11.21,11.35,64600,11.24
2014-12-24,11.23,11.28,11.23,11.25,62900,11.14
2014-12-23,11.28,11.32,11.25,11.28,90500,11.17
2014-12-22,11.26,11.29,11.15,11.26,176400,11.15
2014-12-19,11.24,11.31,11.21,11.29,176900,11.18
2014-12-18,11.19,11.30,11.19,11.27,148400,11.16
2014-12-17,11.03,11.22,11.02,11.19,154900,11.08
2014-12-16,11.08,11.12,11.02,11.09,121800,10.98
2014-12-15,11.20,11.20,11.16,11.16,107900,11.05
2014-12-12,11.19,11.23,11.19,11.20,102500,11.09
2014-12-11,11.25,11.31,11.23,11.27,129600,11.16
2014-12-10,11.22,11.27,11.20,11.27,193800,11.16
2014-12-09,11.20,11.32,11.20,11.32,103300,11.16
2014-12-08,11.31,11.33,11.27,11.29,160500,11.13
2014-12-05,11.38,11.41,11.29,11.32,164100,11.16
2014-12-04,11.34,11.42,11.34,11.40,111200,11.23
2014-12-03,11.33,11.38,11.33,11.38,80500,11.22
2014-12-02,11.33,11.38,11.33,11.36,52400,11.20
2014-12-01,11.29,11.37,11.29,11.36,62400,11.20
2014-11-28,11.33,11.37,11.32,11.36,47400,11.20
2014-11-26,11.34,11.37,11.32,11.35,81700,11.19
2014-11-25,11.34,11.38,11.31,11.36,94200,11.20
2014-11-24,11.39,11.40,11.33,11.37,115200,11.21
2014-11-21,11.43,11.44,11.41,11.41,109800,11.24
2014-11-20,11.34,11.41,11.34,11.41,88700,11.24
2014-11-19,11.40,11.42,11.36,11.40,73000,11.23
2014-11-18,11.41,11.45,11.41,11.41,101100,11.24
2014-11-17,11.44,11.50,11.42,11.43,169300,11.26
2014-11-14,11.46,11.51,11.45,11.48,89800,11.31
2014-11-13,11.45,11.51,11.44,11.47,45500,11.30
2014-11-12,11.40,11.52,11.40,11.50,59200,11.28
2014-11-11,11.42,11.50,11.37,11.47,133600,11.25
2014-11-10,11.43,11.49,11.43,11.46,49200,11.24
2014-11-07,11.42,11.48,11.42,11.45,52000,11.23
