Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,12.29,12.34,12.27,12.29,81100,12.29
2015-02-12,12.26,12.31,12.26,12.29,67100,12.29
2015-02-11,12.31,12.31,12.25,12.26,175300,12.26
2015-02-10,12.38,12.38,12.26,12.29,184100,12.29
2015-02-09,12.48,12.50,12.43,12.46,117300,12.39
2015-02-06,12.57,12.57,12.40,12.41,207100,12.35
2015-02-05,12.60,12.64,12.56,12.58,145500,12.51
2015-02-04,12.68,12.68,12.56,12.64,262400,12.57
2015-02-03,12.78,12.81,12.68,12.68,213100,12.61
2015-02-02,12.73,12.85,12.73,12.81,211000,12.74
2015-01-30,12.66,12.74,12.66,12.73,107500,12.66
2015-01-29,12.58,12.63,12.56,12.63,147900,12.56
2015-01-28,12.50,12.59,12.50,12.53,157700,12.46
2015-01-27,12.42,12.54,12.40,12.44,200000,12.38
2015-01-26,12.38,12.43,12.36,12.41,137900,12.35
2015-01-23,12.35,12.39,12.34,12.35,137600,12.29
2015-01-22,12.34,12.36,12.30,12.34,206900,12.28
2015-01-21,12.33,12.34,12.31,12.32,153500,12.26
2015-01-20,12.28,12.32,12.26,12.31,141400,12.25
2015-01-16,12.37,12.39,12.21,12.22,161500,12.16
2015-01-15,12.30,12.37,12.25,12.34,156900,12.28
2015-01-14,12.23,12.28,12.23,12.27,126500,12.21
2015-01-13,12.18,12.22,12.16,12.21,115200,12.15
2015-01-12,12.22,12.22,12.15,12.16,102300,12.10
2015-01-09,12.08,12.18,12.07,12.18,109300,12.12
2015-01-08,12.12,12.12,12.01,12.05,157100,11.99
2015-01-07,12.11,12.25,12.11,12.15,234300,12.02
2015-01-06,12.02,12.12,12.02,12.05,272800,11.92
2015-01-05,11.96,12.00,11.89,12.00,311500,11.87
2015-01-02,11.91,11.99,11.85,11.99,171900,11.86
2014-12-31,11.85,11.89,11.83,11.88,198000,11.75
2014-12-30,11.88,11.88,11.81,11.88,139400,11.75
2014-12-29,11.78,11.90,11.77,11.89,182800,11.76
2014-12-26,11.79,11.80,11.75,11.77,168700,11.65
2014-12-24,11.79,11.82,11.79,11.80,78600,11.68
2014-12-23,11.89,11.89,11.75,11.77,261100,11.65
2014-12-22,11.83,11.86,11.74,11.78,191400,11.66
2014-12-19,11.83,11.83,11.79,11.82,125100,11.70
2014-12-18,11.81,11.83,11.77,11.82,161500,11.70
2014-12-17,11.77,11.81,11.76,11.79,129500,11.67
2014-12-16,11.76,11.80,11.73,11.80,103800,11.68
2014-12-15,11.82,11.83,11.74,11.78,122100,11.66
2014-12-12,11.76,11.83,11.75,11.79,164800,11.67
2014-12-11,11.87,11.90,11.80,11.80,99900,11.68
2014-12-10,11.84,11.92,11.84,11.87,87800,11.74
2014-12-09,11.86,11.91,11.84,11.84,108100,11.72
2014-12-08,11.91,11.95,11.84,11.92,162100,11.73
2014-12-05,11.98,11.99,11.81,11.87,241300,11.68
2014-12-04,11.96,12.00,11.96,11.99,104400,11.80
2014-12-03,11.95,12.00,11.94,12.00,160300,11.81
2014-12-02,11.90,11.96,11.88,11.95,159000,11.76
2014-12-01,11.90,11.94,11.88,11.89,117200,11.70
2014-11-28,11.88,11.93,11.88,11.90,26500,11.71
2014-11-26,11.79,11.88,11.79,11.85,152800,11.66
2014-11-25,11.77,11.82,11.77,11.79,116500,11.60
2014-11-24,11.74,11.83,11.74,11.77,150100,11.58
2014-11-21,11.76,11.78,11.74,11.74,99300,11.55
2014-11-20,11.76,11.79,11.74,11.75,123400,11.56
2014-11-19,11.73,11.79,11.73,11.74,96900,11.55
2014-11-18,11.78,11.81,11.73,11.74,76800,11.55
2014-11-17,11.82,11.84,11.78,11.78,82700,11.59
2014-11-14,11.84,11.86,11.80,11.84,133600,11.65
2014-11-13,11.82,11.86,11.81,11.82,63600,11.63
2014-11-12,11.82,11.85,11.82,11.82,70900,11.63
2014-11-11,11.85,11.85,11.82,11.82,63500,11.63
2014-11-10,11.89,11.89,11.85,11.88,108400,11.69
2014-11-07,11.87,11.93,11.87,11.92,105300,11.67
2014-11-06,11.92,11.92,11.86,11.89,120200,11.64
2014-11-05,11.88,11.93,11.87,11.90,111900,11.65
2014-11-04,11.84,11.90,11.83,11.89,92600,11.64
2014-11-03,11.83,11.87,11.82,11.86,162300,11.61
2014-10-31,11.85,11.85,11.78,11.80,75400,11.55
2014-10-30,11.84,11.85,11.77,11.83,65900,11.58
2014-10-29,11.82,11.84,11.80,11.83,109300,11.58
2014-10-28,11.77,11.80,11.73,11.80,91200,11.55
2014-10-27,11.75,11.77,11.72,11.75,51900,11.50
2014-10-24,11.72,11.76,11.71,11.72,47400,11.47
2014-10-23,11.74,11.74,11.70,11.70,95300,11.45
2014-10-22,11.74,11.76,11.69,11.73,72900,11.48
2014-10-21,11.76,11.77,11.68,11.74,74600,11.49
2014-10-20,11.76,11.83,11.76,11.76,68600,11.51
2014-10-17,11.79,11.85,11.77,11.77,72800,11.52
2014-10-16,11.73,11.81,11.65,11.79,174400,11.54
2014-10-15,11.62,11.75,11.60,11.73,232800,11.48
2014-10-14,11.63,11.64,11.60,11.60,142300,11.35
2014-10-13,11.58,11.67,11.58,11.63,178100,11.38
2014-10-10,11.70,11.74,11.67,11.68,108900,11.43
