Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,91.46,92.58,91.33,92.38,2737100,92.38
2015-02-12,90.30,91.56,89.88,91.56,2227800,91.56
2015-02-11,89.86,90.03,89.23,89.79,1515000,89.79
2015-02-10,90.27,90.55,89.45,90.20,1485400,90.20
2015-02-09,89.50,90.33,89.36,89.51,2212800,89.51
2015-02-06,90.13,91.79,89.80,90.44,3597900,90.44
2015-02-05,87.88,88.93,87.77,88.82,2571800,88.82
2015-02-04,87.23,88.46,87.23,87.75,3292900,87.75
2015-02-03,86.69,87.70,86.58,87.61,2546100,87.61
2015-02-02,85.01,86.39,84.29,86.18,2625700,86.18
2015-01-30,84.45,85.81,84.18,84.54,4301200,84.54
2015-01-29,83.65,85.54,83.58,85.54,3586700,85.54
2015-01-28,85.96,86.23,83.62,83.65,2668200,83.65
2015-01-27,85.76,86.28,85.19,85.50,2218500,85.50
2015-01-26,86.00,86.85,85.74,86.78,1860900,86.78
2015-01-23,86.78,87.23,86.25,86.28,2841300,86.28
2015-01-22,85.31,87.31,85.10,87.06,3769900,87.06
2015-01-21,83.94,85.55,83.66,84.78,3550200,84.78
2015-01-20,84.73,85.45,84.12,84.62,5253300,84.62
2015-01-16,82.87,84.91,82.60,84.44,4161900,84.44
2015-01-15,83.00,83.39,82.07,82.42,4730100,82.42
2015-01-14,83.17,83.98,81.84,83.00,6015400,83.00
2015-01-13,86.15,87.01,84.14,84.52,3583500,84.52
2015-01-12,86.68,86.96,85.85,86.16,2544000,85.68
2015-01-09,88.43,88.46,86.61,86.77,2351600,86.29
2015-01-08,87.49,88.59,87.45,88.42,2116700,87.93
2015-01-07,86.81,87.27,86.09,86.75,2249200,86.27
2015-01-06,88.35,89.32,85.38,85.76,4422100,85.28
2015-01-05,90.21,90.63,88.02,88.04,3411700,87.55
2015-01-02,91.84,92.10,89.88,90.82,2083400,90.31
2014-12-31,92.59,92.86,91.18,91.23,2369900,90.72
2014-12-30,92.53,92.81,92.24,92.42,2830200,91.91
2014-12-29,92.18,93.30,91.89,92.67,2013700,92.15
2014-12-26,92.56,93.20,92.49,92.51,1203800,91.99
2014-12-24,92.55,93.25,92.42,92.58,1312000,92.06
2014-12-23,92.27,93.45,92.13,92.93,2589200,92.41
2014-12-22,91.71,92.28,91.64,91.85,2191300,91.34
2014-12-19,92.64,93.05,91.63,91.71,6390100,91.20
2014-12-18,90.78,92.36,90.48,92.36,4160600,91.85
2014-12-17,87.60,89.51,87.35,89.44,3745900,88.94
2014-12-16,86.83,88.49,86.58,86.85,3623200,86.37
2014-12-15,88.31,88.69,86.85,87.44,2952500,86.95
2014-12-12,88.05,88.95,87.63,87.74,2723200,87.25
2014-12-11,89.04,90.11,88.76,88.95,2196600,88.45
2014-12-10,90.37,90.90,88.74,88.77,2774500,88.28
2014-12-09,89.42,90.83,89.24,90.82,1883900,90.31
2014-12-08,90.11,90.98,89.63,90.33,2115000,89.83
2014-12-05,88.84,90.43,88.76,90.18,2227100,89.68
2014-12-04,88.12,88.48,87.75,88.37,1508700,87.88
2014-12-03,87.50,88.40,87.44,88.33,1718200,87.84
2014-12-02,86.60,87.90,86.57,87.50,1492900,87.01
2014-12-01,87.37,87.37,86.08,86.59,2148500,86.11
2014-11-28,88.44,88.48,87.34,87.47,820000,86.98
2014-11-26,87.98,88.26,87.54,88.06,1103800,87.57
2014-11-25,88.21,88.35,87.61,88.16,1944400,87.67
2014-11-24,87.32,88.11,87.32,87.98,1754100,87.49
2014-11-21,87.80,87.97,86.75,86.85,3200300,86.37
2014-11-20,86.56,86.93,86.27,86.93,2401400,86.45
2014-11-19,87.63,87.63,86.45,87.07,2577300,86.58
2014-11-18,87.27,87.78,87.22,87.43,2028400,86.94
2014-11-17,87.40,87.40,86.92,87.28,1924500,86.79
2014-11-14,87.57,87.98,87.21,87.41,1341100,86.92
2014-11-13,88.09,88.17,87.44,87.83,1561700,87.34
2014-11-12,87.62,88.19,87.60,88.04,1943800,87.55
2014-11-11,88.80,88.84,88.11,88.24,1565300,87.75
2014-11-10,88.12,88.73,88.12,88.68,1541200,88.19
2014-11-07,88.10,88.85,87.87,88.45,1660300,87.96
2014-11-06,87.49,88.39,87.44,88.38,1568600,87.89
2014-11-05,87.45,87.70,87.03,87.64,1409100,87.15
2014-11-04,86.72,86.98,86.12,86.95,1449400,86.47
2014-11-03,86.71,86.94,86.26,86.54,1432700,86.06
2014-10-31,86.02,86.64,86.02,86.39,2261800,85.91
2014-10-30,84.79,85.74,84.22,85.42,1485700,84.94
2014-10-29,83.95,84.95,83.70,84.80,2135500,84.33
2014-10-28,82.99,84.09,82.91,84.09,1510600,83.62
2014-10-27,82.79,82.93,82.10,82.86,1470800,82.40
2014-10-24,81.69,82.61,81.32,82.52,1641600,82.06
2014-10-23,81.73,82.25,81.40,81.56,1849600,81.11
2014-10-22,81.27,82.28,80.97,81.02,2275400,80.57
2014-10-21,80.13,81.29,80.11,81.16,2506400,80.71
2014-10-20,79.28,79.97,79.16,79.64,2416800,79.20
2014-10-17,79.52,80.19,78.98,79.77,3683400,79.33
2014-10-16,76.72,79.28,76.69,78.87,4814900,78.43
2014-10-15,80.94,81.39,77.13,78.00,7995000,77.57
2014-10-14,81.18,82.25,81.08,81.59,3686000,81.14
2014-10-13,81.95,82.61,81.00,81.05,2259900,80.60
2014-10-10,82.77,83.54,81.69,81.73,2933800,81.27
2014-10-09,84.89,84.95,82.89,83.02,2936200,82.08
2014-10-08,83.28,84.90,83.27,84.83,1878700,83.87
2014-10-07,84.52,84.73,83.24,83.26,2260300,82.32
2014-10-06,85.47,85.88,84.99,85.01,2246400,84.05
2014-10-03,84.86,85.49,84.81,85.01,2458500,84.05
2014-10-02,84.08,84.43,83.15,84.21,2654700,83.26
2014-10-01,85.58,85.70,84.31,84.58,2398700,83.62
2014-09-30,85.94,86.35,85.40,85.58,2491800,84.61
2014-09-29,85.02,85.88,85.02,85.69,1694800,84.72
2014-09-26,85.41,86.04,85.33,85.88,1366400,84.91
2014-09-25,86.59,86.63,85.45,85.46,2362900,84.49
2014-09-24,86.10,86.71,85.88,86.67,1874900,85.69
2014-09-23,87.21,87.47,86.00,86.00,3095200,85.03
