Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,68.80,69.81,68.80,69.78,22200,69.78
2015-02-12,68.14,69.00,68.14,68.87,27700,68.87
2015-02-11,67.62,67.89,67.57,67.73,13900,67.73
2015-02-10,67.12,67.84,67.01,67.78,20000,67.78
2015-02-09,66.79,67.12,66.78,66.88,18300,66.88
2015-02-06,67.53,67.77,67.12,67.21,28000,67.21
2015-02-05,67.43,67.99,67.43,67.99,119200,67.99
2015-02-04,67.36,67.75,67.20,67.29,46700,67.29
2015-02-03,66.66,67.55,66.65,67.51,121100,67.51
2015-02-02,66.44,66.62,65.39,66.62,91700,66.62
2015-01-30,66.23,66.95,66.02,66.45,44200,66.45
2015-01-29,65.34,66.10,64.41,66.10,88600,66.10
2015-01-28,67.14,67.14,65.46,65.56,46300,65.56
2015-01-27,66.97,67.11,66.20,66.71,66900,66.71
2015-01-26,67.77,68.01,67.37,67.65,449200,67.65
2015-01-23,67.21,68.26,67.21,67.88,114500,67.88
2015-01-22,66.00,67.50,65.82,67.26,78700,67.26
2015-01-21,64.93,65.89,64.80,65.59,21400,65.59
2015-01-20,64.35,64.69,63.86,64.50,33300,64.50
2015-01-16,63.26,64.25,63.26,64.15,19000,64.15
2015-01-15,64.71,64.71,63.18,63.21,25000,63.21
2015-01-14,64.02,64.44,63.82,64.34,12800,64.34
2015-01-13,64.99,65.74,64.19,64.67,24300,64.67
2015-01-12,65.32,65.41,64.28,64.57,27700,64.57
2015-01-09,66.05,66.05,65.21,65.31,24000,65.31
2015-01-08,64.87,66.08,64.80,66.05,26200,66.05
2015-01-07,65.30,65.35,64.67,64.81,31200,64.81
2015-01-06,65.51,65.70,64.21,64.79,66900,64.79
2015-01-05,66.43,66.81,65.40,65.61,86200,65.61
2015-01-02,67.54,67.54,66.59,67.02,13200,67.02
2014-12-31,67.75,67.83,67.07,67.09,13100,67.09
2014-12-30,67.36,67.36,67.36,67.36,100,67.36
2014-12-29,67.99,68.20,67.78,67.86,20200,67.86
2014-12-26,67.86,68.43,67.86,68.28,9900,68.28
2014-12-24,68.04,68.18,67.79,67.83,10600,67.83
2014-12-23,68.05,68.15,67.85,67.90,22900,67.90
2014-12-22,67.48,68.00,67.48,67.91,94500,67.91
2014-12-19,66.48,67.43,66.48,67.41,32600,67.41
2014-12-18,65.99,66.99,65.99,66.53,61200,66.53
2014-12-17,64.01,65.50,64.01,65.43,20300,65.43
2014-12-16,65.13,65.32,63.94,64.04,31900,64.04
2014-12-15,66.14,66.71,65.34,65.47,31300,65.47
2014-12-12,65.97,66.78,65.97,66.14,16200,66.14
2014-12-11,65.96,67.31,65.96,66.49,42600,66.49
2014-12-10,66.86,67.03,65.85,66.00,22000,66.00
2014-12-09,65.77,67.27,65.17,67.15,24700,67.15
2014-12-08,67.19,67.56,66.04,66.40,124800,66.40
2014-12-05,67.40,67.67,67.37,67.44,21200,67.44
2014-12-04,67.37,67.78,67.25,67.51,17700,67.51
2014-12-03,67.63,67.75,67.41,67.53,11100,67.53
2014-12-02,67.54,67.87,67.54,67.85,27000,67.85
2014-12-01,68.63,68.90,67.29,67.41,57700,67.41
2014-11-28,69.25,69.25,68.97,68.97,11500,68.97
2014-11-26,68.62,69.15,68.62,69.01,24500,69.01
2014-11-25,68.60,68.99,68.56,68.99,35000,68.99
2014-11-24,68.40,68.71,68.38,68.58,18300,68.58
2014-11-21,69.03,69.03,68.09,68.19,23200,68.19
2014-11-20,67.65,68.25,67.50,68.06,30800,68.06
2014-11-19,68.36,68.36,67.59,67.73,61600,67.73
2014-11-18,68.32,68.99,68.32,68.59,72200,68.59
2014-11-17,68.82,68.96,68.19,68.30,12500,68.30
2014-11-14,67.99,69.19,67.99,68.94,17800,68.94
2014-11-13,68.38,68.93,67.90,67.98,21600,67.98
2014-11-12,67.83,68.54,67.83,68.50,21200,68.50
2014-11-11,67.59,68.32,67.59,68.25,63100,68.25
2014-11-10,66.76,67.91,66.76,67.79,12700,67.79
2014-11-07,66.30,67.08,66.30,66.82,68200,66.82
2014-11-06,66.42,66.83,66.26,66.52,36600,66.52
2014-11-05,67.76,67.76,66.47,66.68,26400,66.68
2014-11-04,67.28,67.80,67.12,67.80,14900,67.80
2014-11-03,68.01,68.44,67.76,67.86,26100,67.86
2014-10-31,68.05,68.28,67.58,68.24,60300,68.24
2014-10-30,65.43,66.98,65.43,66.53,14200,66.53
2014-10-29,66.47,66.50,65.73,65.83,31400,65.83
2014-10-28,65.20,66.94,65.20,66.94,53200,66.94
2014-10-27,65.09,65.78,65.09,65.65,26600,65.65
2014-10-24,65.29,65.93,65.10,65.88,15600,65.88
2014-10-23,65.32,66.33,65.27,65.69,54000,65.69
2014-10-22,65.62,66.17,64.80,64.80,20700,64.80
2014-10-21,64.68,65.62,64.45,65.57,27800,65.57
2014-10-20,63.03,64.05,63.03,63.98,27200,63.98
2014-10-17,63.63,63.75,62.71,63.26,22200,63.26
2014-10-16,61.33,63.23,61.00,62.71,43600,62.71
2014-10-15,62.14,63.89,61.56,63.80,69600,63.80
2014-10-14,63.35,64.13,62.89,63.55,32700,63.55
2014-10-13,63.91,64.48,62.87,63.18,71800,63.18
2014-10-10,66.03,66.21,64.05,64.30,42500,64.30
2014-10-09,67.53,67.53,66.08,66.34,29600,66.34
2014-10-08,66.58,67.80,65.65,67.68,24000,67.68
2014-10-07,67.28,67.62,66.41,66.41,12900,66.41
2014-10-06,68.10,68.49,67.41,67.65,22600,67.65
2014-10-03,67.77,68.32,67.45,67.78,49000,67.78
2014-10-02,66.85,67.38,66.01,67.21,57500,67.21
2014-10-01,68.00,68.00,66.59,67.03,40600,67.03
2014-09-30,68.62,68.62,67.94,68.38,15100,68.38
2014-09-29,67.61,68.20,67.61,67.91,11500,67.91
2014-09-26,67.86,68.38,67.67,68.22,22400,68.22
2014-09-25,68.78,68.78,67.51,67.72,28200,67.72
2014-09-24,68.31,69.05,68.10,68.94,14900,68.94
2014-09-23,67.90,68.61,67.86,68.27,216500,68.27
2014-09-22,69.18,69.18,67.66,68.29,46100,68.29
2014-09-19,69.80,70.16,69.05,69.65,30400,69.65
2014-09-18,69.29,69.87,69.29,69.86,40600,69.86
2014-09-17,69.30,69.78,69.05,69.22,28800,69.22
2014-09-16,68.27,69.51,68.11,69.42,32500,69.42
2014-09-15,70.05,70.05,68.05,68.58,38700,68.58
2014-09-12,70.04,70.20,69.78,70.09,32600,70.09
2014-09-11,69.65,70.05,69.35,69.98,46900,69.98
2014-09-10,69.74,69.98,69.50,69.86,11300,69.86
2014-09-09,71.08,71.08,69.44,69.69,21700,69.69
2014-09-08,70.56,71.09,70.55,70.98,22300,70.98
