Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.94,26.89,25.62,26.75,2626800,26.75
2015-02-12,25.87,26.15,23.44,25.98,7188100,25.98
2015-02-11,26.64,26.82,25.41,25.87,2997600,25.87
2015-02-10,25.84,26.72,25.65,26.49,2790700,26.49
2015-02-09,26.08,26.18,25.50,25.64,2055600,25.64
2015-02-06,26.18,26.43,25.97,26.18,1779400,26.18
2015-02-05,26.25,26.82,25.58,26.10,2523700,26.10
2015-02-04,26.01,26.76,25.92,26.16,2784600,26.16
2015-02-03,26.97,26.97,25.75,26.27,3283600,26.27
2015-02-02,27.07,27.18,25.29,26.80,3918000,26.80
2015-01-30,29.11,29.65,27.00,27.15,4436900,27.15
2015-01-29,28.37,29.22,27.70,29.09,5885300,29.09
2015-01-28,31.48,31.58,28.01,28.05,5647700,28.05
2015-01-27,36.89,37.13,36.01,37.02,2473900,31.25
2015-01-26,35.93,37.17,35.62,36.95,2510200,31.19
2015-01-23,35.51,35.99,35.00,35.45,1095000,29.92
2015-01-22,35.06,35.85,34.67,35.55,1409400,30.01
2015-01-21,35.97,35.98,34.83,35.01,2059800,29.55
2015-01-20,35.00,35.83,34.15,35.71,2235700,30.14
2015-01-16,34.87,35.47,33.91,34.14,2230100,28.82
2015-01-15,34.99,35.37,32.84,34.57,6684200,29.18
2015-01-14,31.28,31.65,30.75,31.53,1719000,26.62
2015-01-13,32.90,33.32,31.51,31.69,1425800,26.75
2015-01-12,33.79,33.92,32.47,33.16,1025700,27.99
2015-01-09,33.25,33.95,33.00,33.70,1076800,28.45
2015-01-08,32.40,33.34,32.26,33.12,1840600,27.96
2015-01-07,31.50,32.25,31.36,32.12,1120200,27.11
2015-01-06,31.19,32.23,31.15,31.26,2885000,26.39
2015-01-05,31.50,31.67,30.09,30.81,3465100,26.01
2015-01-02,33.02,33.41,31.18,31.66,1502300,26.73
2014-12-31,33.52,33.79,32.78,32.79,1039000,27.68
2014-12-30,33.74,33.84,33.32,33.53,750200,28.30
2014-12-29,34.10,34.26,33.62,33.72,535700,28.46
2014-12-26,34.10,34.33,33.90,34.07,618700,28.76
2014-12-24,33.04,34.13,32.59,34.01,1193800,28.71
2014-12-23,34.34,34.52,33.51,33.52,1325100,28.30
2014-12-22,33.51,34.60,33.44,34.03,702100,28.73
2014-12-19,33.05,33.83,32.75,33.48,2870800,28.26
2014-12-18,33.55,33.56,31.50,33.15,2396000,27.98
2014-12-17,32.28,33.06,31.40,33.00,1731100,27.86
2014-12-16,32.37,33.39,31.88,32.25,1220700,27.22
2014-12-15,33.69,34.16,31.94,32.40,1761500,27.35
2014-12-12,35.36,35.71,33.47,33.59,2033800,28.35
2014-12-11,36.11,36.70,35.46,35.79,1368800,30.21
2014-12-10,36.28,36.94,35.81,35.95,1315700,30.35
2014-12-09,37.00,37.50,36.43,36.57,3233300,30.87
2014-12-08,36.85,38.21,36.57,37.51,2041700,31.66
2014-12-05,37.46,38.22,37.00,37.09,2576400,31.31
2014-12-04,36.52,38.64,36.45,37.59,3360000,31.73
2014-12-03,34.00,37.02,33.97,36.49,3932300,30.80
2014-12-02,32.31,34.07,32.00,33.85,3262700,28.57
2014-12-01,32.06,32.59,31.60,32.22,1748900,27.20
2014-11-28,32.10,32.58,31.87,32.30,836700,27.27
2014-11-26,31.72,32.09,31.49,32.00,1614100,27.01
2014-11-25,31.30,31.89,30.68,31.54,2813400,26.62
2014-11-24,31.89,32.05,31.24,31.37,2076100,26.48
2014-11-21,31.95,32.19,31.12,31.45,2481700,26.55
2014-11-20,31.00,32.25,31.00,31.70,2498700,26.76
2014-11-19,31.56,32.15,31.35,31.91,2049800,26.94
2014-11-18,30.89,31.60,30.89,31.45,2098200,26.55
2014-11-17,30.44,31.41,30.32,30.94,2478000,26.12
2014-11-14,30.92,30.93,29.90,30.39,1560100,25.65
2014-11-13,30.71,31.23,30.53,31.00,1311100,26.17
2014-11-12,30.83,31.03,30.36,30.71,1558300,25.92
2014-11-11,31.01,31.20,30.61,31.05,2345900,26.21
2014-11-10,31.17,31.61,30.96,31.01,1643300,26.18
2014-11-07,32.00,32.18,30.44,31.19,4584400,26.33
2014-11-06,31.76,32.87,31.42,32.18,2477800,27.16
2014-11-05,30.90,32.06,30.83,31.76,3310000,26.81
2014-11-04,29.15,30.73,29.00,30.66,3080700,25.88
2014-11-03,28.53,29.32,28.41,28.90,2302900,24.40
2014-10-31,28.25,28.50,27.75,28.41,3778000,23.98
2014-10-30,28.98,29.38,26.85,27.28,4783100,23.03
2014-10-29,27.23,27.77,26.51,27.72,2050000,23.40
2014-10-28,26.90,27.27,26.72,27.23,2048200,22.99
2014-10-27,26.58,26.92,26.39,26.73,1810800,22.56
2014-10-24,26.50,27.09,26.45,26.68,1740000,22.52
2014-10-23,27.15,27.44,26.14,26.50,4327500,22.37
2014-10-22,29.11,29.21,26.56,26.71,4815600,22.55
2014-10-21,29.43,29.95,28.83,28.92,2376900,24.41
2014-10-20,28.99,29.65,28.14,29.28,2666600,24.72
2014-10-17,27.38,29.48,26.55,27.92,6264500,23.57
2014-10-16,31.18,31.56,25.48,25.91,5441000,21.87
2014-10-15,30.70,32.03,30.62,31.63,2023100,26.70
2014-10-14,31.70,31.79,30.62,31.05,1811200,26.21
2014-10-13,31.69,31.98,30.83,30.98,1046000,26.15
2014-10-10,31.57,32.17,31.46,31.55,863200,26.63
2014-10-09,31.72,32.37,31.57,31.57,1159000,26.65
2014-10-08,31.25,31.76,30.86,31.68,1030400,26.74
2014-10-07,31.63,32.15,31.10,31.11,946000,26.26
2014-10-06,33.07,33.15,31.60,31.85,1219300,26.89
2014-10-03,30.74,33.05,30.52,32.68,2485000,27.59
2014-10-02,30.26,31.11,30.18,30.64,1406000,25.86
2014-10-01,30.59,30.59,30.01,30.25,1368800,25.54
2014-09-30,30.71,30.99,30.29,30.56,2158900,25.80
2014-09-29,30.09,31.20,29.96,30.76,1411300,25.97
2014-09-26,30.17,30.59,30.04,30.23,767300,25.52
