Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,58.25,58.49,57.15,57.70,436600,57.70
2015-02-12,57.61,58.33,57.07,58.25,298200,58.25
2015-02-11,57.42,57.65,56.76,57.26,399300,57.26
2015-02-10,57.54,57.78,56.54,57.30,652400,57.30
2015-02-09,58.00,58.56,57.31,57.53,596100,57.53
2015-02-06,58.50,60.08,57.54,58.06,1255100,58.06
2015-02-05,60.72,61.13,60.19,60.76,320100,60.76
2015-02-04,60.29,60.91,59.71,60.72,241600,60.72
2015-02-03,60.19,60.52,59.31,60.40,374300,60.40
2015-02-02,60.64,60.64,59.30,60.43,331800,60.43
2015-01-30,61.81,62.20,60.71,60.75,482800,60.75
2015-01-29,62.56,62.75,61.40,61.92,441900,61.92
2015-01-28,63.22,63.78,62.59,62.63,206000,62.63
2015-01-27,62.82,63.54,62.67,62.97,285200,62.97
2015-01-26,62.46,63.12,61.93,63.11,258700,63.11
2015-01-23,63.03,63.09,62.12,62.41,301700,62.41
2015-01-22,62.44,63.10,61.90,62.83,433500,62.83
2015-01-21,61.67,62.20,61.16,62.06,468100,62.06
2015-01-20,63.46,63.63,61.61,61.62,575000,61.62
2015-01-16,63.10,63.39,62.63,63.34,374500,63.34
2015-01-15,63.12,63.21,62.58,63.08,287400,63.08
2015-01-14,62.17,63.09,61.81,63.05,340900,63.05
2015-01-13,62.70,62.83,61.74,62.37,355800,62.37
2015-01-12,62.59,63.01,62.59,62.71,246800,62.71
2015-01-09,62.02,62.73,61.83,62.39,376300,62.39
2015-01-08,61.27,62.29,61.14,62.07,461800,62.07
2015-01-07,60.55,61.56,60.08,61.24,344300,61.24
2015-01-06,60.30,60.57,59.98,60.38,969500,60.38
2015-01-05,59.30,60.31,58.91,60.07,349100,60.07
2015-01-02,59.05,59.46,58.65,59.36,370000,59.36
2014-12-31,59.28,59.71,58.60,58.77,465000,58.77
2014-12-30,59.51,59.89,59.00,59.25,224100,59.25
2014-12-29,59.57,60.18,59.52,60.00,282400,59.60
2014-12-26,59.55,59.92,59.38,59.56,154000,59.16
2014-12-24,59.84,60.18,59.42,59.51,224600,59.11
2014-12-23,59.91,60.17,59.18,59.84,349500,59.44
2014-12-22,58.53,59.93,58.53,59.89,322800,59.49
2014-12-19,58.36,58.64,58.08,58.51,851300,58.12
2014-12-18,58.62,58.91,58.09,58.39,395100,58.00
2014-12-17,57.95,58.41,57.46,58.40,344100,58.01
2014-12-16,57.72,58.05,57.30,57.61,516400,57.23
2014-12-15,58.37,58.41,57.55,57.66,418000,57.28
2014-12-12,58.88,58.95,58.32,58.39,682800,58.00
2014-12-11,58.92,59.10,58.49,58.94,365300,58.55
2014-12-10,58.58,59.29,58.33,58.65,311500,58.26
2014-12-09,57.85,58.87,57.77,58.72,438000,58.33
2014-12-08,57.75,58.43,57.73,58.17,340100,57.78
2014-12-05,57.45,57.80,56.77,57.80,435300,57.41
2014-12-04,57.50,57.76,57.09,57.57,433400,57.19
2014-12-03,57.88,57.90,57.40,57.43,316900,57.05
2014-12-02,57.39,57.93,57.02,57.84,289700,57.45
2014-12-01,58.53,59.18,57.47,57.52,450500,57.14
2014-11-28,58.46,59.07,58.12,58.58,227900,58.19
2014-11-26,57.84,58.61,57.64,58.42,255700,58.03
2014-11-25,57.93,57.98,57.65,57.75,255400,57.37
2014-11-24,57.75,58.17,57.63,57.83,211900,57.44
2014-11-21,57.67,57.87,57.32,57.60,307100,57.22
2014-11-20,57.15,57.40,56.61,57.35,306700,56.97
2014-11-19,57.56,57.90,56.52,56.59,317300,56.21
2014-11-18,57.22,57.86,57.04,57.73,368800,57.35
2014-11-17,56.45,57.27,56.32,57.22,266000,56.84
2014-11-14,57.24,57.51,56.42,56.54,280600,56.16
2014-11-13,56.32,57.68,56.02,57.25,668900,56.87
2014-11-12,55.88,56.36,55.57,56.14,342900,55.77
2014-11-11,56.25,56.45,55.67,55.87,388300,55.50
2014-11-10,55.30,56.24,55.18,56.14,627500,55.77
2014-11-07,55.46,55.79,54.89,55.32,522200,54.95
2014-11-06,55.92,56.35,55.42,55.47,401500,55.10
2014-11-05,56.23,56.71,55.86,56.04,558800,55.67
2014-11-04,56.37,56.73,55.85,56.15,338400,55.78
2014-11-03,56.04,56.74,55.73,56.48,668100,56.10
2014-10-31,55.01,56.10,54.63,55.94,773700,55.57
2014-10-30,54.49,54.71,54.20,54.49,636600,54.13
2014-10-29,54.89,55.09,54.25,54.47,365500,54.11
2014-10-28,54.89,54.94,54.41,54.90,220000,54.53
2014-10-27,54.46,54.93,54.34,54.89,372300,54.52
2014-10-24,55.28,55.28,54.22,54.39,488700,54.03
2014-10-23,55.08,55.39,54.67,55.19,285900,54.82
2014-10-22,54.85,55.26,54.65,54.85,165000,54.48
2014-10-21,54.83,54.91,54.31,54.87,221500,54.50
2014-10-20,53.41,54.64,53.37,54.63,173700,54.27
2014-10-17,54.09,54.09,53.07,53.39,313200,53.03
2014-10-16,53.28,53.87,52.70,53.70,398500,53.34
2014-10-15,53.89,54.81,52.91,53.42,863500,53.06
2014-10-14,52.89,54.35,52.82,54.02,317300,53.66
2014-10-13,52.80,53.22,52.50,52.82,357800,52.47
2014-10-10,52.47,53.20,52.47,52.78,293500,52.43
2014-10-09,52.83,53.33,52.24,52.36,643400,52.01
2014-10-08,51.77,52.87,51.70,52.86,343500,52.51
2014-10-07,51.54,52.15,51.32,51.71,392800,51.37
2014-10-06,51.34,51.75,51.24,51.50,345200,51.16
2014-10-03,51.36,51.55,51.04,51.35,345200,51.01
2014-10-02,51.44,51.60,50.93,51.19,561900,50.85
2014-10-01,51.44,51.90,51.21,51.39,514900,51.05
2014-09-30,51.33,51.70,50.82,51.34,426000,51.00
2014-09-29,50.95,51.45,50.46,51.41,274900,51.07
2014-09-26,50.49,51.19,50.34,51.15,279300,50.81
2014-09-25,51.26,51.67,50.80,50.94,307400,50.20
2014-09-24,51.10,51.65,50.78,51.22,347000,50.48
2014-09-23,51.50,51.86,51.09,51.11,207800,50.37
2014-09-22,51.53,51.96,51.32,51.46,250300,50.72
2014-09-19,51.83,51.89,51.39,51.60,569500,50.85
2014-09-18,51.86,51.86,51.27,51.66,332900,50.91
2014-09-17,52.27,52.69,51.61,51.86,249300,51.11
2014-09-16,51.69,52.08,51.69,51.99,241800,51.24
2014-09-15,51.78,52.32,51.49,51.65,301400,50.90
2014-09-12,53.17,53.41,51.51,51.69,286600,50.94
2014-09-11,53.76,53.87,53.32,53.39,228300,52.62
2014-09-10,54.87,54.89,53.71,53.82,254700,53.04
2014-09-09,55.47,55.53,54.96,55.12,196500,54.32
2014-09-08,55.58,55.68,55.44,55.58,189100,54.78
2014-09-05,55.40,55.65,55.28,55.53,406800,54.73
2014-09-04,55.22,55.86,55.06,55.29,393800,54.49
2014-09-03,55.06,55.32,54.93,55.28,302900,54.48
2014-09-02,55.04,55.17,54.81,54.99,305500,54.19
2014-08-29,54.87,55.16,54.76,55.02,254700,54.22
2014-08-28,54.85,54.90,54.31,54.74,200600,53.95
