Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,18.39,18.47,18.20,18.26,12100,18.26
2015-02-12,17.91,18.18,17.89,18.11,27200,18.11
2015-02-11,18.30,18.30,17.79,17.81,49100,17.81
2015-02-10,18.48,18.48,18.01,18.18,25300,18.18
2015-02-09,18.33,18.60,18.33,18.54,25000,18.54
2015-02-06,18.81,18.96,18.20,18.26,84500,18.26
2015-02-05,18.89,19.26,18.89,19.26,60100,19.26
2015-02-04,18.69,19.12,18.64,19.00,58900,19.00
2015-02-03,18.94,19.06,18.50,18.70,104200,18.70
2015-02-02,18.58,19.19,18.32,19.02,156200,19.02
2015-01-30,18.20,18.82,18.14,18.75,109400,18.75
2015-01-29,18.50,18.51,17.93,18.21,149400,18.21
2015-01-28,19.36,19.36,18.54,18.73,210200,18.73
2015-01-27,18.96,19.45,18.96,19.41,241800,19.41
2015-01-26,18.39,18.86,17.94,18.86,1172100,18.86
2015-01-23,18.94,18.94,18.47,18.59,20600,18.59
2015-01-22,19.38,19.48,19.15,19.18,41300,19.18
2015-01-21,19.50,19.60,18.88,19.13,17000,19.13
2015-01-20,19.00,19.45,19.00,19.36,24300,19.36
2015-01-16,18.15,18.81,18.15,18.69,36500,18.69
2015-01-15,17.66,18.25,17.66,18.20,17400,18.20
2015-01-14,17.46,17.76,16.96,17.11,9200,17.11
2015-01-13,18.22,18.25,17.37,17.37,12100,17.37
2015-01-12,17.59,18.21,17.59,17.98,19800,17.98
2015-01-09,17.11,17.55,17.11,17.52,7000,17.52
2015-01-08,17.38,17.44,16.94,16.95,4800,16.95
2015-01-07,17.33,17.47,16.91,17.28,12400,17.28
2015-01-06,16.83,17.50,16.83,17.34,11300,17.34
2015-01-05,16.31,16.62,16.31,16.50,2400,16.50
2015-01-02,15.85,16.29,15.73,16.29,6200,16.29
2014-12-31,16.00,16.01,15.80,16.00,28700,16.00
2014-12-30,15.78,16.29,15.78,16.00,61100,16.00
2014-12-29,15.73,15.88,15.49,15.60,40500,15.60
2014-12-26,16.00,16.00,15.48,15.80,21000,15.80
2014-12-24,14.94,15.30,14.94,15.29,10100,15.29
2014-12-23,15.10,15.50,15.00,15.01,12300,15.01
2014-12-22,15.47,15.51,15.15,15.20,25900,15.20
2014-12-19,15.93,16.29,15.79,16.18,6200,16.18
2014-12-18,15.73,15.99,15.41,15.99,80900,15.96
2014-12-17,14.88,15.41,14.88,15.14,5500,15.11
2014-12-16,15.07,15.41,14.70,14.75,98100,14.72
2014-12-15,15.74,15.81,14.86,14.86,18900,14.83
2014-12-12,15.98,16.18,15.97,16.00,11700,15.97
2014-12-11,15.77,16.45,15.77,16.06,15100,16.03
2014-12-10,16.85,17.02,16.33,16.55,5200,16.51
2014-12-09,16.55,17.00,16.55,16.74,13700,16.70
2014-12-08,16.18,16.41,15.78,16.41,19700,16.38
2014-12-05,16.24,16.28,16.03,16.08,6400,16.05
2014-12-04,16.87,16.87,16.40,16.66,6600,16.62
2014-12-03,16.35,16.96,16.35,16.82,12800,16.78
2014-12-02,16.58,16.77,16.19,16.30,10900,16.27
2014-12-01,16.05,16.84,16.05,16.84,16300,16.80
2014-11-28,16.73,16.73,15.83,15.83,19300,15.80
2014-11-26,17.48,17.48,17.27,17.43,6900,17.39
2014-11-25,16.73,17.46,16.73,17.46,8600,17.42
2014-11-24,16.97,17.10,16.70,16.75,12900,16.71
2014-11-21,17.07,17.40,16.89,16.97,7900,16.93
2014-11-20,16.79,16.97,16.60,16.97,8200,16.93
2014-11-19,17.41,17.41,16.60,16.73,9800,16.69
2014-11-18,16.98,17.36,16.96,17.34,11900,17.30
2014-11-17,16.40,16.70,16.12,16.64,29800,16.60
2014-11-14,15.33,16.50,15.30,16.41,159600,16.38
2014-11-13,15.87,15.87,15.50,15.50,5300,15.47
2014-11-12,15.74,16.11,15.58,15.67,6400,15.64
2014-11-11,15.30,15.93,15.30,15.83,11000,15.80
2014-11-10,15.98,15.98,15.27,15.28,9800,15.25
2014-11-07,15.61,15.96,15.46,15.96,5700,15.93
2014-11-06,14.55,15.20,14.55,14.95,19200,14.92
2014-11-05,14.82,14.85,14.34,14.50,18100,14.47
2014-11-04,15.56,15.56,14.97,15.04,18400,15.01
2014-11-03,15.29,15.55,15.21,15.54,12800,15.51
2014-10-31,15.51,15.51,14.93,15.26,52700,15.23
2014-10-30,16.81,16.81,15.91,15.91,16000,15.88
2014-10-29,17.46,17.46,16.77,16.93,24300,16.89
2014-10-28,17.26,17.59,17.24,17.59,7800,17.55
2014-10-27,17.36,17.46,17.16,17.25,37900,17.21
