Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,38.51,38.65,38.08,38.28,4600,38.28
2015-02-12,38.10,38.91,38.10,38.89,4000,38.89
2015-02-11,39.10,39.10,38.55,38.69,5700,38.69
2015-02-10,38.69,39.34,38.69,39.31,1700,39.31
2015-02-09,39.37,39.37,39.10,39.12,1600,39.12
2015-02-06,40.60,40.60,39.29,39.29,9500,39.29
2015-02-05,40.36,40.73,40.32,40.73,3500,40.73
2015-02-04,40.48,40.73,40.25,40.25,2500,40.25
2015-02-03,40.33,40.58,40.33,40.40,2000,40.40
2015-02-02,39.52,39.81,39.52,39.75,3500,39.75
2015-01-30,40.63,40.63,39.62,39.62,4700,39.62
2015-01-29,40.39,40.65,39.94,40.65,5900,40.65
2015-01-28,40.92,40.95,40.58,40.85,2200,40.85
2015-01-27,40.73,40.90,40.73,40.90,4200,40.90
2015-01-26,40.96,40.96,40.68,40.76,1900,40.76
2015-01-23,40.99,41.02,40.78,41.02,3600,41.02
2015-01-22,40.63,40.85,40.30,40.85,5500,40.85
2015-01-21,40.29,40.57,40.20,40.20,3300,40.20
2015-01-20,40.27,40.41,40.23,40.41,1800,40.41
2015-01-16,40.25,40.25,40.18,40.18,1700,40.18
2015-01-15,39.98,40.08,39.95,40.08,2900,40.08
2015-01-14,39.87,39.87,39.66,39.66,3100,39.66
2015-01-13,40.08,40.08,39.24,39.64,2900,39.64
2015-01-12,39.15,39.19,38.82,39.18,7600,39.18
2015-01-09,39.15,39.46,39.15,39.34,1600,39.34
2015-01-08,39.08,39.48,39.08,39.48,4700,39.48
2015-01-07,38.46,38.91,38.46,38.91,7500,38.91
2015-01-06,38.90,39.21,38.57,38.65,6200,38.65
2015-01-05,39.68,39.68,38.86,38.91,20400,38.91
2015-01-02,39.74,39.82,39.30,39.30,4100,39.30
2014-12-31,40.28,40.53,40.15,40.15,1800,40.15
2014-12-30,40.96,40.96,40.28,40.28,2700,40.28
2014-12-29,40.04,41.05,40.04,41.04,7600,41.04
2014-12-26,40.26,40.26,40.21,40.21,1300,40.21
2014-12-24,39.36,39.65,39.36,39.65,2900,39.65
2014-12-23,39.22,39.39,39.18,39.18,4100,39.18
2014-12-22,38.66,38.82,38.66,38.82,2800,38.82
2014-12-19,38.67,38.88,38.53,38.71,1900,38.71
2014-12-18,38.75,39.13,38.75,39.09,2900,38.67
2014-12-17,37.91,38.49,37.91,38.49,2500,38.07
2014-12-16,37.83,38.00,37.48,37.98,12700,37.57
2014-12-15,37.78,37.78,37.58,37.67,1200,37.26
2014-12-12,38.20,38.20,37.79,37.91,5200,37.50
2014-12-11,38.46,38.46,38.46,38.46,1000,38.04
2014-12-10,38.62,38.62,38.15,38.15,1600,37.74
2014-12-09,37.85,38.73,37.80,38.68,6200,38.26
2014-12-08,38.43,38.50,37.99,38.15,3700,37.74
2014-12-05,38.22,38.22,38.08,38.16,2700,37.75
2014-12-04,38.20,38.20,37.93,38.11,1800,37.70
2014-12-03,37.91,38.16,37.91,38.16,1200,37.75
2014-12-02,37.77,37.97,37.76,37.97,1500,37.56
2014-12-01,38.00,38.00,37.88,37.88,1300,37.47
2014-11-28,38.36,38.57,38.36,38.54,1400,38.12
2014-11-26,37.83,38.15,37.83,38.14,1700,37.73
