Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,26.50,26.65,26.50,26.61,3500,26.61
2015-02-12,26.56,26.76,26.35,26.50,3700,26.50
2015-02-11,26.44,26.65,26.44,26.65,800,26.65
2015-02-10,26.29,26.59,26.28,26.28,1800,26.28
2015-02-09,26.80,26.85,26.50,26.50,9000,26.50
2015-02-06,26.66,27.11,26.62,27.03,8700,27.03
2015-02-05,26.51,26.82,26.51,26.70,2100,26.70
2015-02-04,26.71,26.71,26.65,26.69,1000,26.69
2015-02-03,26.32,26.32,26.32,26.32,600,26.32
2015-02-02,26.55,26.56,26.55,26.56,300,26.56
2015-01-30,26.70,26.70,26.52,26.60,3200,26.60
2015-01-29,27.00,27.40,26.32,26.50,14000,26.50
2015-01-28,26.51,27.48,26.50,27.48,3700,27.48
2015-01-27,26.46,27.00,26.31,26.90,4000,26.90
2015-01-26,26.34,26.74,26.31,26.72,5100,26.72
2015-01-23,26.65,26.65,26.65,26.65,400,26.65
2015-01-22,26.04,26.34,26.04,26.33,2100,26.33
2015-01-21,26.29,26.78,26.05,26.12,1900,26.12
2015-01-20,26.68,26.68,26.06,26.19,1600,26.19
2015-01-16,26.08,26.30,25.92,25.92,6500,25.92
2015-01-15,26.04,26.31,26.04,26.31,600,26.31
2015-01-14,26.28,26.33,26.05,26.29,4700,26.29
2015-01-13,26.59,26.79,25.93,26.69,2500,26.69
2015-01-12,26.62,26.77,26.62,26.77,700,26.33
2015-01-09,26.57,26.59,26.57,26.59,1100,26.15
2015-01-08,26.52,27.27,26.52,26.56,2200,26.12
2015-01-07,27.29,27.29,26.69,26.70,5800,26.26
2015-01-06,26.35,27.00,26.22,27.00,6900,26.55
2015-01-05,26.49,27.26,26.49,26.52,2800,26.08
2015-01-02,26.16,26.50,26.13,26.30,2900,25.86
2014-12-31,26.17,26.20,26.15,26.20,700,25.76
2014-12-30,26.46,26.46,26.18,26.30,6400,25.86
2014-12-29,26.30,26.30,26.30,26.30,000,25.86
2014-12-26,26.10,26.30,26.10,26.30,3600,25.86
2014-12-24,26.30,26.30,26.15,26.15,400,25.72
2014-12-23,26.21,26.35,26.19,26.29,2000,25.85
2014-12-22,26.20,26.30,26.19,26.23,3700,25.79
2014-12-19,26.25,26.35,26.25,26.25,1300,25.81
2014-12-18,26.10,26.38,26.08,26.37,1800,25.93
2014-12-17,26.08,26.32,26.08,26.13,7000,25.70
2014-12-16,26.25,26.26,26.03,26.23,7500,25.79
2014-12-15,26.35,26.35,26.21,26.27,8300,25.83
2014-12-12,26.47,26.48,26.45,26.45,1700,26.01
