Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,17.96,18.10,17.93,18.05,14800,18.05
2015-02-12,17.72,17.97,17.72,17.96,33100,17.96
2015-02-11,17.75,17.83,17.69,17.76,13500,17.76
2015-02-10,17.75,17.75,17.45,17.75,14000,17.75
2015-02-09,17.54,17.68,17.54,17.58,20200,17.58
2015-02-06,17.59,17.84,17.54,17.57,29300,17.57
2015-02-05,17.53,17.60,17.42,17.60,11900,17.60
2015-02-04,17.48,17.60,17.36,17.40,31600,17.40
2015-02-03,17.16,17.60,17.16,17.58,28900,17.58
2015-02-02,16.68,17.05,16.56,17.05,23600,17.05
2015-01-30,16.70,16.83,16.60,16.60,9500,16.60
2015-01-29,16.81,16.84,16.52,16.84,15900,16.84
2015-01-28,17.21,17.21,16.68,16.73,20500,16.73
2015-01-27,16.90,17.13,16.87,17.10,16200,17.10
2015-01-26,16.81,17.18,16.81,17.14,26900,17.14
2015-01-23,16.57,16.85,16.57,16.81,57300,16.81
2015-01-22,16.48,16.67,16.25,16.64,86200,16.64
2015-01-21,16.24,16.51,16.24,16.42,40800,16.42
2015-01-20,16.49,16.49,16.11,16.26,198000,16.26
2015-01-16,16.24,16.39,16.23,16.38,27200,16.38
2015-01-15,16.76,16.76,16.21,16.21,25300,16.21
2015-01-14,16.59,16.83,16.47,16.71,37500,16.71
2015-01-13,16.94,17.21,16.72,16.84,25100,16.84
2015-01-12,16.88,16.88,16.47,16.73,52300,16.73
2015-01-09,16.96,16.96,16.72,16.85,32700,16.85
2015-01-08,16.64,16.94,16.64,16.88,34000,16.88
2015-01-07,16.46,16.56,16.42,16.47,72900,16.47
2015-01-06,16.68,16.75,16.11,16.34,28300,16.34
2015-01-05,17.17,17.17,16.62,16.70,16600,16.70
2015-01-02,17.31,17.39,16.95,17.29,18100,17.29
2014-12-31,17.17,17.38,17.17,17.23,31200,17.23
2014-12-30,17.36,17.39,17.22,17.22,180900,17.22
2014-12-29,17.50,17.59,17.43,17.47,31700,17.47
2014-12-26,17.45,17.56,17.45,17.52,28900,17.52
2014-12-24,17.30,17.43,17.25,17.40,11300,17.40
2014-12-23,17.33,17.38,17.25,17.30,24100,17.30
2014-12-22,17.18,17.29,17.14,17.26,16200,17.21
2014-12-19,17.07,17.21,16.98,17.18,26300,17.13
2014-12-18,16.91,17.13,16.91,17.06,49800,17.01
2014-12-17,16.26,16.67,16.19,16.63,24200,16.58
2014-12-16,16.26,16.67,16.03,16.27,46000,16.22
2014-12-15,16.75,16.77,16.31,16.37,345300,16.32
2014-12-12,16.67,16.78,16.55,16.55,31000,16.50
2014-12-11,16.90,17.14,16.77,16.79,31500,16.74
2014-12-10,17.30,17.30,16.79,16.85,19900,16.80
2014-12-09,16.94,17.37,16.68,17.37,40900,17.32
2014-12-08,17.67,17.73,17.09,17.13,49500,17.08
2014-12-05,17.55,17.79,17.55,17.73,37600,17.68
2014-12-04,17.67,17.72,17.50,17.54,11500,17.49
2014-12-03,17.39,17.69,17.39,17.66,43300,17.61
2014-12-02,17.24,17.43,17.21,17.38,37500,17.33
2014-12-01,17.61,17.81,17.15,17.21,39600,17.16
2014-11-28,18.07,18.15,17.75,17.77,10000,17.72
2014-11-26,18.05,18.25,18.05,18.23,88400,18.18
2014-11-25,18.10,18.15,18.00,18.10,27100,18.05
2014-11-24,18.00,18.15,17.98,18.13,31200,18.08
2014-11-21,18.00,18.33,17.90,17.96,75000,17.91
2014-11-20,17.56,17.85,17.56,17.85,33900,17.80
2014-11-19,17.92,17.92,17.60,17.67,244600,17.62
2014-11-18,17.44,17.97,17.44,17.92,85300,17.87
2014-11-17,17.42,17.46,17.20,17.27,37500,17.22
2014-11-14,17.34,17.47,17.10,17.45,39600,17.40
2014-11-13,17.66,17.66,17.26,17.32,135400,17.27
2014-11-12,17.68,17.68,17.53,17.65,62300,17.60
2014-11-11,17.84,17.84,17.69,17.75,20300,17.70
2014-11-10,17.70,17.83,17.68,17.78,33800,17.73
2014-11-07,17.69,17.72,17.49,17.64,31800,17.59
2014-11-06,17.92,18.05,17.73,17.77,60300,17.72
2014-11-05,18.30,18.30,17.83,17.95,20400,17.90
2014-11-04,18.27,18.31,18.02,18.10,32600,18.05
2014-11-03,18.28,18.54,18.27,18.28,38500,18.23
2014-10-31,18.13,18.30,18.09,18.27,59700,18.22
2014-10-30,17.50,17.75,17.43,17.72,20800,17.67
2014-10-29,17.71,17.82,17.51,17.63,44300,17.58
2014-10-28,17.25,17.74,17.25,17.73,120600,17.68
2014-10-27,17.28,17.28,17.05,17.17,31800,17.12
2014-10-24,17.34,17.38,17.24,17.38,222400,17.33
2014-10-23,17.20,17.46,17.20,17.32,55100,17.27
2014-10-22,17.47,17.49,17.00,17.00,50700,16.95
2014-10-21,17.16,17.49,17.16,17.47,39300,17.42
2014-10-20,16.62,17.01,16.60,17.01,65500,16.96
2014-10-17,17.04,17.11,16.62,16.66,47900,16.61
2014-10-16,15.97,16.78,15.80,16.63,51200,16.58
2014-10-15,15.70,16.39,15.59,16.30,448300,16.25
2014-10-14,16.07,16.26,15.75,16.03,196000,15.98
2014-10-13,16.54,16.63,15.80,15.80,371800,15.75
2014-10-10,17.10,17.10,16.46,16.51,109300,16.46
2014-10-09,18.06,18.10,17.30,17.30,85500,17.25
2014-10-08,17.81,18.12,17.46,18.11,52900,18.06
2014-10-07,18.00,18.16,17.77,17.79,75000,17.74
2014-10-06,18.94,18.94,18.04,18.17,234700,18.12
2014-10-03,18.84,18.93,18.60,18.81,36400,18.76
2014-10-02,18.55,18.72,18.22,18.67,243300,18.62
2014-10-01,19.05,19.05,18.50,18.61,75700,18.56
