Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,40.98,41.19,40.96,41.19,21000,41.19
2015-02-12,40.64,40.86,40.55,40.86,15300,40.86
2015-02-11,40.30,40.48,40.21,40.38,17100,40.38
2015-02-10,40.19,40.45,40.00,40.43,7600,40.43
2015-02-09,40.04,40.09,39.92,39.94,13800,39.94
2015-02-06,40.25,40.41,40.10,40.10,23200,40.10
2015-02-05,40.15,40.39,40.14,40.39,148200,40.39
2015-02-04,39.93,40.23,39.91,40.00,30100,40.00
2015-02-03,39.90,40.30,39.81,40.30,14500,40.30
2015-02-02,39.27,39.29,38.87,39.29,16200,39.29
2015-01-30,39.50,39.77,39.16,39.17,21000,39.17
2015-01-29,39.35,39.59,39.09,39.56,17400,39.56
2015-01-28,40.04,40.09,39.28,39.30,39800,39.30
2015-01-27,39.87,40.07,39.60,39.80,46600,39.80
2015-01-26,39.96,40.17,39.81,40.12,12100,40.12
2015-01-23,39.84,40.09,39.84,39.97,9600,39.97
2015-01-22,39.33,39.91,39.12,39.90,12700,39.90
2015-01-21,39.11,39.35,39.07,39.25,16800,39.25
2015-01-20,38.97,39.07,38.55,38.96,20900,38.96
2015-01-16,38.18,38.86,38.18,38.86,21100,38.86
2015-01-15,38.71,38.73,38.30,38.32,19100,38.32
2015-01-14,38.62,38.85,38.42,38.74,23100,38.74
2015-01-13,39.53,39.72,38.77,38.99,42700,38.99
2015-01-12,39.42,39.42,39.01,39.09,36300,39.09
2015-01-09,39.56,39.61,39.24,39.32,12700,39.32
2015-01-08,39.53,39.79,39.53,39.72,22300,39.72
2015-01-07,39.17,39.17,38.82,39.13,11400,39.13
2015-01-06,39.22,39.22,38.35,38.64,22300,38.64
2015-01-05,39.39,39.49,38.96,39.03,20800,39.03
2015-01-02,40.03,40.03,39.51,39.66,10100,39.66
2014-12-31,40.23,40.24,40.00,40.00,2900,40.00
2014-12-30,40.26,40.26,40.04,40.04,9500,40.04
2014-12-29,40.83,40.83,40.10,40.29,7500,40.29
2014-12-26,39.85,40.11,39.85,40.08,5200,40.08
2014-12-24,39.81,40.00,39.78,39.90,23800,39.90
2014-12-23,40.10,40.10,39.68,39.85,19500,39.85
2014-12-22,39.80,40.15,39.76,39.88,16500,39.85
2014-12-19,39.76,39.99,39.68,39.97,14100,39.94
2014-12-18,39.51,39.70,39.36,39.70,32800,39.67
2014-12-17,38.25,38.95,38.25,38.88,13000,38.85
2014-12-16,38.56,38.89,38.30,38.30,9400,38.27
2014-12-15,39.28,39.28,38.57,38.72,25100,38.69
2014-12-12,39.08,39.34,38.84,39.00,21200,38.97
2014-12-11,39.35,39.71,39.26,39.54,8300,39.51
2014-12-10,39.66,39.66,39.03,39.03,10300,39.00
2014-12-09,39.43,39.64,39.08,39.62,10100,39.59
2014-12-08,39.87,39.92,39.51,39.62,26300,39.59
2014-12-05,39.83,40.01,39.78,39.78,21500,39.75
2014-12-04,39.99,39.99,39.76,39.83,11800,39.80
2014-12-03,39.85,40.03,39.85,40.03,6800,40.00
2014-12-02,39.84,39.96,39.80,39.90,5900,39.87
2014-12-01,40.09,40.09,39.69,39.75,4600,39.72
2014-11-28,40.06,40.20,40.05,40.10,5500,40.07
