Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,181.83,183.18,180.21,181.42,315600,181.42
2015-02-12,182.55,183.73,181.54,182.10,246700,182.10
2015-02-11,182.41,182.89,181.13,182.01,233900,182.01
2015-02-10,182.22,182.76,181.10,181.90,271600,181.90
2015-02-09,181.46,182.13,180.59,181.34,255700,181.34
2015-02-06,184.24,184.61,181.58,182.62,391000,182.62
2015-02-05,179.08,182.04,177.27,181.83,318400,181.83
2015-02-04,175.81,178.88,175.12,177.99,484300,177.99
2015-02-03,174.23,176.49,172.82,176.15,484900,176.15
2015-02-02,171.40,173.86,170.42,173.55,311200,173.55
2015-01-30,171.53,173.52,170.57,171.38,274100,171.38
2015-01-29,172.53,173.52,170.38,173.35,218300,173.35
2015-01-28,175.16,175.86,172.58,172.64,233300,172.64
2015-01-27,173.18,175.84,172.48,174.75,219100,174.75
2015-01-26,172.30,175.03,170.32,174.82,285300,174.82
2015-01-23,172.84,174.44,172.05,172.74,179300,172.74
2015-01-22,170.75,173.72,169.34,173.23,239500,173.23
2015-01-21,168.99,170.18,167.93,169.54,229600,169.54
2015-01-20,171.92,171.92,167.28,169.17,447100,169.17
2015-01-16,167.83,170.96,167.83,170.70,259500,170.70
2015-01-15,167.40,169.06,166.24,167.95,232600,167.95
2015-01-14,168.56,168.91,165.53,166.99,223600,166.99
2015-01-13,171.42,172.68,167.28,169.06,279700,169.06
2015-01-12,172.23,172.80,168.99,169.71,232400,169.71
2015-01-09,175.10,175.80,171.34,171.60,305400,171.60
2015-01-08,171.85,175.09,170.92,174.96,348200,174.96
2015-01-07,169.46,170.93,168.02,170.11,296700,170.11
2015-01-06,168.32,169.46,167.70,168.97,395900,168.97
2015-01-05,167.90,168.44,166.70,167.91,334200,167.91
2015-01-02,170.40,171.31,167.60,168.82,274700,168.82
2014-12-31,172.42,174.14,170.18,170.30,148100,170.30
2014-12-30,171.46,173.34,171.10,172.50,155800,172.50
2014-12-29,171.16,173.77,171.16,171.60,146900,171.60
2014-12-26,172.82,172.95,171.40,171.47,85900,171.47
2014-12-24,172.64,173.17,171.03,172.08,75100,172.08
