Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,24.45,24.45,24.45,24.45,500,24.45
2015-02-12,24.39,24.44,24.31,24.43,6800,24.43
2015-02-11,24.39,24.39,24.36,24.39,3900,24.39
2015-02-10,24.33,24.39,24.28,24.39,10800,24.39
2015-02-09,24.34,24.37,24.33,24.37,1700,24.37
2015-02-06,24.34,24.39,24.33,24.36,4300,24.36
2015-02-05,24.17,24.34,24.16,24.34,6000,24.34
2015-02-04,24.30,24.31,24.20,24.20,6800,24.20
2015-02-03,24.44,24.44,24.25,24.30,13100,24.30
2015-02-02,24.35,24.40,24.34,24.36,4800,24.36
2015-01-30,24.18,24.36,24.16,24.35,11100,24.35
2015-01-29,24.01,24.18,24.01,24.12,7000,24.12
2015-01-28,23.99,24.08,23.97,23.98,5500,23.98
2015-01-27,23.85,24.22,23.82,24.02,24600,24.02
2015-01-26,23.72,23.89,23.64,23.85,8700,23.85
2015-01-23,23.67,23.74,23.67,23.70,3500,23.70
2015-01-22,23.54,23.64,23.48,23.64,10100,23.64
2015-01-21,23.52,23.63,23.51,23.56,7000,23.56
2015-01-20,23.35,23.56,23.35,23.52,24300,23.52
2015-01-16,23.07,23.54,23.07,23.33,20300,23.33
2015-01-15,23.00,23.19,22.85,22.86,19600,22.86
2015-01-14,23.41,23.41,22.96,22.97,13000,22.97
2015-01-13,23.44,23.49,23.39,23.40,4800,23.40
2015-01-12,23.60,23.64,23.11,23.48,15600,23.48
2015-01-09,23.53,23.76,23.49,23.68,4000,23.68
2015-01-08,23.30,23.58,23.29,23.58,3400,23.58
2015-01-07,23.16,23.59,23.14,23.21,6100,23.21
2015-01-06,23.29,23.29,22.73,23.05,38100,23.05
2015-01-05,23.39,23.39,23.23,23.28,3600,23.28
2015-01-02,23.27,23.39,23.26,23.39,2300,23.39
2014-12-31,23.21,23.35,23.03,23.34,14000,23.34
2014-12-30,23.21,23.21,23.11,23.15,2200,23.15
2014-12-29,23.15,23.38,23.06,23.20,7500,23.20
2014-12-26,23.53,23.62,23.50,23.55,7000,23.07
