Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,24.56,24.95,24.56,24.95,5900,24.95
2015-02-12,24.90,24.90,24.85,24.90,2000,24.90
2015-02-11,24.70,24.80,24.41,24.80,5000,24.80
2015-02-10,25.05,25.15,24.98,25.15,5100,25.15
2015-02-09,25.02,25.02,24.97,24.97,700,24.97
2015-02-06,25.00,25.05,24.99,25.05,3400,25.05
2015-02-05,24.88,25.00,24.75,25.00,10500,25.00
2015-02-04,24.90,24.95,24.90,24.90,3500,24.90
2015-02-03,25.00,25.00,24.87,24.90,9900,24.90
2015-02-02,25.00,25.00,24.95,25.00,2700,25.00
2015-01-30,25.00,25.00,25.00,25.00,1900,25.00
2015-01-29,25.00,25.00,24.80,25.00,5000,25.00
