Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,22.05,23.74,21.82,23.23,2259000,23.23
2015-02-12,21.84,21.96,21.50,21.88,640900,21.88
2015-02-11,21.92,21.95,21.57,21.85,488300,21.85
2015-02-10,21.51,21.95,21.45,21.85,679200,21.85
2015-02-09,21.51,21.62,21.22,21.36,555600,21.36
2015-02-06,21.47,21.62,21.32,21.55,1049600,21.55
2015-02-05,21.79,21.79,21.38,21.47,1032000,21.47
2015-02-04,21.46,21.97,21.35,21.72,683300,21.72
2015-02-03,21.41,21.69,21.26,21.57,891000,21.57
2015-02-02,21.19,21.37,20.70,21.36,539700,21.36
2015-01-30,21.86,21.86,20.97,21.16,1104300,21.16
2015-01-29,21.07,21.12,20.78,21.10,400700,21.10
2015-01-28,21.21,21.32,20.85,20.99,607500,20.99
2015-01-27,20.88,21.35,20.88,21.07,907200,21.07
2015-01-26,20.83,21.15,20.46,21.10,907900,21.10
2015-01-23,20.80,20.85,20.63,20.74,677300,20.74
2015-01-22,20.12,20.79,20.00,20.76,1423500,20.76
2015-01-21,19.78,20.18,19.47,19.99,2049000,19.99
2015-01-20,20.00,20.10,19.57,19.78,1271300,19.78
2015-01-16,19.62,20.20,18.70,20.01,2716700,20.01
2015-01-15,21.06,21.30,20.97,21.09,720900,21.09
2015-01-14,20.94,21.11,20.64,21.06,717500,21.06
2015-01-13,21.00,21.46,20.98,21.20,796800,21.20
2015-01-12,20.67,20.99,20.59,20.92,688600,20.92
2015-01-09,20.65,20.70,20.50,20.65,494500,20.65
2015-01-08,20.37,20.66,20.26,20.61,637300,20.61
2015-01-07,19.99,20.26,19.82,20.26,741500,20.26
2015-01-06,20.27,20.44,19.79,19.99,1069700,19.99
2015-01-05,20.70,20.78,20.30,20.35,610800,20.35
2015-01-02,21.39,21.48,20.72,20.84,836200,20.84
2014-12-31,21.28,21.67,21.28,21.36,624500,21.36
2014-12-30,21.65,21.75,21.23,21.25,531500,21.25
2014-12-29,21.21,21.78,21.21,21.56,737400,21.56
2014-12-26,21.26,21.41,21.18,21.19,205400,21.19
2014-12-24,21.19,21.39,21.15,21.20,290600,21.20
2014-12-23,20.98,21.19,20.95,21.11,531400,21.11
2014-12-22,20.60,20.89,20.56,20.84,334400,20.84
2014-12-19,20.62,20.73,20.49,20.61,826000,20.61
2014-12-18,20.43,20.60,20.23,20.60,1032000,20.60
2014-12-17,20.16,20.65,20.13,20.61,1076000,20.61
2014-12-16,20.17,20.36,19.77,20.11,983200,20.11
2014-12-15,20.89,21.03,20.26,20.26,913900,20.26
2014-12-12,20.73,20.93,20.57,20.87,817400,20.87
2014-12-11,20.98,21.07,20.80,20.85,767300,20.85
2014-12-10,20.99,21.16,20.84,20.87,784400,20.87
2014-12-09,20.70,21.13,20.43,20.99,1077500,20.99
2014-12-08,21.19,21.33,20.73,20.89,1726600,20.89
