Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,1.39,1.39,1.39,1.39,000,1.39
2015-02-12,1.00,1.55,1.00,1.39,20700,1.39
2015-02-11,1.82,1.82,1.50,1.50,6200,1.50
2015-02-10,1.05,1.62,1.05,1.62,500,1.62
2015-02-09,1.10,1.10,1.10,1.10,000,1.10
2015-02-06,1.07,1.10,1.07,1.10,4700,1.10
2015-02-05,1.00,1.00,0.99,1.00,800,1.00
2015-02-04,1.10,1.10,1.09,1.10,1000,1.10
2015-02-03,1.00,1.10,0.81,1.10,7000,1.10
2015-02-02,0.99,0.99,0.99,0.99,000,0.99
2015-01-30,0.99,0.99,0.99,0.99,000,0.99
2015-01-29,0.90,0.99,0.90,0.99,1900,0.99
2015-01-28,0.99,0.99,0.99,0.99,000,0.99
2015-01-27,0.99,0.99,0.99,0.99,800,0.99
2015-01-26,0.99,0.99,0.99,0.99,000,0.99
2015-01-23,0.99,0.99,0.99,0.99,000,0.99
2015-01-22,0.81,0.99,0.81,0.99,3200,0.99
2015-01-21,1.00,1.00,1.00,1.00,000,1.00
2015-01-20,1.00,1.00,1.00,1.00,000,1.00
2015-01-16,1.00,1.00,1.00,1.00,600,1.00
2015-01-15,0.97,0.97,0.97,0.97,000,0.97
2015-01-14,0.85,1.02,0.85,0.97,2200,0.97
2015-01-13,1.00,1.00,0.99,0.99,5800,0.99
2015-01-12,1.00,1.05,0.91,1.03,1200,1.03
2015-01-09,1.00,1.10,1.00,1.10,3500,1.10
2015-01-08,0.86,1.00,0.86,1.00,3300,1.00
2015-01-07,0.86,0.86,0.86,0.86,100,0.86
2015-01-06,0.86,0.86,0.86,0.86,000,0.86
2015-01-05,0.86,0.86,0.86,0.86,000,0.86
2015-01-02,0.86,0.86,0.86,0.86,100,0.86
2014-12-31,0.86,1.00,0.85,1.00,11900,1.00
2014-12-30,0.95,0.95,0.95,0.95,000,0.95
2014-12-29,0.95,0.95,0.92,0.95,3800,0.95
2014-12-26,0.90,1.00,0.85,1.00,7900,1.00
2014-12-24,0.85,0.85,0.85,0.85,000,0.85
2014-12-23,1.05,1.05,1.05,1.05,400,1.05
2014-12-22,1.00,1.00,1.00,1.00,5000,1.00
2014-12-19,1.00,1.15,1.00,1.15,300,1.15
2014-12-18,0.98,0.98,0.98,0.98,000,0.98
2014-12-17,0.98,0.98,0.98,0.98,000,0.98
2014-12-16,0.96,0.98,0.96,0.98,1400,0.98
2014-12-15,1.00,1.00,0.91,0.97,2200,0.97
2014-12-12,1.12,1.12,1.12,1.12,000,1.12
2014-12-11,1.12,1.12,1.12,1.12,1300,1.12
2014-12-10,0.95,0.95,0.95,0.95,000,0.95
2014-12-09,1.00,1.00,0.95,0.95,2000,0.95
2014-12-08,0.99,0.99,0.99,0.99,1700,0.99
2014-12-05,1.08,1.08,1.08,1.08,000,1.08
2014-12-04,1.08,1.08,1.08,1.08,000,1.08
2014-12-03,1.08,1.08,1.08,1.08,000,1.08
2014-12-02,0.97,1.12,0.82,1.08,3200,1.08
2014-12-01,1.12,1.12,1.12,1.12,000,1.12
2014-11-28,1.12,1.12,1.12,1.12,000,1.12
2014-11-26,1.12,1.12,1.12,1.12,000,1.12
2014-11-25,1.04,1.15,1.04,1.12,1200,1.12
2014-11-24,0.90,0.96,0.81,0.94,48700,0.94
2014-11-21,1.00,1.00,1.00,1.00,7400,1.00
2014-11-20,1.20,1.20,1.00,1.10,38700,1.10
2014-11-19,1.10,1.11,1.10,1.11,1000,1.11
2014-11-18,1.30,1.30,1.30,1.30,000,1.30
2014-11-17,1.30,1.30,1.30,1.30,000,1.30
2014-11-14,1.30,1.30,1.30,1.30,000,1.30
2014-11-13,1.30,1.30,1.30,1.30,1000,1.30
