Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,65.54,66.34,65.54,66.25,467200,66.25
2015-02-12,65.50,65.69,64.85,65.46,676300,65.46
2015-02-11,63.95,65.59,63.95,65.10,1484700,65.10
2015-02-10,63.56,64.29,63.18,63.78,934000,63.78
2015-02-09,63.70,63.74,63.11,63.25,423900,62.97
2015-02-06,63.70,64.10,63.54,63.83,723300,63.55
2015-02-05,63.32,64.09,63.01,63.90,838400,63.62
2015-02-04,63.03,63.76,62.72,63.12,1043800,62.84
2015-02-03,62.55,63.62,62.26,63.53,753300,63.25
2015-02-02,62.27,62.67,61.26,62.59,1367400,62.31
2015-01-30,62.99,63.02,62.34,62.47,991100,62.19
2015-01-29,63.25,63.38,62.29,63.03,1139500,62.75
2015-01-28,64.54,64.75,63.19,63.32,1647200,63.04
2015-01-27,66.74,66.87,65.14,65.20,2426200,64.91
2015-01-26,65.17,67.32,65.05,67.17,2722300,66.87
2015-01-23,63.99,67.50,63.65,65.24,5307800,64.95
2015-01-22,59.99,61.95,59.64,61.86,2015300,61.59
2015-01-21,60.00,60.44,59.83,60.10,1660400,59.83
2015-01-20,59.86,60.54,59.57,60.22,2502800,59.95
2015-01-16,59.91,60.80,59.68,60.73,1375300,60.46
2015-01-15,60.41,60.59,60.15,60.27,1216600,60.00
2015-01-14,59.41,60.33,59.29,60.32,1236000,60.05
2015-01-13,58.92,60.16,58.92,59.83,1778000,59.57
2015-01-12,58.02,59.06,58.01,58.69,1074700,58.43
2015-01-09,58.14,58.31,57.46,58.16,910200,57.90
2015-01-08,57.25,58.14,57.10,57.99,1061100,57.73
2015-01-07,56.83,57.05,56.12,57.03,1179800,56.78
2015-01-06,56.94,57.27,56.45,56.65,1594200,56.40
2015-01-05,57.04,57.44,56.85,57.06,689800,56.81
2015-01-02,56.40,57.39,56.40,57.17,1035200,56.92
2014-12-31,56.87,57.18,56.06,56.06,621200,55.81
2014-12-30,56.81,57.17,56.46,56.74,435700,56.49
2014-12-29,57.31,57.50,56.88,56.90,517600,56.65
2014-12-26,57.48,57.57,57.24,57.36,277300,57.11
2014-12-24,57.03,57.42,56.62,57.39,424600,57.14
2014-12-23,57.00,57.02,56.23,56.99,1039400,56.74
2014-12-22,56.33,57.00,56.08,56.79,703300,56.54
2014-12-19,55.90,56.40,55.43,56.24,1228400,55.99
2014-12-18,55.12,56.42,55.03,55.92,1339000,55.67
2014-12-17,54.32,55.00,53.76,54.95,2590200,54.71
2014-12-16,53.23,54.74,53.01,54.47,1672300,54.23
2014-12-15,53.25,53.66,52.79,53.35,933800,53.11
2014-12-12,53.30,53.65,52.63,53.46,822100,53.22
2014-12-11,53.54,53.78,53.18,53.59,698000,53.35
2014-12-10,53.49,53.77,53.11,53.35,1188400,53.11
2014-12-09,54.44,54.49,53.93,54.45,651300,54.21
2014-12-08,54.37,54.92,54.30,54.75,824400,54.51
2014-12-05,54.43,54.58,54.00,54.47,517900,54.23
2014-12-04,53.85,54.25,53.66,54.25,464200,54.01
2014-12-03,53.47,54.05,53.35,54.02,543500,53.78
2014-12-02,53.13,53.77,52.81,53.59,642000,53.35
2014-12-01,52.93,53.44,52.75,53.29,794700,53.05
2014-11-28,53.10,53.72,53.00,53.20,465300,52.96
2014-11-26,53.12,53.76,53.01,53.65,731500,53.41
2014-11-25,52.92,53.24,52.59,53.05,739100,52.82
2014-11-24,52.50,52.85,52.05,52.83,921800,52.60
2014-11-21,52.63,52.85,52.25,52.85,793900,52.62
2014-11-20,51.79,52.54,51.71,52.50,563200,52.27
2014-11-19,52.25,52.48,51.72,52.02,725100,51.79
2014-11-18,51.99,52.59,51.91,52.32,1279100,52.09
2014-11-17,52.10,52.40,51.66,52.27,1039200,51.76
2014-11-14,52.06,52.38,51.74,52.37,600700,51.86
2014-11-13,52.07,52.49,51.95,51.99,588200,51.48
2014-11-12,51.13,52.35,51.05,52.23,1099500,51.72
2014-11-11,51.06,51.47,50.78,51.15,379800,50.65
2014-11-10,51.05,51.47,50.88,51.02,443100,50.52
2014-11-07,51.55,51.55,50.96,51.14,525300,50.64
2014-11-06,51.44,51.65,51.14,51.57,410700,51.07
2014-11-05,52.00,52.05,51.35,51.45,539200,50.95
2014-11-04,51.34,51.86,51.34,51.81,345300,51.30
2014-11-03,52.00,52.08,51.52,51.71,622900,51.21
2014-10-31,52.41,52.54,51.94,52.22,1114900,51.71
2014-10-30,51.58,52.14,51.38,52.11,759300,51.60
2014-10-29,52.22,52.50,51.67,51.81,919600,51.30
2014-10-28,51.75,52.47,51.52,52.34,1166500,51.83
2014-10-27,51.79,51.88,50.82,51.55,1582400,51.05
2014-10-24,52.41,53.50,50.86,52.02,2924900,51.51
2014-10-23,47.60,48.10,47.46,47.70,1153400,47.23
2014-10-22,47.98,48.18,47.39,47.50,1014700,47.04
2014-10-21,47.45,48.11,47.41,48.02,1397600,47.55
2014-10-20,46.54,47.09,46.51,47.04,1238000,46.58
2014-10-17,46.78,47.57,46.29,46.77,1649000,46.31
2014-10-16,45.83,46.60,45.74,46.25,1609800,45.80
2014-10-15,47.09,47.28,46.24,46.85,2650400,46.39
2014-10-14,48.50,48.50,47.66,47.81,1501100,47.34
2014-10-13,48.30,48.87,47.56,48.46,1443200,47.99
2014-10-10,48.45,49.31,47.95,48.54,1752700,48.07
2014-10-09,50.64,50.75,47.90,48.94,3955400,48.46
2014-10-08,50.37,50.96,50.06,50.86,1291300,50.36
2014-10-07,50.84,51.17,50.49,50.71,842200,50.22
2014-10-06,50.58,51.53,50.58,51.33,767600,50.83
2014-10-03,49.83,50.40,49.57,50.23,978800,49.74
2014-10-02,49.37,49.87,49.13,49.84,1049700,49.35
2014-10-01,49.11,49.98,49.03,49.50,1068700,49.02
2014-09-30,49.84,49.84,49.25,49.27,748000,48.79
2014-09-29,49.46,50.16,49.08,49.97,646600,49.48
2014-09-26,49.93,49.95,49.26,49.77,844400,49.28
2014-09-25,49.95,50.01,49.32,49.83,716900,49.34
2014-09-24,50.24,50.24,49.92,50.13,454400,49.64
2014-09-23,50.40,50.61,50.02,50.16,647100,49.67
2014-09-22,51.21,51.21,50.38,50.40,723600,49.91
2014-09-19,51.97,52.02,51.24,51.29,857000,50.79
2014-09-18,51.58,51.78,51.38,51.58,561400,51.08
2014-09-17,52.23,52.30,51.54,51.56,922600,51.06
2014-09-16,52.22,52.59,51.90,52.10,754400,51.59
2014-09-15,52.60,52.60,52.20,52.43,765600,51.92
2014-09-12,52.82,52.88,52.30,52.50,677300,51.99
2014-09-11,52.52,52.97,52.52,52.79,821600,52.27
2014-09-10,52.69,52.86,52.35,52.61,410400,52.10
2014-09-09,52.83,52.85,52.48,52.50,696600,51.99
2014-09-08,53.06,53.24,52.58,52.81,607900,52.29
2014-09-05,53.34,53.55,52.52,52.98,449700,52.46
2014-09-04,53.50,53.66,53.24,53.35,779000,52.83
2014-09-03,53.25,53.49,53.17,53.30,876200,52.78
2014-09-02,53.00,53.43,52.80,52.89,924000,52.37
2014-08-29,53.18,53.50,53.01,53.05,576800,52.53
2014-08-28,52.67,53.14,52.65,52.93,908800,52.41
2014-08-27,52.50,52.65,52.34,52.50,494700,51.99
2014-08-26,51.69,52.32,51.69,52.12,636300,51.61
2014-08-25,51.92,52.02,51.22,51.45,535000,50.95
2014-08-22,51.74,52.17,51.74,51.88,515100,51.37
2014-08-21,52.02,52.02,51.46,51.75,566100,51.24
2014-08-20,51.96,52.28,51.70,52.07,752200,51.56
2014-08-19,51.69,51.69,51.14,51.53,817800,51.03
2014-08-18,51.48,52.10,51.37,51.66,639300,50.88
2014-08-15,51.76,51.97,51.04,51.40,523400,50.62
2014-08-14,51.27,51.61,51.14,51.54,960500,50.76
2014-08-13,51.11,51.56,51.11,51.34,962800,50.56
2014-08-12,51.17,51.43,50.99,51.15,621200,50.38
2014-08-11,50.35,51.58,50.21,51.38,1387100,50.60
2014-08-08,49.79,50.84,49.37,50.39,783100,49.63
2014-08-07,49.83,50.35,49.68,49.97,963500,49.21
2014-08-06,49.20,50.29,48.89,50.21,665400,49.45
2014-08-05,49.37,49.80,48.96,49.41,820900,48.66
2014-08-04,49.53,49.53,47.98,49.37,1156500,48.62
2014-08-01,46.49,50.35,46.49,49.68,4146200,48.93
2014-07-31,51.40,51.83,50.84,51.74,1286500,50.96
2014-07-30,51.60,51.83,51.07,51.80,922400,51.02
2014-07-29,50.95,51.78,49.74,51.40,796600,50.62
2014-07-28,51.00,51.15,50.48,51.00,706100,50.23
2014-07-25,50.65,51.13,50.59,51.10,578700,50.33
2014-07-24,50.17,50.60,50.05,50.28,419400,49.52
2014-07-23,49.76,50.22,49.55,50.17,463000,49.41
2014-07-22,49.48,49.87,49.31,49.75,556700,49.00
2014-07-21,49.08,49.25,48.67,48.93,522200,48.19
2014-07-18,48.98,49.50,48.69,49.43,718900,48.68
2014-07-17,48.86,49.16,48.57,48.65,857100,47.91
2014-07-16,49.27,49.39,48.55,48.69,1147700,47.95
2014-07-15,49.22,49.55,49.13,49.14,499400,48.40
2014-07-14,49.50,49.50,49.09,49.32,632800,48.57
2014-07-11,49.57,49.60,49.01,49.26,681700,48.51
2014-07-10,48.88,49.84,48.88,49.59,847500,48.84
2014-07-09,49.27,49.52,49.13,49.36,873000,48.61
2014-07-08,49.36,49.47,48.91,48.95,901300,48.21
2014-07-07,49.84,50.00,49.46,49.61,693300,48.86
2014-07-03,50.04,50.25,49.76,50.08,1237500,49.32
2014-07-02,50.32,51.14,49.96,50.50,1222000,49.74
2014-07-01,50.11,50.57,49.52,49.86,2194400,49.11
2014-06-30,51.67,52.13,50.21,50.63,1497700,49.86
2014-06-27,51.85,52.51,51.75,52.46,885200,51.67
2014-06-26,51.53,51.87,50.50,51.84,760300,51.06
2014-06-25,51.25,51.89,51.20,51.59,544300,50.81
2014-06-24,51.80,51.97,51.19,51.20,609500,50.43
2014-06-23,51.55,52.56,51.54,51.89,660700,51.11
2014-06-20,52.48,52.95,51.12,51.54,1637800,50.76
2014-06-19,53.32,53.56,53.13,53.19,323300,52.39
2014-06-18,52.70,53.12,52.59,53.06,273500,52.26
2014-06-17,52.88,53.52,52.47,52.69,677900,51.89
2014-06-16,53.11,53.41,52.76,53.02,430000,52.22
2014-06-13,53.67,53.92,53.09,53.15,434800,52.35
2014-06-12,53.00,53.82,52.88,53.76,825600,52.95
2014-06-11,52.37,53.03,52.11,53.00,582800,52.20
2014-06-10,51.72,52.70,51.70,52.57,642700,51.77
2014-06-09,51.16,51.61,51.14,51.60,316300,50.82
2014-06-06,51.61,51.83,51.19,51.32,401200,50.54
2014-06-05,50.46,51.44,50.43,51.29,529800,50.51
2014-06-04,49.78,50.31,49.78,50.20,338200,49.44
2014-06-03,49.63,50.22,49.45,49.75,419200,49.00
2014-06-02,50.07,50.23,49.42,49.86,805100,49.11
2014-05-30,50.30,50.40,49.86,50.06,425600,49.30
2014-05-29,49.84,50.74,49.67,50.21,639500,49.45
2014-05-28,49.54,49.90,49.33,49.61,537100,48.86
2014-05-27,50.13,50.43,49.35,49.62,845200,48.87
2014-05-23,50.28,50.30,48.89,50.04,1564200,49.28
2014-05-22,50.35,50.99,50.16,50.93,478700,50.16
2014-05-21,50.17,50.46,49.90,50.24,494000,49.48
2014-05-20,50.47,50.72,50.02,50.06,700200,49.30
2014-05-19,50.43,50.76,50.13,50.65,593800,49.88
2014-05-16,49.87,50.62,49.72,50.57,531400,49.81
2014-05-15,50.54,50.99,49.78,50.09,1237000,49.09
2014-05-14,50.92,50.95,50.45,50.60,563600,49.59
2014-05-13,51.26,51.34,50.67,51.00,854600,49.98
2014-05-12,50.65,51.54,50.56,51.43,796800,50.40
2014-05-09,49.70,50.66,49.50,50.65,890600,49.63
2014-05-08,49.80,50.27,49.72,49.99,732200,48.99
2014-05-07,49.91,49.99,49.31,49.97,841700,48.97
2014-05-06,50.00,50.08,49.50,49.81,645100,48.81
2014-05-05,49.75,50.35,49.03,50.14,620800,49.14
2014-05-02,49.73,50.01,49.43,49.89,816500,48.89
2014-05-01,49.80,50.10,49.65,49.88,839200,48.88
2014-04-30,50.00,50.02,49.43,49.85,1227600,48.85
2014-04-29,48.99,50.51,48.80,50.02,1935100,49.02
2014-04-28,48.29,48.47,47.41,48.15,1045200,47.18
2014-04-25,47.22,47.91,47.14,47.83,1215100,46.87
2014-04-24,48.53,49.46,46.75,47.41,2762000,46.46
2014-04-23,47.52,47.52,46.07,46.75,1259700,45.81
2014-04-22,47.41,47.65,47.17,47.60,824200,46.65
2014-04-21,47.32,48.41,47.07,47.38,2309200,46.43
2014-04-17,46.93,47.49,46.47,47.44,1415200,46.49
2014-04-16,47.25,47.39,46.25,46.49,767600,45.56
2014-04-15,45.60,46.88,45.58,46.85,2363200,45.91
2014-04-14,44.56,46.07,44.26,45.95,1244300,45.03
2014-04-11,44.95,45.13,44.37,44.43,766800,43.54
2014-04-10,45.52,45.53,45.01,45.20,1134700,44.29
2014-04-09,45.40,45.45,44.53,45.44,831500,44.53
2014-04-08,45.73,45.92,45.13,45.31,869200,44.40
2014-04-07,45.22,45.62,44.58,45.01,1482100,44.11
2014-04-04,44.95,45.74,44.71,44.81,509600,43.91
2014-04-03,44.57,45.01,44.57,44.78,698900,43.88
2014-04-02,44.99,45.40,44.87,45.35,504700,44.44
2014-04-01,44.69,45.28,44.63,45.24,1533800,44.33
2014-03-31,44.18,44.82,43.76,44.69,537500,43.79
2014-03-28,43.98,44.61,43.84,43.89,460900,43.01
2014-03-27,43.67,44.12,43.40,43.70,734500,42.82
2014-03-26,43.88,43.98,43.49,43.56,622800,42.69
2014-03-25,43.00,43.65,42.84,43.63,718000,42.76
2014-03-24,43.93,44.01,42.66,42.97,1168600,42.11
2014-03-21,44.25,44.45,43.00,43.55,1735400,42.68
2014-03-20,44.31,44.46,43.74,43.87,925000,42.99
2014-03-19,44.68,45.03,44.50,44.54,1131000,43.65
2014-03-18,43.82,44.35,43.76,44.24,608300,43.35
2014-03-17,44.12,44.21,43.40,43.73,809400,42.85
2014-03-14,43.70,43.84,43.10,43.31,949100,42.44
2014-03-13,44.96,45.02,43.88,43.97,1021500,43.09
2014-03-12,44.66,45.45,44.58,45.11,1006900,44.21
2014-03-11,44.68,44.76,44.18,44.49,549200,43.60
2014-03-10,44.31,44.65,44.20,44.53,908700,43.64
2014-03-07,44.66,44.72,44.07,44.21,800400,43.32
2014-03-06,43.98,44.23,43.82,44.01,500700,43.13
2014-03-05,44.36,44.64,44.08,44.22,614800,43.33
2014-03-04,44.01,44.56,43.85,44.11,911600,43.23
2014-03-03,42.77,43.91,42.19,43.49,708100,42.62
2014-02-28,43.38,44.95,43.28,44.02,1893500,43.14
2014-02-27,42.90,44.35,42.48,44.21,3225300,43.32
2014-02-26,44.64,44.76,43.62,43.82,2153600,42.94
2014-02-25,46.30,46.30,44.43,44.65,2251400,43.76
2014-02-24,46.21,46.64,45.76,46.27,822200,45.34
2014-02-21,46.75,46.75,46.14,46.26,528400,45.33
2014-02-20,46.15,46.60,45.87,46.54,926900,45.61
2014-02-19,45.83,46.28,45.38,46.14,946000,45.22
2014-02-18,46.00,46.45,45.94,46.13,1104100,45.21
2014-02-14,45.78,45.96,45.57,45.74,407900,44.82
2014-02-13,45.50,46.00,45.36,45.97,657400,44.80
2014-02-12,45.53,46.12,45.53,45.93,1589700,44.76
2014-02-11,45.79,45.96,45.08,45.53,1323600,44.37
2014-02-10,43.99,45.71,43.95,45.58,1391600,44.42
2014-02-07,43.62,43.67,43.04,43.67,769900,42.56
2014-02-06,43.89,44.39,43.49,43.69,1290500,42.58
2014-02-05,43.16,43.91,42.83,43.48,1189900,42.38
2014-02-04,42.71,43.25,42.40,43.11,1605300,42.02
2014-02-03,43.37,43.41,41.52,42.03,3056000,40.96
2014-01-31,43.68,43.87,43.36,43.61,753000,42.50
2014-01-30,43.13,44.13,43.08,43.94,704500,42.83
2014-01-29,43.16,43.89,43.05,43.61,1266900,42.50
2014-01-28,43.50,44.17,43.50,44.10,889400,42.98
2014-01-27,43.84,44.07,43.57,43.81,1681100,42.70
2014-01-24,43.29,44.24,43.02,43.88,4123900,42.77
2014-01-23,46.40,47.38,46.19,46.88,1858200,45.69
2014-01-22,46.15,46.79,46.13,46.52,1394300,45.34
2014-01-21,45.00,46.32,44.62,46.10,1391900,44.93
2014-01-17,45.06,46.03,44.90,45.63,1011700,44.47
2014-01-16,46.05,46.14,45.67,45.81,1093400,44.65
2014-01-15,46.19,46.71,45.91,46.69,1058200,45.51
2014-01-14,46.71,46.71,45.71,45.87,1914500,44.71
2014-01-13,47.70,47.92,46.60,46.83,1057700,45.64
2014-01-10,47.77,47.98,47.56,47.78,516200,46.57
2014-01-09,47.64,48.33,47.34,47.82,1250900,46.61
2014-01-08,47.31,47.96,47.06,47.79,928900,46.58
2014-01-07,46.52,47.75,46.50,47.41,990700,46.21
2014-01-06,46.40,46.73,46.21,46.32,1177000,45.14
2014-01-03,46.85,47.50,46.59,46.75,958000,45.56
2014-01-02,47.01,47.01,46.13,46.20,773400,45.03
2013-12-31,47.27,47.59,46.98,47.08,480800,45.89
2013-12-30,47.17,47.64,47.13,47.21,750900,46.01
2013-12-27,47.28,47.29,46.71,46.96,434700,45.77
2013-12-26,46.99,47.39,46.99,47.28,633300,46.08
2013-12-24,46.89,47.12,46.71,46.95,241700,45.76
2013-12-23,46.49,46.65,46.25,46.61,610700,45.43
2013-12-20,46.07,46.57,45.95,46.09,1618600,44.92
2013-12-19,45.71,45.80,45.25,45.65,1796200,44.49
2013-12-18,45.65,46.04,45.38,45.77,1295300,44.61
2013-12-17,46.31,46.32,45.51,45.86,1476400,44.70
2013-12-16,46.75,46.91,46.11,46.15,1114300,44.98
2013-12-13,46.28,46.82,46.25,46.46,2351300,45.28
2013-12-12,47.60,47.60,45.14,45.36,1422200,44.21
2013-12-11,47.50,47.50,45.31,45.49,2040800,44.34
2013-12-10,47.49,47.98,46.88,47.42,1341800,46.22
2013-12-09,47.97,48.35,47.61,48.13,1083000,46.91
2013-12-06,47.10,48.05,47.10,47.88,1007900,46.67
2013-12-05,47.08,47.42,46.80,47.23,923100,46.03
2013-12-04,47.95,47.98,46.74,47.20,2276600,46.00
2013-12-03,48.84,49.28,48.25,48.72,2094400,47.48
2013-12-02,48.81,49.41,48.36,48.84,878000,47.60
2013-11-29,48.57,48.98,48.15,48.81,522200,47.57
2013-11-27,49.34,49.41,48.44,48.67,1748300,47.44
2013-11-26,49.88,49.88,49.04,49.57,1611200,48.31
2013-11-25,51.02,51.19,50.68,50.73,427100,49.44
2013-11-22,50.69,51.15,50.55,51.08,319600,49.78
2013-11-21,51.30,51.30,50.72,50.81,951000,49.52
2013-11-20,51.25,51.50,50.99,51.25,979400,49.95
2013-11-19,50.55,51.21,50.52,50.89,969500,49.60
2013-11-18,51.00,51.31,50.55,50.73,606600,49.44
2013-11-15,51.43,51.48,50.56,51.05,963400,49.75
2013-11-14,50.77,51.69,50.62,51.50,891300,49.95
2013-11-13,50.03,51.26,50.03,51.25,1356700,49.71
2013-11-12,50.53,50.58,49.73,49.97,879000,48.47
2013-11-11,50.51,50.86,50.42,50.74,708900,49.21
2013-11-08,49.50,50.64,49.50,50.61,853700,49.09
2013-11-07,50.14,50.44,49.25,49.30,1439300,47.82
2013-11-06,50.42,50.50,49.80,49.88,825100,48.38
2013-11-05,50.45,50.66,50.20,50.40,905600,48.88
2013-11-04,50.79,50.89,50.35,50.78,557800,49.25
2013-11-01,51.57,51.58,50.33,50.90,1037200,49.37
2013-10-31,51.31,51.85,51.16,51.74,1649200,50.18
2013-10-30,51.40,51.53,50.54,51.45,1749100,49.90
2013-10-29,50.43,50.79,50.24,50.69,1742400,49.16
2013-10-28,50.74,51.12,49.39,50.13,3704400,48.62
2013-10-25,50.97,51.68,48.72,49.55,6832300,48.06
2013-10-24,56.35,56.70,55.86,56.31,1838600,54.61
2013-10-23,56.60,57.14,56.35,57.11,701000,55.39
2013-10-22,56.99,57.34,56.48,56.91,1093000,55.20
2013-10-21,56.48,56.78,56.21,56.34,1223700,54.64
2013-10-18,55.97,56.52,55.64,56.22,1231200,54.53
2013-10-17,55.79,56.04,55.62,55.87,1161900,54.19
2013-10-16,55.34,56.00,55.34,55.91,1015000,54.23
2013-10-15,56.09,56.28,55.01,55.17,750200,53.51
2013-10-14,56.08,56.11,55.16,56.03,1237400,54.34
2013-10-11,55.54,56.33,55.29,56.14,945100,54.45
2013-10-10,54.80,55.91,54.71,55.91,1152500,54.23
2013-10-09,53.21,54.47,53.14,54.30,1485000,52.67
2013-10-08,53.53,53.83,52.84,52.90,1109100,51.31
2013-10-07,53.42,54.45,53.16,53.68,1153600,52.06
2013-10-04,53.50,54.04,53.37,54.01,783900,52.38
2013-10-03,53.34,53.90,53.19,53.37,1229000,51.76
2013-10-02,52.71,53.34,52.22,53.19,1093100,51.59
2013-10-01,53.03,53.68,52.64,53.41,1630500,51.80
2013-09-30,52.35,53.00,52.31,52.82,1309600,51.23
2013-09-27,52.61,52.84,52.25,52.70,794500,51.11
2013-09-26,53.21,53.47,52.61,52.90,755300,51.31
2013-09-25,52.83,53.13,52.63,52.70,628300,51.11
2013-09-24,52.80,53.26,52.52,52.55,1056100,50.97
2013-09-23,53.00,53.40,52.66,52.82,673500,51.23
2013-09-20,53.51,53.74,52.70,52.70,1347800,51.11
2013-09-19,54.20,54.34,53.66,53.79,575200,52.17
2013-09-18,53.83,54.39,52.74,54.36,1046800,52.72
2013-09-17,53.50,53.95,53.44,53.73,789900,52.11
2013-09-16,53.33,53.63,52.96,53.42,523500,51.81
2013-09-13,52.32,52.77,52.12,52.68,540600,51.09
2013-09-12,51.89,52.60,51.89,52.38,909300,50.80
2013-09-11,52.05,52.74,51.84,52.01,1388900,50.44
2013-09-10,50.76,52.29,50.69,52.26,1048900,50.69
2013-09-09,49.38,50.70,49.34,50.67,869100,49.14
2013-09-06,49.53,49.72,49.04,49.15,749100,47.67
2013-09-05,48.05,49.38,47.94,49.19,938300,47.71
2013-09-04,47.37,47.98,47.12,47.94,565200,46.50
2013-09-03,47.73,47.91,47.18,47.49,1260200,46.06
2013-08-30,48.25,48.53,47.00,47.24,1583300,45.82
2013-08-29,48.22,48.46,47.92,48.23,663200,46.78
2013-08-28,48.69,48.91,47.96,48.20,759500,46.75
2013-08-27,49.00,49.25,48.70,48.79,723800,47.32
2013-08-26,49.50,49.73,49.18,49.28,666200,47.80
2013-08-23,49.24,49.55,48.52,49.18,475800,47.70
2013-08-22,49.20,49.71,48.46,49.14,547900,47.66
2013-08-21,49.75,49.75,48.70,48.87,665200,47.40
2013-08-20,49.55,49.78,49.29,49.32,812800,47.84
2013-08-19,49.36,49.86,49.35,49.51,1122500,48.02
2013-08-16,48.90,49.76,48.70,49.52,971900,48.03
2013-08-15,49.09,50.28,48.65,48.73,625500,47.02
2013-08-14,48.79,48.95,48.19,48.72,950000,47.01
2013-08-13,49.80,50.00,49.12,49.17,723000,47.45
2013-08-12,50.00,50.13,49.51,49.70,649500,47.96
2013-08-09,50.00,50.43,49.63,50.24,894600,48.48
2013-08-08,49.37,50.11,49.22,49.89,1645200,48.14
2013-08-07,47.93,48.48,47.85,48.34,873600,46.64
2013-08-06,48.16,48.41,47.53,47.97,1451000,46.29
2013-08-05,48.00,48.25,47.05,47.18,1279300,45.52
2013-08-02,50.33,51.00,47.40,47.89,3045500,46.21
2013-08-01,48.50,49.44,47.90,48.38,2143400,46.68
2013-07-31,46.79,47.89,46.45,47.65,1571000,45.98
2013-07-30,46.60,47.56,46.07,46.83,1533900,45.19
2013-07-29,45.81,46.21,45.60,46.15,860300,44.53
2013-07-26,45.40,45.91,45.31,45.80,672100,44.19
2013-07-25,44.74,45.51,44.50,45.48,674900,43.88
