Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.54,14.79,14.15,14.26,196800,14.26
2015-02-12,14.48,14.67,14.09,14.63,82700,14.63
2015-02-11,14.30,14.50,13.90,14.30,113500,14.30
2015-02-10,14.36,14.74,14.03,14.33,145500,14.33
2015-02-09,14.33,14.50,13.90,14.37,155100,14.37
2015-02-06,14.67,14.76,14.38,14.50,133000,14.48
2015-02-05,14.64,14.87,14.41,14.50,176200,14.48
2015-02-04,14.32,14.54,14.10,14.42,159200,14.40
2015-02-03,14.10,14.58,13.99,14.55,305000,14.53
2015-02-02,14.14,14.46,13.79,13.86,141500,13.84
2015-01-30,13.94,14.19,13.74,14.01,150900,13.99
2015-01-29,13.98,14.27,13.50,13.81,94700,13.79
2015-01-28,13.80,14.09,13.60,13.92,96400,13.90
2015-01-27,13.91,14.44,13.78,14.07,99500,14.05
2015-01-26,13.38,14.12,13.36,14.00,151100,13.98
2015-01-23,13.90,13.90,13.35,13.54,324900,13.52
2015-01-22,14.05,14.47,13.55,13.93,308100,13.91
2015-01-21,14.40,14.75,13.74,13.89,482100,13.87
2015-01-20,14.97,15.01,14.10,14.39,169800,14.37
2015-01-16,14.74,15.43,14.56,15.13,196400,15.11
2015-01-15,15.30,15.70,14.75,14.89,182100,14.87
2015-01-14,14.90,15.23,14.51,15.15,131500,15.13
2015-01-13,15.26,15.50,14.58,15.07,177900,15.05
2015-01-12,15.55,15.55,15.03,15.24,294600,15.22
2015-01-09,15.80,15.80,15.30,15.41,71200,15.39
2015-01-08,15.50,15.86,15.08,15.50,95600,15.48
2015-01-07,15.62,15.87,15.05,15.45,1257700,15.43
2015-01-06,15.60,15.68,14.50,15.18,439900,15.16
2015-01-05,16.70,16.96,15.40,15.58,143400,15.56
2015-01-02,16.46,17.19,16.46,16.67,267900,16.65
2014-12-31,16.01,16.99,15.94,16.75,987500,16.73
2014-12-30,16.35,16.35,15.81,16.04,217700,16.02
2014-12-29,15.90,16.60,15.71,16.16,199400,16.14
2014-12-26,15.90,16.35,15.52,15.79,92300,15.77
2014-12-24,15.80,16.25,15.60,15.88,110100,15.86
2014-12-23,16.50,16.72,15.48,15.74,472500,15.72
2014-12-22,16.96,17.49,16.21,16.30,489600,16.28
2014-12-19,17.60,18.00,17.05,17.15,324700,17.13
2014-12-18,16.67,18.02,16.55,17.86,3166000,17.84
2014-12-17,15.79,16.48,15.75,16.30,17914000,16.28
