Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,117.05,118.24,117.01,117.90,999100,117.90
2015-02-12,115.94,117.05,115.32,116.88,1114300,116.88
2015-02-11,114.78,115.84,113.74,115.33,1169100,114.68
2015-02-10,115.47,115.67,113.56,115.00,908200,114.35
2015-02-09,112.00,115.11,111.46,115.03,1134900,114.38
2015-02-06,113.12,114.25,112.25,112.65,947700,112.02
2015-02-05,112.14,113.27,112.08,113.04,823400,112.40
2015-02-04,113.73,113.73,111.81,112.10,1373800,111.47
2015-02-03,113.05,114.55,112.24,114.33,1484100,113.69
2015-02-02,109.38,112.17,108.95,111.89,1305000,111.26
2015-01-30,109.03,109.68,108.05,108.92,1349700,108.31
2015-01-29,108.78,110.11,106.82,110.02,1738600,109.40
2015-01-28,109.51,111.42,107.49,108.56,4328000,107.95
2015-01-27,107.73,108.26,104.69,107.24,3431300,106.64
2015-01-26,106.62,107.32,105.49,107.25,1156100,106.65
2015-01-23,108.25,108.85,106.73,106.86,1075600,106.26
2015-01-22,108.21,109.02,106.47,108.52,1806800,107.91
2015-01-21,104.97,106.49,104.97,106.39,684400,105.79
2015-01-20,105.39,106.01,104.22,105.45,1129800,104.86
2015-01-16,104.49,104.77,102.31,104.69,1392100,104.10
2015-01-15,104.87,106.31,104.30,104.80,1280600,104.21
2015-01-14,103.00,105.02,102.60,104.87,1799100,104.28
2015-01-13,106.45,107.09,103.26,104.48,912800,103.89
2015-01-12,107.24,107.28,105.18,106.00,665500,105.40
2015-01-09,109.97,109.97,106.21,107.51,1121000,106.90
2015-01-08,107.34,109.41,107.17,109.39,847400,108.77
2015-01-07,107.18,107.55,105.92,106.26,1242100,105.66
2015-01-06,107.25,107.77,104.89,106.08,1059900,105.48
2015-01-05,109.66,109.93,107.08,107.31,1337500,106.71
2015-01-02,111.93,112.58,109.95,111.04,712600,110.41
2014-12-31,112.65,113.36,111.08,111.20,617600,110.57
2014-12-30,113.26,113.26,112.07,112.35,484200,111.72
2014-12-29,112.79,113.57,112.19,113.09,401800,112.45
2014-12-26,113.00,113.69,112.87,113.01,326900,112.37
2014-12-24,113.54,113.76,112.40,112.93,320900,112.29
2014-12-23,112.95,114.06,112.52,113.29,620600,112.65
2014-12-22,112.00,112.55,110.98,112.39,778600,111.76
2014-12-19,112.09,112.64,111.17,111.79,2296900,111.16
2014-12-18,109.69,111.47,109.32,111.44,1587100,110.81
2014-12-17,104.96,108.16,104.27,107.93,1988200,107.32
2014-12-16,103.69,106.46,103.10,104.83,2295900,104.24
2014-12-15,105.64,106.19,103.15,103.38,1321100,102.80
2014-12-12,105.58,106.86,104.77,104.80,1780500,104.21
2014-12-11,107.37,108.31,106.57,106.89,1425100,106.29
2014-12-10,110.49,110.87,106.62,106.87,1365600,106.27
2014-12-09,109.81,111.17,109.19,111.06,1037100,110.43
2014-12-08,113.94,114.18,111.38,111.66,1076300,111.03
2014-12-05,114.54,115.58,113.54,114.29,1543600,113.65
2014-12-04,117.67,118.03,115.90,116.30,985800,115.64
2014-12-03,116.21,118.32,116.21,117.93,1384100,117.27
2014-12-02,112.25,116.88,111.90,115.69,2202000,115.04
2014-12-01,113.23,113.69,111.17,111.62,1956400,110.99
2014-11-28,113.75,116.11,112.13,115.41,2183400,114.76
2014-11-26,115.18,115.20,113.90,114.65,469400,114.00
2014-11-25,114.75,115.42,114.04,114.81,899500,114.16
2014-11-24,114.37,114.68,113.81,114.26,762600,113.62
2014-11-21,111.74,115.13,111.74,113.64,1355100,113.00
2014-11-20,109.34,110.84,109.16,110.36,747300,109.74
2014-11-19,110.43,110.89,109.78,110.19,561000,109.57
2014-11-18,110.36,111.44,110.20,110.89,880400,110.27
2014-11-17,109.50,110.89,109.30,110.18,675000,109.56
2014-11-14,108.20,110.26,107.70,110.12,960700,109.50
2014-11-13,110.85,111.85,107.25,108.16,1868400,107.55
2014-11-12,114.25,117.37,112.27,112.44,1585900,111.16
2014-11-11,112.63,112.93,112.00,112.86,751400,111.58
2014-11-10,112.32,113.05,112.25,112.75,626800,111.47
2014-11-07,112.04,112.34,111.12,112.29,848500,111.01
2014-11-06,110.37,112.26,110.30,111.77,866600,110.50
2014-11-05,110.26,111.09,109.37,110.23,942500,108.98
2014-11-04,110.73,110.79,108.96,109.25,939200,108.01
2014-11-03,112.35,112.78,110.67,110.84,715000,109.58
2014-10-31,112.14,112.54,111.37,112.35,705600,111.07
2014-10-30,108.83,110.31,107.97,110.25,724600,108.99
2014-10-29,110.61,110.98,108.53,109.22,634000,107.98
2014-10-28,108.97,111.25,108.52,110.88,861000,109.62
2014-10-27,108.63,108.63,106.78,107.94,607900,106.71
2014-10-24,107.70,109.31,106.61,109.31,872000,108.07
2014-10-23,106.50,108.79,106.50,107.67,1170000,106.44
2014-10-22,108.82,108.82,105.09,105.13,1221500,103.93
2014-10-21,105.94,108.99,105.73,108.96,895900,107.72
2014-10-20,104.67,105.23,104.16,105.12,855800,103.92
2014-10-17,104.68,106.70,104.63,105.17,1306600,103.97
2014-10-16,98.84,103.53,98.61,103.12,1439800,101.95
2014-10-15,100.03,101.51,98.72,100.78,1605200,99.63
2014-10-14,99.04,103.12,99.04,100.97,1765400,99.82
2014-10-13,100.98,101.41,98.55,98.60,1280300,97.48
2014-10-10,102.80,103.12,99.93,100.52,2333700,99.38
2014-10-09,108.02,108.14,102.68,102.95,2061600,101.78
2014-10-08,105.96,108.06,104.34,108.06,1972700,106.83
2014-10-07,108.10,108.30,105.88,105.88,1249100,104.67
2014-10-06,110.66,111.08,108.77,108.82,841500,107.58
2014-10-03,110.24,110.59,109.49,110.30,744900,109.04
2014-10-02,109.44,109.67,107.70,109.44,1314900,108.19
2014-10-01,109.39,110.10,108.38,109.39,1815300,108.14
2014-09-30,111.50,111.85,109.84,109.88,1155200,108.63
2014-09-29,111.60,111.91,111.03,111.48,812300,110.21
2014-09-26,111.44,113.20,111.23,112.84,503800,111.56
2014-09-25,113.15,113.15,111.28,111.49,833900,110.22
2014-09-24,114.00,114.14,112.78,113.30,1172500,112.01
2014-09-23,114.23,115.21,114.11,114.27,485900,112.97
2014-09-22,116.87,117.00,114.68,115.00,761800,113.69
2014-09-19,118.42,118.75,116.56,117.13,828300,115.80
2014-09-18,116.60,117.90,116.50,117.72,477800,116.38
2014-09-17,116.81,117.58,115.59,116.14,536700,114.82
2014-09-16,115.32,116.37,114.43,116.29,532400,114.97
2014-09-15,115.43,115.98,115.06,115.49,299700,114.18
2014-09-12,116.03,116.21,114.76,115.40,674600,114.09
2014-09-11,115.46,116.38,115.05,116.16,431100,114.84
2014-09-10,116.08,116.67,115.33,115.82,595600,114.50
2014-09-09,116.31,116.81,115.50,115.93,496900,114.61
2014-09-08,117.03,117.67,116.41,116.57,373000,115.24
2014-09-05,116.65,117.37,115.75,117.19,569300,115.86
2014-09-04,116.48,118.77,116.01,116.98,856700,115.65
2014-09-03,117.05,118.21,116.31,116.49,417700,115.16
2014-09-02,116.51,117.51,116.28,117.18,596100,115.85
2014-08-29,116.45,117.04,115.98,116.61,475500,115.28
2014-08-28,115.93,116.86,115.50,116.37,559700,115.05
2014-08-27,116.24,116.52,115.72,116.37,349700,115.05
2014-08-26,117.37,117.76,116.32,116.36,433100,115.04
2014-08-25,117.16,117.81,116.38,117.35,520300,116.01
2014-08-22,116.91,117.29,116.27,116.45,404400,115.12
2014-08-21,117.74,117.74,116.76,117.39,470700,116.05
2014-08-20,116.29,117.68,116.03,117.46,691800,116.12
2014-08-19,115.74,116.49,115.74,116.28,554800,114.96
2014-08-18,114.78,115.85,114.78,115.67,481100,114.35
2014-08-15,115.47,115.47,113.30,114.29,547900,112.99
2014-08-14,114.54,115.28,114.14,114.81,581200,113.50
2014-08-13,113.75,114.42,113.64,114.20,591900,112.90
2014-08-12,113.62,114.32,112.99,113.26,480100,111.97
2014-08-11,113.61,114.54,113.53,113.73,408400,112.44
2014-08-08,111.94,113.32,111.62,113.15,726000,111.86
2014-08-07,111.97,112.68,111.19,111.55,891200,110.28
2014-08-06,111.79,113.22,111.04,111.77,1742300,109.92
2014-08-05,112.10,113.66,111.70,112.31,849000,110.46
