Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,20.93,21.19,20.91,20.98,13600,20.98
2015-02-12,20.82,21.22,20.63,20.93,7000,20.93
2015-02-11,20.67,20.83,20.50,20.65,14000,20.65
2015-02-10,20.76,20.95,20.63,20.67,15200,20.67
2015-02-09,20.50,20.77,20.35,20.77,10700,20.77
2015-02-06,20.81,20.89,20.27,20.56,26700,20.56
2015-02-05,20.77,21.20,20.71,21.12,10300,21.12
2015-02-04,21.05,21.27,20.67,21.00,19000,21.00
2015-02-03,21.50,21.55,20.79,20.87,10900,20.87
2015-02-02,21.47,21.64,21.01,21.34,14700,21.34
2015-01-30,21.44,21.76,21.03,21.57,10000,21.57
2015-01-29,20.87,21.61,20.70,21.42,5200,21.42
2015-01-28,21.51,21.61,20.45,20.81,24500,20.81
2015-01-27,21.61,21.95,21.19,21.60,29900,21.60
2015-01-26,20.88,21.48,20.70,21.32,23700,21.32
2015-01-23,20.15,20.77,20.00,20.65,25800,20.65
2015-01-22,19.92,20.25,19.50,20.03,24400,20.03
2015-01-21,19.46,19.88,19.30,19.70,23200,19.70
2015-01-20,19.14,19.68,19.14,19.26,31100,19.26
2015-01-16,18.95,19.28,18.92,19.14,20900,19.14
2015-01-15,19.58,19.67,18.82,18.94,13700,18.94
2015-01-14,19.32,19.67,19.01,19.22,19800,19.22
2015-01-13,19.90,19.90,19.27,19.61,17800,19.61
2015-01-12,19.55,19.95,19.04,19.95,14500,19.95
2015-01-09,19.44,19.73,19.10,19.27,15900,19.27
2015-01-08,19.65,19.69,19.27,19.44,16300,19.44
2015-01-07,19.94,19.95,19.04,19.11,23400,19.11
2015-01-06,19.00,19.94,19.00,19.57,27100,19.57
2015-01-05,19.95,19.95,18.75,18.98,20900,18.98
2015-01-02,19.93,20.28,19.50,19.91,16000,19.91
2014-12-31,20.24,20.25,19.55,19.93,12100,19.93
2014-12-30,20.10,20.50,19.77,19.91,17000,19.91
2014-12-29,19.94,20.36,19.49,19.99,16800,19.99
2014-12-26,19.21,20.00,19.13,19.78,16400,19.78
2014-12-24,18.95,19.21,18.52,19.06,11600,19.06
2014-12-23,18.73,18.95,18.50,18.94,16300,18.94
2014-12-22,18.11,19.66,18.01,18.82,32100,18.82
2014-12-19,17.77,18.00,17.62,17.90,26700,17.90
2014-12-18,17.85,17.85,17.60,17.62,17800,17.62
2014-12-17,17.45,17.48,17.30,17.36,33200,17.36
2014-12-16,15.63,17.99,15.63,16.97,76000,16.97
2014-12-15,14.43,14.88,14.40,14.59,10900,14.59
2014-12-12,14.36,14.61,14.36,14.40,1100,14.40
2014-12-11,14.41,14.70,14.33,14.39,4600,14.29
2014-12-10,14.49,14.55,14.13,14.14,7100,14.04
2014-12-09,14.41,14.79,14.41,14.67,3600,14.57
2014-12-08,14.72,14.99,14.70,14.72,6500,14.62
2014-12-05,14.33,14.99,14.10,14.65,5700,14.55
2014-12-04,14.46,14.50,14.30,14.50,1300,14.40
2014-12-03,14.02,14.50,14.02,14.41,2900,14.31
2014-12-02,13.90,14.32,13.90,14.10,3200,14.00
2014-12-01,14.34,14.39,13.66,13.83,19000,13.73
2014-11-28,14.27,14.48,14.21,14.48,4900,14.38
2014-11-26,14.22,14.49,14.11,14.31,6000,14.21
2014-11-25,14.00,14.44,14.00,14.11,14200,14.01
2014-11-24,13.98,14.26,13.98,14.16,7200,14.06
2014-11-21,14.00,14.20,13.80,13.98,11500,13.88
2014-11-20,14.00,14.15,13.95,14.00,15200,13.90
2014-11-19,14.18,14.55,14.00,14.22,4400,14.12
2014-11-18,14.72,14.75,14.33,14.49,4700,14.39
2014-11-17,14.61,14.65,14.07,14.57,4700,14.47
2014-11-14,14.97,15.12,14.56,14.72,8600,14.62
2014-11-13,15.24,15.24,14.81,14.97,11500,14.87
2014-11-12,15.30,15.48,15.00,15.47,9300,15.36
2014-11-11,15.39,15.46,15.18,15.25,4100,15.14
2014-11-10,15.03,15.44,14.93,15.26,6900,15.15
2014-11-07,14.87,15.30,14.80,15.03,11600,14.93
2014-11-06,14.65,14.79,14.51,14.58,8000,14.48
2014-11-05,14.87,14.89,14.51,14.75,5600,14.65
2014-11-04,15.00,15.00,14.66,14.94,10400,14.84
2014-11-03,14.65,14.99,14.46,14.92,12100,14.82
2014-10-31,14.85,14.92,14.56,14.78,4700,14.68
