Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,3.87,4.03,3.86,3.90,183400,3.90
2015-02-12,3.80,3.89,3.75,3.85,154100,3.85
2015-02-11,3.90,3.94,3.74,3.83,272900,3.83
2015-02-10,4.58,4.64,4.15,4.25,451100,3.94
2015-02-09,4.40,4.53,4.33,4.45,517300,4.13
2015-02-06,4.22,4.37,4.22,4.35,352300,4.04
2015-02-05,4.08,4.22,4.08,4.14,246300,3.84
2015-02-04,4.08,4.17,4.00,4.07,259900,3.78
2015-02-03,3.94,4.20,3.92,4.04,516900,3.75
2015-02-02,3.68,3.95,3.68,3.92,312500,3.64
2015-01-30,3.55,3.73,3.55,3.66,184900,3.40
2015-01-29,3.56,3.59,3.50,3.53,52900,3.28
2015-01-28,3.59,3.61,3.51,3.57,84900,3.31
2015-01-27,3.50,3.59,3.48,3.59,62800,3.33
2015-01-26,3.53,3.53,3.43,3.49,70000,3.24
2015-01-23,3.51,3.58,3.51,3.52,81500,3.27
2015-01-22,3.57,3.61,3.50,3.52,190600,3.27
2015-01-21,3.57,3.64,3.54,3.60,103900,3.34
2015-01-20,3.59,3.63,3.52,3.57,151200,3.31
2015-01-16,3.55,3.59,3.48,3.55,52300,3.30
2015-01-15,3.43,3.55,3.43,3.48,58700,3.23
2015-01-14,3.40,3.61,3.40,3.48,139300,3.23
2015-01-13,3.42,3.58,3.42,3.50,70400,3.25
2015-01-12,3.65,3.65,3.43,3.45,98700,3.20
2015-01-09,3.41,3.60,3.39,3.56,145200,3.30
2015-01-08,3.40,3.54,3.40,3.44,139700,3.19
2015-01-07,3.54,3.61,3.45,3.52,148900,3.27
2015-01-06,3.51,3.51,3.25,3.51,203300,3.26
2015-01-05,3.50,3.58,3.40,3.51,229700,3.26
2015-01-02,3.03,3.54,3.03,3.48,379500,3.23
2014-12-31,3.13,3.21,3.02,3.02,645500,2.80
2014-12-30,3.30,3.35,3.16,3.19,254400,2.96
2014-12-29,3.45,3.51,3.34,3.34,268000,3.10
2014-12-26,3.52,3.58,3.48,3.52,121700,3.27
2014-12-24,3.55,3.65,3.55,3.55,87900,3.30
2014-12-23,3.56,3.65,3.55,3.60,155600,3.34
2014-12-22,3.65,3.70,3.50,3.59,158000,3.33
2014-12-19,3.50,3.70,3.50,3.66,183300,3.40
2014-12-18,3.48,3.57,3.41,3.53,155200,3.28
2014-12-17,3.35,3.66,3.35,3.40,254700,3.16
2014-12-16,3.21,3.40,3.16,3.34,236600,3.10
2014-12-15,3.37,3.40,3.23,3.24,216500,3.01
2014-12-12,3.35,3.47,3.30,3.41,217100,3.17
2014-12-11,3.37,3.46,3.35,3.35,302400,3.11
2014-12-10,3.23,3.44,3.20,3.39,364400,3.15
2014-12-09,3.10,3.26,3.10,3.21,276100,2.98
2014-12-08,3.24,3.26,3.00,3.05,467300,2.83
2014-12-05,3.56,3.57,3.31,3.33,303300,3.09
2014-12-04,3.60,3.60,3.50,3.55,199400,3.30
2014-12-03,3.64,3.73,3.48,3.60,351600,3.34
2014-12-02,3.87,3.90,3.64,3.64,254100,3.38
2014-12-01,3.80,3.89,3.75,3.87,264700,3.59
2014-11-28,3.82,3.95,3.80,3.81,246600,3.54
2014-11-26,3.92,3.98,3.86,3.92,134900,3.64
2014-11-25,4.11,4.11,3.93,3.93,131200,3.65
2014-11-24,4.08,4.12,4.00,4.09,212300,3.80
2014-11-21,3.95,4.04,3.91,4.00,178800,3.71
2014-11-20,3.73,3.90,3.73,3.90,140600,3.62
2014-11-19,3.84,3.84,3.73,3.73,121400,3.46
2014-11-18,3.85,3.88,3.75,3.80,192300,3.53
2014-11-17,3.98,3.98,3.78,3.83,330400,3.56
2014-11-14,4.12,4.20,4.00,4.00,200800,3.71
2014-11-13,4.11,4.15,4.00,4.02,301900,3.73
2014-11-12,4.20,4.20,4.11,4.15,284400,3.85
2014-11-11,4.48,4.48,4.33,4.44,302000,3.89
2014-11-10,4.40,4.49,4.29,4.38,416900,3.84
2014-11-07,4.32,4.37,4.24,4.36,212600,3.82
2014-11-06,4.26,4.30,4.21,4.24,105100,3.72
2014-11-05,4.20,4.39,4.15,4.30,259500,3.77
2014-11-04,4.30,4.32,4.15,4.19,189500,3.67
2014-11-03,4.25,4.32,4.17,4.24,362500,3.72
2014-10-31,4.02,4.19,4.00,4.17,215300,3.66
2014-10-30,4.10,4.16,4.00,4.01,131100,3.52
2014-10-29,4.15,4.21,4.11,4.11,57300,3.60
2014-10-28,4.14,4.20,4.05,4.12,168600,3.61
2014-10-27,4.07,4.17,3.98,4.12,201900,3.61
2014-10-24,4.24,4.24,4.02,4.02,243200,3.52
2014-10-23,4.02,4.30,4.01,4.26,266300,3.73
2014-10-22,4.05,4.08,3.96,4.03,242800,3.53
2014-10-21,4.15,4.20,4.04,4.04,207500,3.54
2014-10-20,4.05,4.17,4.01,4.15,203400,3.64
2014-10-17,4.14,4.15,3.95,4.03,261800,3.53
2014-10-16,3.84,4.10,3.80,4.08,543100,3.58
2014-10-15,3.70,3.85,3.70,3.84,263300,3.37
2014-10-14,3.76,3.76,3.69,3.72,143100,3.26
2014-10-13,3.70,3.81,3.69,3.70,151800,3.24
2014-10-10,3.73,3.82,3.69,3.70,303800,3.24
2014-10-09,3.99,3.99,3.68,3.71,363600,3.25
2014-10-08,3.90,3.92,3.66,3.89,589700,3.41
2014-10-07,3.84,3.96,3.83,3.90,472100,3.42
2014-10-06,3.83,3.84,3.75,3.75,434600,3.29
2014-10-03,4.03,4.04,3.81,3.82,327000,3.35
2014-10-02,4.10,4.10,3.88,4.00,312400,3.51
2014-10-01,4.14,4.18,4.00,4.07,177800,3.57
2014-09-30,4.22,4.31,4.13,4.14,183700,3.63
2014-09-29,4.30,4.30,4.23,4.26,88700,3.73
2014-09-26,4.22,4.32,4.18,4.30,145700,3.77
2014-09-25,4.00,4.24,3.99,4.22,437100,3.70
2014-09-24,4.25,4.26,4.01,4.01,482300,3.52
2014-09-23,4.26,4.36,4.18,4.24,274300,3.72
2014-09-22,4.40,4.49,4.29,4.32,265400,3.79
2014-09-19,4.66,4.70,4.38,4.48,336000,3.93
2014-09-18,4.80,4.82,4.66,4.70,172600,4.12
2014-09-17,4.88,4.91,4.80,4.80,119000,4.21
2014-09-16,4.76,5.03,4.75,4.91,251300,4.30
2014-09-15,4.87,4.88,4.80,4.80,218800,4.21
2014-09-12,4.96,4.99,4.86,4.89,235000,4.29
2014-09-11,5.00,5.01,4.95,4.99,70800,4.37
2014-09-10,5.00,5.02,4.95,5.00,188100,4.38
2014-09-09,5.00,5.07,5.00,5.02,175800,4.40
2014-09-08,5.09,5.12,5.00,5.01,166800,4.39
2014-09-05,5.02,5.15,5.02,5.11,120800,4.48
2014-09-04,5.05,5.09,5.00,5.06,130800,4.44
2014-09-03,5.23,5.23,5.05,5.06,201000,4.44
2014-09-02,5.21,5.24,5.12,5.18,210800,4.54
2014-08-29,5.30,5.30,5.16,5.21,158600,4.57
2014-08-28,5.23,5.25,5.18,5.21,96400,4.57
2014-08-27,5.20,5.35,5.17,5.26,208100,4.61
2014-08-26,5.05,5.20,5.03,5.18,258800,4.54
2014-08-25,5.10,5.19,5.04,5.05,240900,4.43
2014-08-22,5.05,5.15,5.05,5.10,171800,4.47
2014-08-21,4.96,5.07,4.95,5.05,278800,4.43
2014-08-20,5.11,5.13,4.91,5.01,473800,4.39
2014-08-19,5.08,5.22,5.00,5.13,321200,4.50
2014-08-18,5.42,5.44,5.12,5.13,584700,4.50
2014-08-15,5.47,5.49,5.40,5.41,254200,4.74
2014-08-14,5.43,5.50,5.41,5.47,150800,4.79
2014-08-13,5.72,5.72,5.45,5.48,488600,4.80
2014-08-12,6.12,6.13,5.64,5.65,618500,4.95
2014-08-11,6.15,6.20,6.02,6.17,433000,5.09
2014-08-08,6.31,6.31,6.02,6.09,425300,5.03
2014-08-07,6.40,6.40,6.22,6.22,252600,5.14
2014-08-06,6.44,6.45,6.29,6.35,243000,5.24
2014-08-05,6.46,6.50,6.35,6.40,251100,5.28
2014-08-04,6.63,6.65,6.30,6.45,316500,5.33
2014-08-01,6.68,6.73,6.15,6.31,703900,5.21
2014-07-31,6.68,6.80,6.60,6.75,178400,5.57
2014-07-30,6.76,6.82,6.60,6.70,105800,5.53
2014-07-29,6.60,6.69,6.60,6.68,75200,5.52
2014-07-28,6.90,6.90,6.58,6.59,170300,5.44
2014-07-25,6.68,6.91,6.68,6.78,192500,5.60
2014-07-24,6.68,6.74,6.68,6.70,76200,5.53
2014-07-23,6.68,6.75,6.66,6.68,126800,5.52
2014-07-22,6.64,6.67,6.64,6.66,82200,5.50
2014-07-21,6.56,6.67,6.50,6.67,147000,5.51
2014-07-18,6.70,6.72,6.55,6.57,95600,5.43
2014-07-17,6.75,6.79,6.65,6.65,106900,5.49
2014-07-16,6.54,6.81,6.54,6.75,327300,5.57
2014-07-15,6.58,6.58,6.45,6.56,109400,5.42
2014-07-14,6.60,6.60,6.55,6.58,104200,5.43
2014-07-11,6.64,6.72,6.55,6.59,100100,5.44
2014-07-10,6.60,6.64,6.50,6.64,107000,5.48
2014-07-09,6.46,6.60,6.45,6.60,188200,5.45
2014-07-08,6.48,6.53,6.35,6.53,137400,5.39
2014-07-07,6.45,6.47,6.40,6.47,111100,5.34
2014-07-03,6.36,6.44,6.36,6.43,66800,5.31
2014-07-02,6.45,6.48,6.34,6.36,208400,5.25
2014-07-01,6.52,6.55,6.45,6.47,157100,5.34
2014-06-30,6.31,6.52,6.27,6.50,265800,5.37
2014-06-27,6.30,6.33,6.27,6.30,90300,5.20
2014-06-26,6.30,6.33,6.30,6.30,73900,5.20
2014-06-25,6.40,6.48,6.26,6.32,269700,5.22
2014-06-24,6.44,6.44,6.32,6.32,105800,5.22
2014-06-23,6.36,6.49,6.36,6.41,122900,5.29
2014-06-20,6.44,6.44,6.35,6.37,118400,5.26
2014-06-19,6.33,6.44,6.31,6.41,81400,5.29
2014-06-18,6.50,6.51,6.26,6.33,216600,5.23
2014-06-17,6.53,6.62,6.50,6.50,102200,5.37
2014-06-16,6.49,6.66,6.45,6.58,179900,5.43
2014-06-13,6.37,6.45,6.35,6.45,133600,5.33
2014-06-12,6.38,6.42,6.35,6.39,127400,5.28
2014-06-11,6.35,6.41,6.30,6.38,108100,5.27
2014-06-10,6.29,6.41,6.29,6.34,190100,5.24
2014-06-09,6.22,6.33,6.20,6.29,187300,5.19
2014-06-06,6.25,6.28,6.20,6.22,285500,5.14
2014-06-05,6.26,6.29,6.25,6.25,120800,5.16
2014-06-04,6.34,6.34,6.25,6.26,122000,5.17
2014-06-03,6.31,6.35,6.25,6.25,137700,5.16
2014-06-02,6.28,6.36,6.25,6.36,192800,5.25
2014-05-30,6.44,6.50,6.25,6.28,253300,5.19
2014-05-29,6.26,6.40,6.25,6.30,156300,5.20
2014-05-28,6.40,6.44,6.25,6.28,163100,5.19
2014-05-27,6.29,6.45,6.27,6.40,224900,5.28
2014-05-23,6.32,6.39,6.22,6.22,127900,5.14
2014-05-22,6.20,6.33,6.20,6.29,227700,5.19
2014-05-21,6.32,6.37,6.15,6.17,321900,5.09
2014-05-20,6.45,6.50,6.30,6.36,358100,5.25
2014-05-19,6.79,6.80,6.39,6.52,512800,5.38
2014-05-16,6.80,6.85,6.29,6.85,631200,5.66
2014-05-15,7.07,7.08,6.65,6.90,374500,5.70
2014-05-14,7.07,7.17,7.05,7.08,260900,5.85
2014-05-13,7.24,7.33,7.07,7.08,372800,5.85
2014-05-12,7.70,7.80,7.51,7.51,602700,5.85
2014-05-09,7.76,7.76,7.56,7.62,240600,5.94
2014-05-08,7.75,7.78,7.66,7.67,175700,5.97
2014-05-07,7.85,7.85,7.75,7.75,214400,6.04
2014-05-06,7.68,7.87,7.68,7.79,291400,6.07
2014-05-05,7.70,7.75,7.65,7.70,289000,6.00
2014-05-02,7.54,7.72,7.54,7.70,161700,6.00
2014-05-01,7.70,7.75,7.54,7.56,250300,5.89
2014-04-30,7.72,7.78,7.65,7.73,119400,6.02
2014-04-29,7.77,7.87,7.73,7.77,183100,6.05
2014-04-28,7.54,7.73,7.54,7.71,206600,6.01
2014-04-25,7.75,7.76,7.55,7.56,263100,5.89
2014-04-24,7.80,7.90,7.75,7.77,142700,6.05
2014-04-23,7.93,7.96,7.80,7.83,216800,6.10
2014-04-22,7.90,8.03,7.78,7.91,267400,6.16
2014-04-21,7.74,7.87,7.71,7.85,239400,6.11
2014-04-17,7.60,7.75,7.55,7.69,212600,5.99
2014-04-16,7.55,7.57,7.51,7.55,126700,5.88
2014-04-15,7.55,7.56,7.51,7.54,89800,5.87
2014-04-14,7.50,7.53,7.48,7.50,127100,5.84
2014-04-11,7.48,7.53,7.44,7.49,123600,5.83
2014-04-10,7.48,7.50,7.43,7.46,154800,5.81
2014-04-09,7.38,7.50,7.38,7.45,116300,5.80
2014-04-08,7.43,7.50,7.38,7.43,107600,5.79
2014-04-07,7.38,7.43,7.31,7.40,109400,5.76
2014-04-04,7.40,7.48,7.30,7.37,145100,5.74
2014-04-03,7.21,7.50,7.21,7.43,170500,5.79
2014-04-02,7.34,7.36,7.20,7.27,208600,5.66
2014-04-01,7.54,7.54,7.36,7.36,101500,5.73
2014-03-31,7.50,7.55,7.40,7.49,122000,5.83
2014-03-28,7.38,7.56,7.38,7.52,156000,5.86
2014-03-27,7.38,7.45,7.32,7.42,74900,5.78
2014-03-26,7.39,7.50,7.39,7.40,109100,5.76
2014-03-25,7.35,7.50,7.35,7.44,158400,5.79
2014-03-24,7.50,7.52,7.35,7.36,204400,5.73
2014-03-21,7.40,7.63,7.30,7.52,431800,5.86
2014-03-20,7.60,7.66,7.34,7.42,412900,5.78
2014-03-19,7.66,7.71,7.50,7.65,411800,5.96
2014-03-18,7.75,7.82,7.63,7.67,232800,5.97
2014-03-17,7.75,7.90,7.65,7.73,285600,6.02
2014-03-14,7.74,7.75,7.61,7.61,217300,5.93
2014-03-13,7.70,7.74,7.65,7.65,173200,5.96
2014-03-12,7.70,7.76,7.61,7.63,171900,5.94
2014-03-11,7.84,7.86,7.68,7.70,169100,6.00
2014-03-10,7.75,7.80,7.66,7.80,156300,6.08
2014-03-07,7.85,7.93,7.75,7.76,180000,6.04
2014-03-06,7.92,7.98,7.85,7.86,123800,6.12
2014-03-05,7.85,8.03,7.84,7.95,178700,6.19
2014-03-04,8.03,8.09,7.78,7.79,1117500,6.07
2014-03-03,7.86,8.20,7.84,8.01,346500,6.24
2014-02-28,7.84,7.99,7.70,7.97,378800,6.21
2014-02-27,7.79,7.85,7.68,7.79,176000,6.07
2014-02-26,7.84,7.90,7.62,7.75,511900,6.04
2014-02-25,7.94,8.12,7.91,7.95,245500,6.19
2014-02-24,7.92,8.01,7.87,7.87,260800,6.13
2014-02-21,7.70,7.99,7.69,7.89,308000,6.15
2014-02-20,7.77,7.85,7.66,7.67,471200,5.97
2014-02-19,8.09,8.09,7.59,7.85,725700,6.11
2014-02-18,8.55,8.64,8.08,8.16,532400,6.36
2014-02-14,8.66,8.85,8.59,8.60,203500,6.70
2014-02-13,8.90,8.90,8.65,8.66,260500,6.75
2014-02-12,8.74,8.95,8.65,8.86,312300,6.90
2014-02-11,9.70,9.70,9.44,9.44,361300,6.96
2014-02-10,9.70,9.79,9.53,9.62,274200,7.10
2014-02-07,9.40,9.75,9.26,9.67,265900,7.13
2014-02-06,9.24,9.40,9.08,9.38,283000,6.92
2014-02-05,9.05,9.24,9.05,9.22,173500,6.80
2014-02-04,9.17,9.23,8.96,9.03,243100,6.66
2014-02-03,9.29,9.35,8.88,9.14,519600,6.74
2014-01-31,9.77,9.84,9.28,9.35,534100,6.90
2014-01-30,10.22,10.25,10.13,10.17,127100,7.50
2014-01-29,10.10,10.19,9.98,10.17,123500,7.50
2014-01-28,9.85,10.09,9.85,10.09,191900,7.44
2014-01-27,10.20,10.21,9.80,9.90,270900,7.30
2014-01-24,10.40,10.43,10.15,10.25,179900,7.56
2014-01-23,10.35,10.59,10.33,10.41,119600,7.68
2014-01-22,10.41,10.44,10.04,10.32,289500,7.61
2014-01-21,10.50,10.85,10.41,10.47,261800,7.72
2014-01-17,10.46,10.50,10.30,10.45,181200,7.71
2014-01-16,10.13,10.38,10.05,10.34,201900,7.63
2014-01-15,9.91,10.06,9.82,10.02,194600,7.39
2014-01-14,9.79,9.90,9.70,9.83,103000,7.25
2014-01-13,9.74,9.88,9.70,9.70,138700,7.16
2014-01-10,9.70,9.75,9.60,9.67,142600,7.13
2014-01-09,9.88,10.00,9.65,9.67,299900,7.13
2014-01-08,9.90,9.90,9.52,9.60,156700,7.08
2014-01-07,9.71,9.96,9.67,9.79,192300,7.22
2014-01-06,9.25,9.75,9.25,9.70,257200,7.16
2014-01-03,9.08,9.29,9.06,9.25,132500,6.82
2014-01-02,9.28,9.30,9.10,9.10,134400,6.71
2013-12-31,9.03,9.31,9.03,9.25,313200,6.82
2013-12-30,9.10,9.46,9.06,9.07,376100,6.69
2013-12-27,9.07,9.17,8.94,9.17,347100,6.76
2013-12-26,8.92,9.22,8.92,9.15,259600,6.75
2013-12-24,8.90,9.02,8.90,8.99,118900,6.63
2013-12-23,8.98,9.11,8.85,8.92,295300,6.58
2013-12-20,8.85,9.12,8.85,8.95,288400,6.60
2013-12-19,8.80,9.02,8.80,8.89,258000,6.56
2013-12-18,8.77,9.00,8.72,8.90,303600,6.56
2013-12-17,9.00,9.09,8.65,8.83,499300,6.51
2013-12-16,9.25,9.25,9.00,9.00,340200,6.64
2013-12-13,9.28,9.35,9.20,9.30,138400,6.86
2013-12-12,9.29,9.35,9.16,9.26,239500,6.83
2013-12-11,9.64,9.65,9.26,9.32,282000,6.87
2013-12-10,9.36,9.71,9.35,9.64,231600,7.11
2013-12-09,9.55,9.59,9.35,9.39,268900,6.93
2013-12-06,9.70,9.74,9.45,9.59,235600,7.07
2013-12-05,10.16,10.20,9.56,9.73,401400,7.18
2013-12-04,10.98,11.00,10.22,10.22,193300,7.54
2013-12-03,10.65,11.17,10.52,10.96,831700,8.08
2013-12-02,10.53,10.81,10.52,10.67,400000,7.87
2013-11-29,10.36,10.61,10.24,10.53,228000,7.77
2013-11-27,10.05,10.20,9.84,10.07,270400,7.43
2013-11-26,9.75,10.09,9.65,10.01,505200,7.38
2013-11-25,9.68,9.80,9.53,9.56,176800,7.05
2013-11-22,9.81,9.84,9.60,9.64,269200,7.11
2013-11-21,9.65,9.89,9.64,9.75,254300,7.19
2013-11-20,9.49,9.75,9.40,9.62,195800,7.10
2013-11-19,9.27,9.73,9.25,9.51,488000,7.01
2013-11-18,10.09,10.25,9.28,9.38,1216000,6.92
2013-11-15,10.58,10.64,9.93,10.19,744800,7.52
2013-11-14,11.34,11.40,10.50,10.58,831900,7.80
2013-11-13,11.75,12.00,11.38,11.40,384500,8.41
2013-11-12,12.01,12.01,11.72,11.78,311300,8.69
2013-11-11,12.84,12.89,12.62,12.66,317400,8.89
2013-11-08,12.82,12.89,12.70,12.84,185800,9.02
2013-11-07,12.87,12.88,12.75,12.80,131200,8.99
2013-11-06,12.87,12.99,12.60,12.80,213800,8.99
2013-11-05,12.77,12.99,12.70,12.87,179900,9.04
