Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,67.36,67.84,66.93,67.49,131800,67.49
2015-02-12,67.30,67.72,66.91,67.28,189900,67.28
2015-02-11,66.88,67.62,66.80,67.36,108500,67.36
2015-02-10,67.17,67.17,66.27,66.92,134000,66.92
2015-02-09,66.43,66.90,66.23,66.49,148600,66.49
2015-02-06,66.08,67.32,65.83,66.92,229200,66.92
2015-02-05,64.43,65.59,64.21,65.47,178700,65.47
2015-02-04,64.42,64.98,64.22,64.54,190700,64.54
2015-02-03,64.23,64.85,64.13,64.74,273600,64.74
2015-02-02,62.23,63.67,61.85,63.54,366800,63.54
2015-01-30,63.83,63.83,61.56,62.04,552100,62.04
2015-01-29,64.24,64.67,63.40,64.49,243900,64.49
2015-01-28,65.65,65.65,64.02,64.24,226300,64.24
2015-01-27,65.35,65.96,64.94,65.55,123000,65.55
2015-01-26,65.49,66.45,64.89,66.43,177600,66.43
2015-01-23,65.76,66.31,65.18,65.63,221000,65.63
2015-01-22,64.43,66.16,63.82,66.10,221200,66.10
2015-01-21,63.54,64.11,63.13,63.98,259000,63.98
2015-01-20,64.50,65.15,63.56,63.79,204800,63.79
2015-01-16,63.29,64.49,62.94,64.37,207300,64.37
2015-01-15,63.63,64.17,62.72,63.33,190800,63.33
2015-01-14,64.58,64.86,63.12,63.87,283400,63.87
2015-01-13,66.41,67.21,64.95,65.65,228300,65.65
2015-01-12,67.27,67.27,65.63,66.08,208700,66.08
2015-01-09,68.30,68.58,66.96,67.08,289200,67.08
2015-01-08,68.06,68.34,67.72,68.26,418100,68.26
2015-01-07,67.00,67.32,66.46,67.15,267000,67.15
2015-01-06,68.36,68.36,66.15,66.49,432700,66.49
2015-01-05,68.67,68.93,67.75,68.39,301700,68.39
2015-01-02,70.11,70.12,68.92,69.15,226000,69.15
2014-12-31,71.12,71.41,69.85,69.86,130700,69.86
2014-12-30,70.65,71.35,70.55,71.04,112900,71.04
2014-12-29,70.38,71.80,69.64,71.02,161200,71.02
2014-12-26,70.70,70.90,70.33,70.57,99200,70.57
2014-12-24,70.59,70.77,69.86,70.40,99800,70.40
2014-12-23,70.10,71.08,69.78,70.63,174900,70.63
2014-12-22,69.54,70.10,69.42,69.75,203000,69.75
2014-12-19,68.51,69.97,67.97,69.51,515000,69.51
2014-12-18,67.86,68.84,67.49,68.68,232700,68.68
2014-12-17,65.90,67.03,65.12,66.89,172300,66.89
2014-12-16,64.79,66.47,64.53,65.51,228600,65.51
2014-12-15,65.99,66.16,65.14,65.47,299700,65.47
2014-12-12,66.20,66.38,64.99,65.41,157700,65.41
2014-12-11,67.15,67.90,66.75,66.95,125000,66.95
2014-12-10,68.24,68.48,66.80,66.87,156200,66.87
2014-12-09,67.74,68.60,67.42,68.38,141200,68.38
2014-12-08,68.08,69.64,68.03,68.63,216700,68.63
2014-12-05,68.01,68.81,67.86,68.21,92300,68.21
2014-12-04,67.20,67.78,66.94,67.59,215800,67.59
2014-12-03,66.48,67.54,65.91,67.50,165800,67.50
2014-12-02,65.69,66.68,65.26,66.64,163900,66.64
2014-12-01,65.66,65.87,65.19,65.38,169100,65.38
2014-11-28,66.75,67.10,65.97,66.10,65100,66.10
2014-11-26,66.66,66.83,66.30,66.59,94400,66.59
2014-11-25,66.67,66.84,66.35,66.59,96100,66.59
2014-11-24,65.85,66.67,65.85,66.64,168300,66.64
2014-11-21,66.83,67.07,65.70,65.75,200700,65.75
2014-11-20,65.82,66.23,65.70,66.23,157500,66.23
2014-11-19,67.72,68.14,66.82,67.09,231800,65.79
2014-11-18,67.71,68.39,67.59,67.69,166900,66.38
2014-11-17,68.00,68.45,67.35,67.68,175400,66.37
2014-11-14,68.53,69.01,68.13,68.23,118200,66.91
2014-11-13,68.50,68.90,68.24,68.63,256800,67.30
2014-11-12,68.35,68.69,67.98,68.57,260800,67.24
2014-11-11,68.20,68.64,68.14,68.48,166900,67.15
2014-11-10,67.88,68.39,67.67,68.26,279800,66.94
2014-11-07,68.70,68.70,67.74,67.84,238900,66.53
2014-11-06,69.20,69.39,68.51,68.62,223200,67.29
2014-11-05,70.14,70.35,68.99,69.40,236500,68.06
2014-11-04,69.12,69.98,68.99,69.68,118300,68.33
2014-11-03,69.43,69.99,69.05,69.38,160100,68.04
2014-10-31,69.73,69.79,69.30,69.56,199900,68.21
2014-10-30,68.50,69.32,68.14,69.01,138400,67.67
2014-10-29,68.62,69.36,68.20,68.55,229700,67.22
2014-10-28,68.69,69.17,68.23,68.70,291600,67.37
2014-10-27,67.60,68.74,67.42,68.57,244900,67.24
2014-10-24,66.93,67.77,66.77,67.74,290800,66.43
2014-10-23,67.00,68.46,65.59,66.51,440600,65.22
2014-10-22,64.58,65.22,63.91,63.94,161600,62.70
2014-10-21,63.00,64.73,63.00,64.55,193900,63.30
2014-10-20,62.62,62.83,62.09,62.58,226500,61.37
2014-10-17,62.56,63.09,62.22,62.99,203000,61.77
2014-10-16,60.46,62.07,60.17,61.76,362900,60.56
2014-10-15,61.75,62.26,60.39,61.15,326900,59.97
2014-10-14,62.78,63.61,62.52,62.72,275000,61.50
2014-10-13,62.45,63.45,62.14,62.28,297300,61.07
2014-10-10,61.95,62.49,61.48,61.80,241800,60.60
2014-10-09,62.91,62.96,61.84,61.84,271600,60.64
2014-10-08,61.89,63.07,61.89,63.02,268800,61.80
2014-10-07,62.75,62.97,61.83,61.83,176800,60.63
2014-10-06,63.64,63.73,63.16,63.17,137000,61.95
2014-10-03,63.17,63.82,63.17,63.39,132200,62.16
2014-10-02,62.57,63.03,62.09,62.59,167400,61.38
2014-10-01,63.03,63.20,62.50,62.55,333600,61.34
2014-09-30,63.42,63.79,63.15,63.18,168100,61.96
2014-09-29,62.88,63.64,62.62,63.42,128800,62.19
2014-09-26,63.28,63.54,63.02,63.49,152100,62.26
2014-09-25,63.15,63.32,62.84,63.03,153100,61.81
2014-09-24,63.09,63.77,63.09,63.61,151900,62.38
2014-09-23,63.69,63.80,62.94,62.96,149400,61.74
2014-09-22,64.36,64.36,63.58,63.67,163900,62.44
2014-09-19,65.21,65.44,64.48,64.48,302200,63.23
2014-09-18,64.77,65.33,64.70,65.13,146700,63.87
2014-09-17,64.57,64.97,64.18,64.38,157000,63.13
2014-09-16,64.21,65.22,64.21,64.59,265400,63.34
2014-09-15,64.62,64.90,64.36,64.60,167600,63.35
2014-09-12,64.85,65.04,64.46,64.74,200900,63.49
2014-09-11,64.32,64.92,64.32,64.73,151000,63.48
2014-09-10,64.87,65.12,64.47,64.77,118800,63.51
2014-09-09,64.87,65.02,64.41,64.63,143600,63.38
2014-09-08,64.80,65.17,64.48,65.07,123200,63.81
2014-09-05,64.90,65.24,64.34,64.92,127000,63.66
2014-09-04,65.90,66.17,64.95,65.01,125300,63.75
2014-09-03,66.21,66.39,65.08,65.63,225900,64.36
2014-09-02,65.75,66.46,65.57,66.09,232000,64.81
2014-08-29,65.75,66.27,65.38,65.52,232400,64.25
2014-08-28,65.57,65.93,65.35,65.52,139300,64.25
2014-08-27,65.60,66.00,65.26,65.90,131000,64.62
2014-08-26,65.29,65.77,65.01,65.57,98500,64.30
2014-08-25,64.78,65.33,64.39,65.08,199400,63.82
2014-08-22,64.32,64.79,64.16,64.34,157800,63.09
2014-08-21,63.88,64.64,63.58,64.58,82900,63.33
2014-08-20,63.44,64.03,63.40,63.90,108600,62.66
2014-08-19,63.69,63.97,63.60,63.72,100500,62.49
2014-08-18,63.49,63.72,63.24,63.58,232800,62.35
2014-08-15,63.30,63.30,62.14,62.86,197500,61.64
2014-08-14,62.21,63.41,62.04,62.92,209200,61.70
2014-08-13,62.14,62.50,61.85,62.34,149400,61.13
2014-08-12,61.52,62.15,61.49,61.83,129000,60.63
2014-08-11,61.46,62.05,61.14,61.71,206800,60.51
2014-08-08,61.55,61.84,61.20,61.35,254400,60.16
2014-08-07,62.00,62.48,61.42,61.52,218200,60.33
2014-08-06,61.00,61.98,60.71,61.78,147700,60.58
2014-08-05,60.86,61.43,60.81,61.21,192600,60.02
2014-08-04,60.31,61.27,60.10,61.21,287500,60.02
2014-08-01,60.24,60.48,59.80,60.18,326800,59.01
2014-07-31,60.16,60.61,59.99,60.34,329000,59.17
2014-07-30,61.17,61.44,60.41,60.79,218200,59.61
2014-07-29,61.20,61.47,60.72,60.77,287200,59.59
2014-07-28,60.18,61.21,59.90,61.16,378000,59.97
2014-07-25,59.58,60.49,59.28,60.32,404100,59.15
2014-07-24,60.00,61.28,59.79,59.94,578600,58.78
2014-07-23,62.30,62.33,61.80,62.10,275600,60.90
2014-07-22,62.22,62.42,62.10,62.13,197200,60.93
2014-07-21,62.35,62.70,61.78,62.06,159800,60.86
2014-07-18,62.08,63.08,61.99,62.76,106500,61.54
2014-07-17,62.60,62.95,61.81,61.88,116400,60.68
2014-07-16,63.74,63.74,62.49,62.63,215300,61.42
2014-07-15,63.38,63.78,62.74,63.48,99100,62.25
2014-07-14,63.44,63.69,63.07,63.14,92500,61.92
2014-07-11,62.79,63.07,62.56,62.84,70700,61.62
2014-07-10,61.86,63.33,61.86,63.01,132400,61.79
2014-07-09,63.34,63.67,63.12,63.29,131300,62.06
