Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,45.31,45.35,44.73,45.11,262600,45.11
2015-02-12,44.59,45.41,44.45,45.16,622300,45.16
2015-02-11,45.43,45.50,44.80,45.02,401100,44.50
2015-02-10,45.04,45.57,44.90,45.53,392900,45.00
2015-02-09,44.53,45.08,44.46,44.74,306500,44.22
2015-02-06,44.78,45.01,44.46,44.74,424600,44.22
2015-02-05,44.25,44.84,44.02,44.82,430100,44.30
2015-02-04,44.07,44.41,43.88,44.15,340200,43.64
2015-02-03,43.96,44.44,43.84,44.23,340400,43.72
2015-02-02,43.42,44.01,42.61,43.99,455500,43.48
2015-01-30,43.50,43.81,42.86,42.96,888100,42.46
2015-01-29,43.86,43.96,43.33,43.85,389500,43.34
2015-01-28,44.50,44.50,43.61,43.80,237900,43.29
2015-01-27,43.42,44.41,43.38,44.28,459600,43.77
2015-01-26,43.12,43.83,43.12,43.79,418200,43.28
2015-01-23,43.37,43.45,42.99,43.23,409800,42.73
2015-01-22,43.31,43.66,43.14,43.46,488300,42.96
2015-01-21,43.05,43.24,42.81,43.05,627200,42.55
2015-01-20,43.22,43.54,42.78,43.14,577200,42.64
2015-01-16,42.90,43.25,42.71,43.04,286300,42.54
2015-01-15,43.52,43.67,42.78,42.98,503700,42.48
2015-01-14,43.52,44.00,43.29,43.52,384900,43.02
2015-01-13,43.91,44.46,43.53,44.02,649400,43.51
2015-01-12,43.30,43.79,43.02,43.72,321900,43.22
2015-01-09,43.53,43.66,42.90,43.30,620200,42.80
2015-01-08,43.08,43.69,42.97,43.66,379700,43.16
2015-01-07,43.03,43.20,42.59,42.96,529100,42.46
2015-01-06,43.45,43.73,42.23,42.90,883400,42.40
2015-01-05,43.39,43.80,43.27,43.43,812500,42.93
2015-01-02,43.13,43.52,42.76,43.35,962700,42.85
2014-12-31,43.23,43.54,43.10,43.15,446400,42.65
2014-12-30,43.17,43.60,43.00,43.23,386200,42.73
2014-12-29,43.17,43.38,42.88,43.24,254800,42.74
2014-12-26,42.84,43.47,42.84,43.06,277300,42.56
2014-12-24,42.59,43.33,42.44,42.72,191500,42.23
2014-12-23,42.14,42.93,42.07,42.56,474500,42.07
2014-12-22,41.90,42.18,41.77,41.98,451900,41.50
2014-12-19,41.96,42.20,41.56,41.95,648800,41.47
2014-12-18,42.14,42.26,41.66,41.97,626600,41.49
2014-12-17,41.29,41.98,40.82,41.86,445800,41.38
2014-12-16,41.58,41.93,41.09,41.15,569000,40.67
2014-12-15,41.52,41.87,41.03,41.77,814700,41.29
2014-12-12,41.42,41.82,41.17,41.23,483100,40.75
2014-12-11,41.65,41.98,41.25,41.80,695100,41.32
2014-12-10,41.93,41.93,41.03,41.38,489200,40.90
2014-12-09,41.38,42.05,41.22,42.04,655700,41.55
2014-12-08,41.69,42.62,41.66,41.85,639400,41.37
2014-12-05,41.53,41.98,41.22,41.71,376000,41.23
2014-12-04,40.78,41.76,40.69,41.56,793400,41.08
2014-12-03,40.46,41.20,40.23,40.91,845300,40.44
2014-12-02,40.83,40.99,40.44,40.53,446600,40.06
2014-12-01,40.46,40.99,40.26,40.57,671600,40.10
2014-11-28,40.56,40.96,40.49,40.65,352100,40.18
2014-11-26,39.86,40.59,39.74,40.28,582800,39.81
