Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,8.05,8.05,7.80,7.80,700,7.80
2015-02-12,6.84,8.40,6.84,8.40,6100,8.40
2015-02-11,8.45,8.45,7.90,7.90,2600,7.90
2015-02-10,7.73,8.49,6.96,8.49,54400,8.49
2015-02-09,7.60,7.73,7.60,7.73,800,7.73
2015-02-06,7.56,7.57,7.56,7.57,200,7.57
2015-02-05,7.60,7.60,6.20,6.86,3000,6.86
2015-02-04,6.00,7.67,6.00,7.60,4500,7.60
2015-02-03,6.94,6.94,5.93,6.00,6000,6.00
2015-02-02,6.37,6.70,6.27,6.27,2000,6.27
2015-01-30,6.75,6.75,6.75,6.75,000,6.75
2015-01-29,6.75,6.75,6.75,6.75,800,6.75
2015-01-28,7.03,7.03,6.60,6.70,4000,6.70
2015-01-27,7.02,7.25,7.02,7.25,3900,7.25
2015-01-26,7.06,7.06,7.01,7.03,1800,7.03
2015-01-23,8.00,8.00,7.54,7.54,600,7.54
2015-01-22,8.04,8.04,7.90,8.00,600,8.00
2015-01-21,8.20,8.20,8.20,8.20,000,8.20
2015-01-20,8.20,8.20,8.20,8.20,200,8.20
2015-01-16,6.38,8.45,6.38,8.20,7800,8.20
2015-01-15,8.03,8.03,8.03,8.03,000,8.03
2015-01-14,8.13,8.13,8.00,8.03,2700,8.03
2015-01-13,8.04,8.15,8.04,8.15,3100,8.15
2015-01-12,8.00,8.00,7.42,7.55,1700,7.55
2015-01-09,7.60,8.07,7.53,8.07,1500,8.07
2015-01-08,8.00,8.00,7.90,7.90,300,7.90
2015-01-07,8.00,8.03,7.48,7.88,1700,7.88
2015-01-06,8.00,8.00,7.44,7.70,400,7.70
2015-01-05,8.08,8.08,7.36,8.04,1600,8.04
2015-01-02,7.33,8.07,7.33,8.07,2000,8.07
2014-12-31,7.15,7.17,7.15,7.17,3200,7.17
2014-12-30,7.06,7.25,7.06,7.15,6100,7.15
2014-12-29,8.28,8.45,7.00,7.83,6200,7.83
2014-12-26,8.50,8.50,6.08,8.33,7600,8.33
2014-12-24,5.20,5.91,5.20,5.91,1600,5.91
2014-12-23,7.99,7.99,7.24,7.24,6000,7.24
2014-12-22,7.39,7.54,7.01,7.50,3300,7.50
2014-12-19,8.25,8.50,8.00,8.50,28100,8.50
2014-12-18,8.10,8.10,8.01,8.10,8000,8.10
2014-12-17,8.50,8.50,8.10,8.10,5300,8.10
2014-12-16,8.00,8.45,8.00,8.45,4900,8.45
