Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,57.53,57.53,56.33,56.96,114400,56.96
2015-02-12,57.59,57.83,57.00,57.42,75600,57.42
2015-02-11,58.00,58.41,57.03,57.39,107200,57.39
2015-02-10,57.33,58.18,56.93,58.10,136100,58.10
2015-02-09,58.20,58.66,56.98,57.22,172100,57.22
2015-02-06,60.12,60.12,57.90,58.20,168500,58.20
2015-02-05,59.26,60.26,59.26,60.16,197400,60.16
2015-02-04,59.65,59.90,59.01,59.33,157200,59.33
2015-02-03,58.75,60.34,58.75,59.68,259800,59.68
2015-02-02,58.25,59.02,57.75,58.91,116600,58.91
2015-01-30,59.79,59.85,58.22,58.25,140000,58.25
2015-01-29,59.39,60.24,59.09,59.98,186600,59.98
2015-01-28,60.48,60.51,58.96,59.31,131100,59.31
2015-01-27,60.23,60.68,60.00,60.32,117400,60.32
2015-01-26,60.23,60.55,59.01,60.55,108800,60.55
2015-01-23,60.22,60.42,59.94,60.30,93500,60.30
2015-01-22,60.43,60.43,59.75,60.03,203700,60.03
2015-01-21,60.54,60.70,59.52,60.00,138600,60.00
2015-01-20,60.58,60.73,59.76,60.59,160000,60.59
2015-01-16,59.73,60.51,59.41,60.35,180400,60.35
2015-01-15,60.12,60.14,59.21,59.90,133100,59.90
2015-01-14,58.88,60.12,58.67,60.02,174500,60.02
2015-01-13,59.31,60.24,58.89,59.45,170000,59.45
2015-01-12,59.15,59.15,58.23,58.90,145900,58.90
2015-01-09,59.47,59.47,58.51,58.96,109000,58.96
2015-01-08,58.85,59.49,58.85,59.35,113600,59.35
2015-01-07,57.89,58.73,57.62,58.67,116300,58.67
2015-01-06,58.14,59.04,57.54,57.68,159900,57.68
2015-01-05,58.70,58.92,58.09,58.15,172800,58.15
2015-01-02,59.09,59.40,58.28,59.01,154700,59.01
2014-12-31,59.99,60.22,58.84,58.93,187300,58.93
2014-12-30,61.07,61.14,59.68,59.73,180000,59.73
2014-12-29,58.90,61.23,58.90,61.22,276400,61.22
2014-12-26,58.25,59.33,58.15,59.10,140300,59.10
2014-12-24,57.57,58.46,57.56,58.29,150500,58.29
2014-12-23,57.70,58.24,57.61,57.83,134900,57.83
