Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,14.77,14.95,14.60,14.91,198500,14.91
2015-02-12,14.60,14.74,14.50,14.66,68900,14.66
2015-02-11,14.11,14.49,14.11,14.47,92800,14.47
2015-02-10,14.40,14.40,14.01,14.21,108900,14.21
2015-02-09,14.27,14.39,14.25,14.35,43900,14.35
2015-02-06,14.29,14.31,14.09,14.27,47400,14.27
2015-02-05,14.03,14.35,13.97,14.23,85900,14.23
2015-02-04,14.25,14.25,13.92,14.01,94600,14.01
2015-02-03,14.20,14.66,14.20,14.42,107100,14.42
2015-02-02,13.95,14.28,13.95,14.14,102100,14.14
2015-01-30,13.84,14.03,13.75,13.95,114400,13.95
2015-01-29,14.03,14.20,13.75,14.02,176400,14.02
2015-01-28,14.52,14.52,14.04,14.07,108800,14.07
2015-01-27,14.31,14.46,14.15,14.33,85000,14.28
2015-01-26,14.28,14.58,14.25,14.37,69800,14.32
2015-01-23,14.17,14.58,14.17,14.28,86000,14.23
2015-01-22,14.58,14.64,14.18,14.33,98600,14.28
2015-01-21,14.06,14.63,14.06,14.55,136700,14.50
2015-01-20,14.40,14.40,14.00,14.03,189300,13.98
2015-01-16,14.30,14.90,14.26,14.59,104100,14.54
2015-01-15,14.91,14.98,14.18,14.21,142800,14.16
2015-01-14,14.12,14.75,14.12,14.69,188100,14.64
2015-01-13,13.74,14.35,13.74,14.30,187100,14.25
2015-01-12,14.17,14.17,13.38,13.73,294500,13.68
2015-01-09,14.33,14.37,14.12,14.22,153700,14.17
2015-01-08,14.53,14.69,14.20,14.37,187000,14.32
2015-01-07,14.55,14.70,14.20,14.54,114500,14.49
2015-01-06,15.15,15.15,14.12,14.39,216700,14.34
2015-01-05,15.39,15.48,14.64,15.00,220000,14.95
2015-01-02,14.25,15.63,14.17,15.32,410500,15.27
2014-12-31,14.34,14.50,14.13,14.25,239400,14.20
2014-12-30,13.89,14.50,13.80,14.44,252900,14.39
2014-12-29,13.75,14.20,13.62,13.97,217800,13.92
2014-12-26,13.92,14.46,13.78,13.81,250600,13.68
2014-12-24,14.30,14.37,13.77,13.98,159800,13.85
2014-12-23,13.84,14.46,13.75,14.26,239000,14.13
2014-12-22,14.10,14.25,13.77,13.84,283100,13.71
2014-12-19,14.00,14.10,13.88,14.01,591200,13.88
2014-12-18,15.00,15.33,13.88,13.93,573100,13.80
2014-12-17,14.46,15.19,14.27,14.77,276500,14.63
2014-12-16,14.41,15.15,14.30,14.51,315400,14.37
2014-12-15,15.64,15.80,14.57,14.64,212800,14.50
2014-12-12,16.00,16.26,15.40,15.47,157000,15.33
2014-12-11,15.95,16.71,15.80,16.06,142300,15.91
2014-12-10,16.59,16.70,15.87,16.11,185200,15.96
2014-12-09,15.75,17.17,15.60,16.89,387600,16.73
2014-12-08,16.25,16.49,15.69,15.92,141200,15.77
2014-12-05,16.49,16.75,16.34,16.44,91700,16.29
2014-12-04,16.38,16.69,16.25,16.39,115000,16.24
2014-12-03,16.25,17.00,16.25,16.48,156300,16.33
2014-12-02,16.25,16.61,16.19,16.26,85300,16.11
2014-12-01,16.90,16.90,16.19,16.26,139400,16.11
2014-11-28,17.22,17.22,16.88,17.02,96200,16.86
2014-11-26,17.41,17.42,17.24,17.26,69100,17.10
2014-11-25,17.95,17.98,17.41,17.42,84300,17.26
2014-11-24,18.03,18.13,17.79,17.91,111600,17.66
