Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,31.45,31.58,30.89,31.31,1026900,31.31
2015-02-12,32.11,32.71,30.72,31.40,1486100,31.40
2015-02-11,33.48,33.61,33.12,33.18,702900,33.18
2015-02-10,33.20,33.57,33.03,33.51,618600,33.51
2015-02-09,32.84,33.52,32.84,33.45,471600,33.45
2015-02-06,33.00,33.31,32.79,32.98,518500,32.98
2015-02-05,33.15,33.51,32.83,32.90,598700,32.90
2015-02-04,33.16,33.34,32.74,32.93,620800,32.93
2015-02-03,32.26,33.53,32.11,33.36,978900,33.36
2015-02-02,31.09,32.30,30.84,32.03,782100,32.03
2015-01-30,30.30,31.38,29.99,30.57,532200,30.57
2015-01-29,30.74,31.05,30.22,30.92,423600,30.92
2015-01-28,31.28,31.70,30.68,30.69,444100,30.69
2015-01-27,31.17,31.38,30.77,31.07,521900,31.07
2015-01-26,31.69,31.87,31.36,31.54,246200,31.54
2015-01-23,31.78,32.16,31.67,31.72,554200,31.72
2015-01-22,30.88,31.94,30.88,31.77,499200,31.77
2015-01-21,31.08,31.22,30.48,30.76,591900,30.76
2015-01-20,31.72,31.72,30.90,31.00,483000,31.00
2015-01-16,31.09,31.47,31.03,31.28,506100,31.28
2015-01-15,32.09,32.11,31.27,31.27,680200,31.27
2015-01-14,32.92,32.99,31.65,31.86,672300,31.86
2015-01-13,33.67,34.08,33.08,33.42,366400,33.42
2015-01-12,33.75,33.75,32.89,33.46,460800,33.46
2015-01-09,34.35,34.40,33.63,33.87,261700,33.87
2015-01-08,34.71,35.10,34.20,34.47,898800,34.47
2015-01-07,34.15,34.68,33.93,34.36,356000,34.36
2015-01-06,34.94,34.94,33.79,33.81,479800,33.81
2015-01-05,35.54,35.64,34.79,35.11,332600,35.11
2015-01-02,36.03,36.25,35.47,35.76,355900,35.76
2014-12-31,36.62,36.73,35.97,36.06,307100,36.06
2014-12-30,36.55,36.73,36.31,36.48,216300,36.48
2014-12-29,36.39,36.59,36.22,36.53,207300,36.53
2014-12-26,36.46,36.54,36.29,36.32,61700,36.32
2014-12-24,36.41,36.63,36.09,36.30,193800,36.30
2014-12-23,35.57,36.35,35.49,36.24,274700,36.24
2014-12-22,35.96,36.13,35.46,35.51,300100,35.51
2014-12-19,35.52,36.14,35.37,35.93,460500,35.93
2014-12-18,35.92,36.32,35.09,35.56,605100,35.56
2014-12-17,35.22,35.68,34.89,35.40,379300,35.40
2014-12-16,34.90,35.65,34.85,35.14,667100,35.14
2014-12-15,35.35,35.69,34.69,35.10,350500,35.10
2014-12-12,35.88,36.06,35.33,35.43,368800,35.43
2014-12-11,35.74,36.47,35.69,36.20,264900,36.20
2014-12-10,36.66,36.77,35.66,35.99,334900,35.99
2014-12-09,36.66,37.04,36.47,36.99,279700,36.99
2014-12-08,37.65,37.70,36.86,37.11,326800,37.11
2014-12-05,37.41,38.02,37.38,37.79,272300,37.79
2014-12-04,37.59,37.97,37.35,37.44,346400,37.44
2014-12-03,37.04,38.08,36.87,38.01,360200,38.01
2014-12-02,37.47,37.47,36.97,37.09,247300,37.09
2014-12-01,37.27,37.65,37.02,37.47,254400,37.47
2014-11-28,37.06,37.39,37.06,37.34,136800,37.34
2014-11-26,37.13,37.44,37.02,37.32,174900,37.32
2014-11-25,36.87,37.34,36.87,37.07,325400,37.07
2014-11-24,36.78,37.01,36.50,36.81,230600,36.81
2014-11-21,37.13,37.21,36.87,36.95,254100,36.63
2014-11-20,36.53,36.81,36.46,36.80,169600,36.48
