Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,129.34,129.88,127.93,128.59,376600,128.59
2015-02-12,126.80,129.50,126.28,129.24,499700,129.24
2015-02-11,127.67,128.12,126.00,127.46,391100,127.46
2015-02-10,127.16,127.66,126.02,127.41,508800,127.41
2015-02-09,127.28,128.55,126.55,126.59,775800,126.59
2015-02-06,128.98,128.99,126.86,127.58,1505300,127.58
2015-02-05,127.43,129.42,127.23,129.38,438500,129.38
2015-02-04,126.95,127.98,126.16,127.39,357100,127.39
2015-02-03,125.22,127.62,124.79,127.61,554500,127.61
2015-02-02,126.33,126.88,123.55,126.24,763400,126.24
2015-01-30,128.29,128.86,125.98,126.00,926100,126.00
2015-01-29,130.28,130.77,127.89,129.61,732700,129.61
2015-01-28,130.57,131.64,129.56,130.02,866000,130.02
2015-01-27,129.78,130.75,129.57,130.31,460700,130.31
2015-01-26,128.54,130.56,128.01,130.56,522400,130.56
2015-01-23,127.86,128.93,127.42,128.51,528100,128.51
2015-01-22,128.00,129.00,126.90,128.64,1021100,128.64
2015-01-21,127.75,128.17,126.97,127.72,569400,127.72
2015-01-20,128.04,128.51,127.33,127.75,1043900,127.75
2015-01-16,128.08,128.40,127.27,128.00,711500,128.00
2015-01-15,128.29,128.71,127.49,128.31,605100,128.31
2015-01-14,126.77,128.45,125.89,128.17,576300,128.17
2015-01-13,128.23,128.55,126.50,127.42,573900,127.42
2015-01-12,126.18,128.06,124.94,127.72,796300,127.72
2015-01-09,124.77,125.77,124.04,125.20,316800,125.20
2015-01-08,124.34,125.78,124.17,124.95,587300,124.95
2015-01-07,123.48,124.51,122.15,124.34,600700,124.34
2015-01-06,121.98,123.50,121.88,122.92,664700,122.92
2015-01-05,120.93,122.50,120.38,121.98,611500,121.98
2015-01-02,119.75,121.43,119.54,121.32,384600,121.32
2014-12-31,122.18,122.70,118.97,119.02,554400,119.02
2014-12-30,121.40,122.57,121.12,121.49,455000,121.49
2014-12-29,122.13,123.21,121.52,121.57,529800,120.97
2014-12-26,121.46,122.45,121.46,122.04,372800,121.44
2014-12-24,121.37,122.65,120.88,120.98,365000,120.38
2014-12-23,123.10,123.38,121.81,121.93,559100,121.33
2014-12-22,121.75,122.76,121.15,122.67,649300,122.06
2014-12-19,122.86,123.25,120.97,121.78,1557100,121.18
2014-12-18,123.00,123.60,122.30,123.10,815300,122.49
2014-12-17,118.88,122.28,118.37,122.26,903500,121.66
2014-12-16,119.00,120.13,118.15,118.72,831500,118.13
2014-12-15,120.94,121.10,118.44,119.06,533700,118.47
2014-12-12,121.63,122.85,120.31,120.39,582400,119.80
2014-12-11,122.90,123.89,122.12,122.22,438800,121.62
2014-12-10,122.29,123.16,121.43,122.48,885600,121.88
2014-12-09,120.19,122.41,119.71,122.28,656900,121.68
2014-12-08,119.53,120.52,118.62,120.45,912800,119.86
2014-12-05,118.43,119.56,117.46,119.53,771600,118.94
2014-12-04,118.73,119.35,117.72,119.13,732200,118.54
2014-12-03,118.10,118.84,117.59,118.78,716400,118.19
2014-12-02,116.12,118.34,115.81,118.27,825500,117.69
2014-12-01,116.16,117.13,115.46,116.35,759000,115.78
2014-11-28,116.08,117.17,115.51,116.14,356000,115.57
2014-11-26,114.85,115.97,114.37,115.87,458200,115.30
2014-11-25,114.70,115.11,113.99,114.43,650300,113.87
2014-11-24,114.78,115.15,114.24,114.65,540900,114.08
2014-11-21,114.73,115.23,114.19,114.37,671800,113.81
2014-11-20,114.08,114.45,113.57,114.25,593100,113.69
2014-11-19,113.95,114.70,113.46,114.22,574200,113.66
2014-11-18,113.48,114.62,113.17,114.33,591300,113.77
2014-11-17,113.19,113.81,112.69,113.21,511300,112.65
2014-11-14,113.82,114.07,112.82,113.14,467500,112.58
2014-11-13,112.55,113.66,112.11,113.65,466500,113.09
2014-11-12,113.77,114.03,112.02,112.17,701100,111.62
2014-11-11,115.10,115.35,113.75,114.13,408800,113.57
2014-11-10,114.08,115.59,113.94,115.41,918100,114.84
2014-11-07,115.00,115.52,113.94,114.06,663700,113.50
2014-11-06,116.62,116.65,114.82,115.00,880600,114.43
2014-11-05,117.15,117.42,116.11,116.80,998200,116.22
2014-11-04,116.54,116.96,115.75,116.80,692800,116.22
2014-11-03,115.68,116.65,115.30,116.50,1287400,115.93
2014-10-31,115.65,115.99,114.72,115.70,999800,115.13
2014-10-30,112.89,115.00,112.64,114.94,793300,114.37
2014-10-29,113.06,113.52,112.28,113.24,1194600,112.68
2014-10-28,112.94,113.42,112.42,113.37,843000,112.81
2014-10-27,112.19,112.84,111.76,112.73,743600,112.17
2014-10-24,112.54,113.08,111.65,112.17,674600,111.62
2014-10-23,111.29,112.74,110.65,112.73,1050100,112.17
2014-10-22,110.88,111.90,110.45,110.60,768700,110.05
2014-10-21,107.93,110.96,107.93,110.88,724900,110.33
2014-10-20,108.23,109.86,108.19,109.79,715400,109.25
2014-10-17,108.92,108.92,107.08,108.25,873200,107.72
2014-10-16,105.94,108.01,105.54,107.67,1129400,107.14
2014-10-15,107.53,109.27,106.30,106.70,2305700,106.17
2014-10-14,105.95,108.57,105.77,108.20,1061900,107.67
2014-10-13,106.02,107.08,105.56,105.77,829200,105.25
2014-10-10,104.39,106.26,104.37,105.31,807100,104.79
2014-10-09,103.89,105.08,103.42,104.08,870700,103.57
2014-10-08,101.57,104.37,101.46,104.26,889700,103.75
2014-10-07,102.03,102.83,101.14,101.23,426700,100.73
2014-10-06,102.38,103.10,101.68,102.51,586900,102.00
2014-10-03,102.17,102.70,101.27,102.12,578600,101.62
2014-10-02,100.95,101.78,99.89,101.57,1342900,101.07
2014-10-01,101.11,101.80,100.57,101.32,1182100,100.82
2014-09-30,102.54,102.75,101.18,101.32,765300,100.82
2014-09-29,102.28,102.58,101.29,102.49,501800,101.98
2014-09-26,101.00,102.93,100.72,102.63,779900,102.12
2014-09-25,102.18,102.75,100.90,101.34,838300,100.34
2014-09-24,102.75,103.39,101.94,102.20,1019800,101.19
2014-09-23,103.52,104.19,102.80,102.83,642400,101.82
2014-09-22,104.80,105.08,103.56,103.60,587700,102.58
2014-09-19,104.72,105.75,104.72,105.25,1351200,104.21
2014-09-18,105.16,105.69,104.77,105.31,1045800,104.27
2014-09-17,104.47,105.98,104.39,105.14,771400,104.10
2014-09-16,103.32,104.70,103.00,103.99,890400,102.97
2014-09-15,104.04,104.51,103.22,103.45,540200,102.43
2014-09-12,107.57,107.86,103.97,103.98,926200,102.96
2014-09-11,107.51,108.67,107.46,108.25,537700,107.18
2014-09-10,108.96,108.99,107.73,107.80,457900,106.74
2014-09-09,109.48,109.54,108.98,109.23,584700,108.15
2014-09-08,108.67,109.49,108.46,109.29,546500,108.21
2014-09-05,108.77,109.39,108.55,108.88,960100,107.81
2014-09-04,108.99,109.54,108.55,108.62,431200,107.55
2014-09-03,109.83,110.15,108.92,109.07,568300,108.00
2014-09-02,109.24,109.80,109.08,109.23,662900,108.15
2014-08-29,109.70,109.88,109.02,109.35,1304800,108.27
2014-08-28,109.52,110.01,109.12,109.22,294800,108.14
2014-08-27,109.78,110.34,109.13,109.60,436900,108.52
2014-08-26,109.17,110.06,108.72,109.40,389200,108.32
2014-08-25,110.01,110.01,108.99,109.18,523200,108.11
2014-08-22,110.32,110.41,109.09,109.74,355000,108.66
2014-08-21,111.40,111.70,110.28,110.29,585500,109.20
2014-08-20,110.82,111.43,109.84,111.12,558900,110.03
2014-08-19,110.96,111.60,110.68,111.14,811100,110.05
2014-08-18,110.38,111.24,110.10,110.96,392900,109.87
2014-08-15,110.17,110.68,109.44,109.83,387300,108.75
2014-08-14,110.38,110.64,109.38,110.13,326900,109.05
2014-08-13,108.12,110.18,108.12,110.07,804200,108.99
2014-08-12,107.82,108.43,107.45,107.99,270000,106.93
2014-08-11,107.53,108.35,107.31,107.82,349500,106.76
2014-08-08,106.81,107.48,106.07,107.35,288200,106.29
2014-08-07,106.72,107.92,106.18,106.76,405600,105.71
2014-08-06,106.57,107.47,105.59,106.80,441500,105.75
2014-08-05,107.61,108.17,106.61,106.77,369200,105.72
2014-08-04,107.23,108.52,106.71,108.17,512200,107.11
2014-08-01,107.73,108.31,107.11,107.33,1103900,106.27
2014-07-31,108.77,109.29,107.67,107.80,517600,106.74
2014-07-30,109.19,109.81,108.88,109.37,478300,108.29
2014-07-29,110.24,111.02,109.01,109.01,465900,107.94
2014-07-28,109.78,110.80,109.43,110.31,382900,109.22
2014-07-25,111.75,111.88,109.61,109.75,705600,108.67
2014-07-24,111.63,112.65,110.90,111.86,908400,110.76
2014-07-23,111.61,112.06,111.30,111.63,414900,110.53
2014-07-22,111.33,111.98,110.48,111.72,664100,110.62
2014-07-21,110.51,110.82,109.98,110.26,603500,109.17
2014-07-18,109.85,110.72,109.63,110.61,482100,109.52
2014-07-17,110.13,110.57,109.39,109.39,494000,108.31
2014-07-16,110.38,110.62,109.50,110.25,652800,109.16
2014-07-15,109.51,110.57,109.51,110.28,656900,109.19
2014-07-14,109.45,109.72,108.72,109.50,442100,108.42
2014-07-11,109.79,109.97,108.96,109.22,410400,108.14
2014-07-10,108.41,109.97,108.18,109.75,893100,108.67
2014-07-09,108.72,109.00,107.51,108.61,696400,107.54
2014-07-08,108.44,109.02,108.29,108.69,518000,107.62
2014-07-07,108.42,109.06,108.00,108.26,605400,107.19
2014-07-03,108.90,109.14,108.06,108.34,273800,107.27
2014-07-02,109.69,109.69,108.58,108.90,595600,107.83
2014-07-01,110.01,110.01,108.26,109.64,1167700,108.56
2014-06-30,109.51,110.11,108.61,109.41,546400,108.33
2014-06-27,108.86,109.58,108.72,109.32,831300,108.24
2014-06-26,109.66,109.80,108.52,109.00,516500,107.93
2014-06-25,110.65,111.10,109.94,110.06,818100,108.48
2014-06-24,110.49,110.99,110.15,110.66,560400,109.07
2014-06-23,111.20,111.64,110.65,110.75,463300,109.16
2014-06-20,111.26,111.59,110.63,111.02,1017300,109.43
2014-06-19,111.18,111.57,110.67,111.57,406400,109.97
2014-06-18,109.92,111.20,109.53,110.65,592100,109.06
2014-06-17,110.04,110.55,109.36,110.00,691300,108.42
2014-06-16,110.79,111.20,109.94,110.20,385900,108.62
2014-06-13,110.47,111.09,109.37,110.70,541300,109.11
2014-06-12,110.52,110.72,109.11,110.15,633100,108.57
2014-06-11,110.51,111.08,109.61,110.52,583900,108.93
2014-06-10,111.12,111.51,109.61,110.24,533400,108.66
2014-06-09,112.40,112.94,111.12,111.32,612600,109.72
2014-06-06,112.75,112.75,111.79,112.48,445700,110.87
2014-06-05,110.82,112.85,110.29,112.79,435600,111.17
2014-06-04,109.96,110.88,109.68,110.63,319000,109.04
2014-06-03,110.01,110.71,109.47,110.12,374200,108.54
2014-06-02,109.71,110.63,109.28,110.39,357300,108.81
2014-05-30,109.09,109.81,108.51,109.49,585800,107.92
2014-05-29,108.72,109.21,108.15,109.00,360700,107.44
2014-05-28,108.88,108.91,107.64,108.49,508300,106.93
2014-05-27,108.99,109.33,108.00,109.10,476100,107.54
2014-05-23,108.13,108.90,107.78,108.90,404700,107.34
2014-05-22,108.18,108.49,107.75,107.78,813000,106.23
2014-05-21,108.82,109.90,108.09,108.25,383900,106.70
2014-05-20,108.27,108.91,108.01,108.37,424300,106.82
2014-05-19,108.50,108.94,107.80,108.37,445400,106.82
2014-05-16,108.21,108.57,107.40,108.57,590000,107.01
2014-05-15,108.29,108.77,107.08,107.99,693500,106.44
2014-05-14,108.44,109.03,107.73,108.30,541000,106.75
2014-05-13,109.00,109.66,108.11,108.40,375900,106.85
2014-05-12,108.63,109.10,108.34,108.95,448900,107.39
2014-05-09,107.92,108.55,107.59,108.49,583400,106.93
2014-05-08,107.57,108.85,107.27,107.89,989100,106.34
2014-05-07,106.63,107.75,106.12,107.59,568800,106.05
2014-05-06,105.55,106.49,105.08,106.07,517100,104.55
2014-05-05,105.70,106.44,105.09,106.03,861200,104.51
2014-05-02,105.72,106.95,105.21,106.10,623600,104.58
2014-05-01,104.32,105.71,103.87,105.56,686400,104.05
2014-04-30,103.47,104.74,103.00,104.71,808300,103.21
2014-04-29,103.95,104.09,103.16,103.51,930500,102.03
2014-04-28,102.71,103.79,102.48,103.75,587400,102.26
2014-04-25,103.21,103.24,102.16,102.21,440900,100.74
2014-04-24,102.53,104.60,101.23,103.38,733700,101.90
2014-04-23,101.74,102.42,101.72,101.96,855000,100.50
2014-04-22,102.24,102.60,101.37,102.29,692700,100.82
2014-04-21,101.81,102.48,101.21,102.11,605800,100.65
2014-04-17,102.27,102.43,101.20,101.49,830700,100.03
2014-04-16,102.56,103.46,101.25,102.62,774800,101.15
2014-04-15,100.17,102.25,100.17,102.06,983100,100.60
2014-04-14,100.09,100.75,99.42,100.10,513100,98.66
2014-04-11,99.48,100.55,99.08,99.31,946200,97.89
2014-04-10,101.08,102.00,99.74,99.76,585100,98.33
2014-04-09,102.14,102.35,101.11,101.19,562500,99.74
2014-04-08,101.62,102.21,100.97,101.90,613900,100.44
2014-04-07,100.74,102.20,100.74,101.38,478300,99.93
2014-04-04,101.40,101.98,100.59,101.15,332900,99.70
2014-04-03,101.18,101.24,100.29,100.68,323800,99.24
2014-04-02,101.09,101.50,100.60,101.21,616800,99.76
2014-04-01,100.70,101.47,100.16,101.47,808600,100.01
2014-03-31,99.85,100.81,99.11,100.62,596000,99.18
2014-03-28,98.79,100.27,98.79,99.47,263700,98.04
2014-03-27,97.54,98.75,97.35,98.71,426000,97.29
2014-03-26,99.58,99.80,98.00,98.00,436700,96.10
2014-03-25,98.79,99.65,98.41,99.43,354200,97.50
2014-03-24,99.16,99.41,97.47,98.34,353300,96.43
2014-03-21,98.02,99.68,98.02,99.16,1069700,97.24
2014-03-20,97.55,98.23,96.31,98.11,621000,96.21
2014-03-19,99.86,100.57,97.42,97.67,427300,95.78
2014-03-18,98.70,100.01,98.04,99.94,649700,98.00
2014-03-17,99.10,99.58,98.03,98.80,382600,96.89
2014-03-14,97.82,99.10,97.82,98.50,415200,96.59
2014-03-13,98.96,99.13,97.53,97.83,347000,95.93
2014-03-12,98.32,99.05,98.27,98.70,420400,96.79
2014-03-11,98.10,99.46,98.08,98.70,642100,96.79
2014-03-10,98.89,99.22,97.29,97.78,568500,95.89
2014-03-07,99.74,99.88,98.21,98.89,475600,96.97
2014-03-06,99.99,100.24,99.26,99.64,368700,97.71
2014-03-05,100.25,100.81,99.24,99.94,480000,98.00
2014-03-04,99.35,100.74,99.35,100.51,666400,98.56
