Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,18.95,18.95,18.95,18.95,000,18.95
2015-02-12,18.50,18.95,18.50,18.95,1900,18.95
2015-02-11,19.00,19.00,19.00,19.00,000,19.00
2015-02-10,18.85,19.00,18.81,19.00,3600,18.91
2015-02-09,18.45,18.63,18.44,18.60,700,18.52
2015-02-06,18.49,19.00,18.49,18.60,4100,18.52
2015-02-05,18.75,18.75,18.45,18.52,2400,18.44
2015-02-04,18.90,19.10,18.00,18.40,7300,18.32
2015-02-03,19.50,19.76,17.67,19.10,16800,19.01
2015-02-02,18.73,19.95,18.72,19.47,17700,19.38
2015-01-30,37.71,37.71,36.27,36.27,1200,18.05
2015-01-29,37.78,37.78,36.21,36.21,3000,18.02
2015-01-28,36.50,37.62,36.50,37.39,11000,18.61
2015-01-27,36.50,37.10,35.31,36.51,10800,18.17
2015-01-26,37.41,37.41,36.62,36.62,1800,18.23
2015-01-23,37.56,37.56,37.25,37.25,2200,18.54
2015-01-22,38.37,38.37,36.51,37.06,8000,18.45
2015-01-21,36.60,39.80,36.60,37.17,1200,18.50
2015-01-20,37.50,38.24,36.55,37.13,2000,18.48
2015-01-16,38.00,39.80,36.60,37.13,5800,18.48
2015-01-15,39.35,39.70,36.50,38.54,9000,19.18
2015-01-14,40.59,40.59,39.00,39.26,4800,19.54
2015-01-13,39.75,41.23,39.68,39.84,36800,19.83
2015-01-12,40.00,40.00,39.05,39.75,5400,19.79
2015-01-09,38.63,41.15,38.05,39.90,9400,19.86
2015-01-08,37.81,39.49,37.81,39.45,9600,19.64
2015-01-07,37.95,37.95,37.95,37.95,800,18.89
2015-01-06,36.60,38.00,36.55,37.97,7800,18.90
2015-01-05,36.60,36.60,36.60,36.60,600,18.22
2015-01-02,36.53,38.00,36.50,37.97,2600,18.90
2014-12-31,38.00,38.00,37.97,37.97,3600,18.90
2014-12-30,37.97,38.00,37.55,38.00,7200,18.91
2014-12-29,38.00,38.00,36.50,36.50,800,18.17
2014-12-26,37.50,38.00,37.50,38.00,1000,18.91
2014-12-24,37.00,37.01,36.96,37.01,5000,18.42
2014-12-23,37.99,38.00,37.00,37.00,27600,18.42
2014-12-22,37.96,37.96,37.96,37.96,400,18.90
2014-12-19,37.00,38.00,36.55,36.55,5000,18.19
2014-12-18,36.75,36.75,36.75,36.75,200,18.29
2014-12-17,37.00,38.00,36.50,38.00,345600,18.91
2014-12-16,38.20,38.20,37.00,38.00,78400,18.91
2014-12-15,39.15,39.15,39.05,39.05,1600,19.44
2014-12-12,41.25,41.25,39.50,40.45,6000,20.13
2014-12-11,39.75,39.75,39.75,39.75,200,19.79
2014-12-10,41.35,41.72,39.50,41.14,3400,20.48
2014-12-09,39.00,39.00,39.00,39.00,000,19.41
2014-12-08,39.00,39.00,39.00,39.00,400,19.41
2014-12-05,40.95,40.95,40.95,40.95,400,20.38
2014-12-04,39.30,39.30,39.30,39.30,000,19.56
2014-12-03,39.30,39.30,39.30,39.30,000,19.56
2014-12-02,39.30,39.30,39.30,39.30,000,19.56
2014-12-01,37.00,41.58,37.00,39.30,2000,19.56
2014-11-28,38.00,38.00,37.80,37.80,3200,18.82
2014-11-26,38.00,38.00,38.00,38.00,000,18.91
2014-11-25,38.00,38.00,38.00,38.00,000,18.91
2014-11-24,38.00,38.00,38.00,38.00,000,18.91
2014-11-21,38.00,38.00,38.00,38.00,000,18.91
2014-11-20,38.00,38.00,38.00,38.00,000,18.91
2014-11-19,38.00,38.00,38.00,38.00,000,18.91
2014-11-18,37.50,38.00,37.50,38.00,1400,18.91
2014-11-17,37.50,37.50,37.50,37.50,1000,18.67
2014-11-14,37.50,37.50,37.50,37.50,1000,18.67
2014-11-13,37.50,37.50,37.50,37.50,000,18.67
2014-11-12,37.50,37.50,37.50,37.50,200,18.67
2014-11-11,37.01,37.01,37.01,37.01,400,18.34
2014-11-10,37.01,37.45,37.01,37.45,5400,18.56
2014-11-07,37.00,38.00,37.00,38.00,1600,18.83
2014-11-06,37.00,37.00,37.00,37.00,600,18.33
2014-11-05,37.00,37.00,37.00,37.00,400,18.33
2014-11-04,37.00,37.00,36.05,36.05,1000,17.86
2014-11-03,37.00,37.00,37.00,37.00,400,18.33
2014-10-31,36.92,37.00,36.45,37.00,3600,18.33
2014-10-30,36.50,36.50,36.50,36.50,1600,18.08
2014-10-29,36.25,36.50,36.15,36.50,134800,18.08
2014-10-28,36.00,36.47,35.86,36.25,14800,17.96
2014-10-27,35.16,35.16,35.16,35.16,000,17.42
2014-10-24,36.50,36.50,35.16,35.16,600,17.42
2014-10-23,36.00,36.00,36.00,36.00,000,17.84
2014-10-22,36.00,36.00,36.00,36.00,800,17.84
2014-10-21,35.07,35.07,35.07,35.07,000,17.38
2014-10-20,35.07,35.07,35.07,35.07,400,17.38
2014-10-17,35.92,35.92,35.92,35.92,1200,17.80
2014-10-16,35.25,35.25,35.25,35.25,000,17.47
2014-10-15,35.46,35.46,35.25,35.25,1600,17.47
2014-10-14,35.55,35.55,35.55,35.55,000,17.61
2014-10-13,35.55,35.55,35.55,35.55,000,17.61
2014-10-10,35.55,35.55,35.55,35.55,400,17.61
2014-10-09,35.76,35.98,35.15,35.15,6200,17.42
2014-10-08,35.52,36.00,35.25,35.49,3400,17.58
2014-10-07,35.70,35.70,35.70,35.70,1600,17.69
2014-10-06,36.45,36.45,35.42,36.01,1400,17.84
2014-10-03,35.95,36.05,35.95,36.05,25000,17.86
2014-10-02,35.83,35.90,35.83,35.90,2400,17.79
2014-10-01,35.54,36.00,35.54,36.00,2400,17.84
2014-09-30,35.52,35.88,35.52,35.88,4200,17.78
2014-09-29,35.84,35.86,35.74,35.80,1800,17.74
2014-09-26,35.06,35.06,35.06,35.06,000,17.37
2014-09-25,35.06,35.06,35.06,35.06,400,17.37
2014-09-24,35.11,35.11,35.11,35.11,400,17.40
2014-09-23,35.08,35.99,35.08,35.20,1800,17.44
2014-09-22,35.94,35.94,35.70,35.70,1000,17.69
2014-09-19,35.95,36.00,35.82,35.82,1600,17.75
2014-09-18,36.00,36.00,36.00,36.00,600,17.84
2014-09-17,35.23,35.23,35.23,35.23,000,17.46
2014-09-16,35.23,35.23,35.23,35.23,000,17.46
2014-09-15,35.06,35.99,35.06,35.23,2000,17.46
2014-09-12,35.08,35.08,35.08,35.08,000,17.38
2014-09-11,35.06,35.11,35.06,35.08,800,17.38
2014-09-10,35.00,35.00,35.00,35.00,600,17.34
2014-09-09,36.00,36.00,36.00,36.00,000,17.84
2014-09-08,35.20,36.00,35.20,36.00,1000,17.84
2014-09-05,35.10,35.34,35.00,35.10,6400,17.39
2014-09-04,35.13,35.13,35.13,35.13,600,17.41
2014-09-03,34.91,34.91,34.91,34.91,000,17.30
2014-09-02,34.91,34.91,34.91,34.91,800,17.30
2014-08-29,35.33,36.03,35.33,36.03,5400,17.85
2014-08-28,35.66,35.66,35.02,35.02,1200,17.35
2014-08-27,35.45,35.75,35.43,35.75,4200,17.71
2014-08-26,35.02,35.46,35.00,35.00,2200,17.34
2014-08-25,35.55,35.59,34.95,34.95,4200,17.32
2014-08-22,35.04,35.04,35.04,35.04,2200,17.36
2014-08-21,35.49,35.49,35.49,35.49,1200,17.58
2014-08-20,34.80,34.80,34.80,34.80,000,17.24
2014-08-19,34.80,34.80,34.80,34.80,000,17.24
2014-08-18,34.80,34.80,34.80,34.80,000,17.24
2014-08-15,34.80,34.80,34.80,34.80,000,17.24
2014-08-14,35.05,35.50,34.80,34.80,3200,17.24
