Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,16.88,17.12,16.74,17.09,410700,17.09
2015-02-12,16.62,16.92,16.55,16.92,392400,16.92
2015-02-11,16.77,16.79,16.51,16.65,259600,16.65
2015-02-10,16.76,16.84,16.55,16.77,362900,16.77
2015-02-09,16.85,16.99,16.68,16.78,194000,16.78
2015-02-06,17.28,17.41,16.90,16.98,623000,16.98
2015-02-05,17.01,17.36,16.96,17.34,317500,17.34
2015-02-04,17.13,17.23,16.83,17.03,402900,17.03
2015-02-03,16.76,17.26,16.73,17.26,603100,17.26
2015-02-02,16.59,16.80,16.45,16.79,556700,16.79
2015-01-30,16.63,16.84,16.47,16.54,186400,16.54
2015-01-29,16.79,16.89,16.50,16.76,236800,16.76
2015-01-28,16.96,16.97,16.75,16.85,303100,16.85
2015-01-27,16.73,16.97,16.58,16.95,438500,16.95
2015-01-26,16.40,16.94,16.37,16.86,1015800,16.86
2015-01-23,16.46,16.51,16.38,16.43,294100,16.43
2015-01-22,16.48,16.56,16.42,16.49,339100,16.49
2015-01-21,16.55,16.67,16.41,16.43,307300,16.43
2015-01-20,16.66,16.68,16.48,16.54,586500,16.54
2015-01-16,16.66,16.76,16.61,16.69,293700,16.69
2015-01-15,17.02,17.15,16.63,16.72,345600,16.72
2015-01-14,16.76,17.12,16.62,17.09,319400,17.09
2015-01-13,17.00,17.00,16.60,16.95,593800,16.95
2015-01-12,16.99,17.02,16.77,16.94,811100,16.94
2015-01-09,16.80,17.01,16.74,16.99,1107900,16.99
2015-01-08,17.00,17.01,16.74,16.81,476500,16.81
2015-01-07,16.83,17.00,16.46,16.98,417100,16.98
2015-01-06,16.99,17.06,16.57,16.84,438200,16.84
2015-01-05,16.60,17.00,16.44,16.91,433700,16.91
2015-01-02,16.44,16.86,16.30,16.78,386700,16.78
2014-12-31,16.50,16.53,16.39,16.45,1398600,16.45
2014-12-30,16.72,16.75,16.48,16.50,939700,16.50
2014-12-29,17.02,17.14,16.88,16.94,506400,16.71
2014-12-26,17.01,17.15,16.92,17.10,229200,16.87
2014-12-24,16.99,17.04,16.85,17.00,110700,16.77
2014-12-23,17.06,17.19,16.91,17.02,462100,16.79
2014-12-22,17.16,17.17,16.80,17.14,699100,16.91
2014-12-19,16.40,17.25,16.36,17.16,1576500,16.93
2014-12-18,16.64,16.74,16.27,16.45,544800,16.23
2014-12-17,16.27,16.69,16.14,16.64,558100,16.41
2014-12-16,16.55,16.56,16.30,16.45,640700,16.23
2014-12-15,16.93,16.98,16.43,16.56,962300,16.34
2014-12-12,17.04,17.18,16.80,16.92,717400,16.69
2014-12-11,17.06,17.29,17.06,17.18,321000,16.95
2014-12-10,17.25,17.29,17.00,17.26,374800,17.03
2014-12-09,17.30,17.46,17.10,17.32,664100,17.08
2014-12-08,17.53,17.75,17.38,17.51,624400,17.27
2014-12-05,17.75,17.79,17.47,17.68,394000,17.44
2014-12-04,17.54,18.00,17.51,17.93,316100,17.69
2014-12-03,17.64,17.90,17.55,17.69,366300,17.45
2014-12-02,17.26,17.84,17.26,17.76,427200,17.52
2014-12-01,17.56,17.75,17.25,17.58,592500,17.34
2014-11-28,17.67,17.75,17.47,17.64,169300,17.40
2014-11-26,17.67,17.99,17.56,17.67,266300,17.43
2014-11-25,17.38,17.67,17.37,17.67,876200,17.43
2014-11-24,17.15,17.60,17.13,17.50,628900,17.26
2014-11-21,17.50,17.54,17.02,17.21,802400,16.98
2014-11-20,17.25,17.60,17.25,17.34,633200,17.10
2014-11-19,17.60,18.00,17.25,17.36,1098800,17.12
2014-11-18,17.93,18.01,17.63,17.73,1289400,17.49
2014-11-17,17.11,17.81,17.10,17.56,1031300,17.32
2014-11-14,17.33,17.75,17.25,17.35,648600,17.11
2014-11-13,18.04,18.04,17.30,17.46,1152100,17.22
2014-11-12,17.87,18.04,17.47,17.55,1201500,17.31
2014-11-11,17.70,18.30,17.60,17.99,1684900,17.75
2014-11-10,19.20,19.39,17.59,17.72,3250400,17.48
2014-11-07,19.35,19.75,19.00,19.30,8126500,19.04
2014-11-06,19.69,20.20,19.31,19.31,1085000,19.05
2014-11-05,19.20,19.85,19.05,19.85,882600,19.58
2014-11-04,18.70,18.81,18.18,18.78,82100,18.53
2014-11-03,19.05,19.05,18.60,18.90,71900,18.64
2014-10-31,18.77,19.30,18.70,19.10,87700,18.84
2014-10-30,18.60,18.99,18.60,18.75,132100,18.50
2014-10-29,19.03,19.03,18.22,18.63,79500,18.38
2014-10-28,19.10,19.23,19.02,19.05,72600,18.79
2014-10-27,18.00,19.50,18.00,19.06,66200,18.80
