Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,21.21,22.04,20.98,21.72,3826700,21.72
2015-02-12,21.30,21.78,20.76,20.83,3923100,20.83
2015-02-11,20.73,21.16,20.25,20.95,3373900,20.95
2015-02-10,22.23,22.41,20.95,21.23,3861100,21.23
2015-02-09,22.63,22.73,22.19,22.23,2997600,22.23
2015-02-06,22.32,22.78,22.02,22.49,3046200,22.49
2015-02-05,21.94,22.62,21.80,22.27,2982000,22.27
2015-02-04,21.41,21.85,21.00,21.51,3721700,21.51
2015-02-03,21.32,22.51,21.29,22.10,4221700,22.10
2015-02-02,20.42,20.63,19.97,20.58,4535600,20.58
2015-01-30,19.38,20.28,19.02,20.00,4333700,20.00
2015-01-29,19.36,19.58,18.23,19.55,4056600,19.55
2015-01-28,20.04,20.14,19.04,19.31,3468900,19.31
2015-01-27,19.74,20.36,19.62,20.28,3589400,20.20
2015-01-26,19.60,20.08,19.42,19.96,2414100,19.88
2015-01-23,20.06,20.39,19.54,19.56,3704100,19.48
2015-01-22,20.28,21.44,19.80,20.17,4538500,20.09
2015-01-21,19.03,20.09,19.03,20.06,4021700,19.98
2015-01-20,18.64,18.92,17.91,18.90,2843200,18.83
2015-01-16,17.35,18.92,17.35,18.90,2732800,18.83
2015-01-15,18.18,18.56,17.23,17.27,3045300,17.20
2015-01-14,17.28,17.98,16.89,17.83,3805900,17.76
2015-01-13,17.96,18.24,17.36,17.66,2913000,17.59
2015-01-12,18.00,18.10,17.31,17.94,2774200,17.87
2015-01-09,18.94,19.17,18.27,18.39,2832700,18.32
2015-01-08,18.82,19.22,18.46,18.93,3479300,18.86
2015-01-07,19.01,19.24,18.20,18.50,3393100,18.43
2015-01-06,18.82,19.33,18.45,18.80,3784300,18.73
2015-01-05,20.12,20.12,18.78,19.02,3339500,18.94
2015-01-02,20.05,20.97,19.90,20.62,2422300,20.54
2014-12-31,20.25,20.49,19.52,20.15,1899400,20.07
2014-12-30,20.31,20.84,19.84,20.51,1961800,20.43
2014-12-29,20.61,20.97,20.13,20.46,2318100,20.38
2014-12-26,20.34,20.87,20.13,20.49,2039500,20.41
2014-12-24,20.56,20.57,19.67,20.03,1814500,19.95
2014-12-23,20.88,21.12,20.22,20.69,3658600,20.61
2014-12-22,21.32,21.47,20.42,20.55,4792900,20.47
2014-12-19,20.93,21.87,20.74,21.77,4679400,21.68
2014-12-18,20.59,21.53,20.08,20.78,5489000,20.70
2014-12-17,18.40,20.23,18.27,19.84,5339500,19.76
2014-12-16,16.95,18.64,16.70,18.22,5101300,18.15
2014-12-15,17.58,17.89,17.12,17.19,3301000,17.12
2014-12-12,17.57,18.11,17.27,17.44,2806300,17.37
2014-12-11,18.32,18.77,17.89,17.97,3789800,17.90
2014-12-10,18.04,18.10,17.63,17.96,4084700,17.89
2014-12-09,17.82,18.84,17.79,18.53,3919200,18.46
2014-12-08,18.81,18.83,17.83,18.11,4262000,18.04
2014-12-05,19.31,19.77,18.71,19.22,3683000,19.14
2014-12-04,19.31,19.98,19.07,19.37,3824200,19.29
2014-12-03,19.50,20.32,19.30,19.60,4473100,19.52
2014-12-02,19.13,20.07,18.98,19.25,5203500,19.17
2014-12-01,19.27,19.46,17.91,19.25,7198000,19.17
2014-11-28,22.27,22.27,19.20,19.31,3770400,19.23
2014-11-26,24.14,24.28,23.17,23.38,2615900,23.29
2014-11-25,25.43,25.52,24.14,24.22,1951200,24.12
2014-11-24,25.59,25.96,25.01,25.10,2321100,25.00
2014-11-21,25.61,26.19,25.33,25.66,2893300,25.56
2014-11-20,24.34,25.21,24.34,25.07,2641200,24.97
2014-11-19,24.54,24.64,23.74,24.29,2612300,24.19
2014-11-18,24.93,25.09,24.46,24.47,4485100,24.37
2014-11-17,24.56,24.60,23.75,24.32,4256300,24.22
2014-11-14,24.31,24.95,24.13,24.71,3106000,24.61
2014-11-13,24.00,24.39,23.04,23.93,5550800,23.84
2014-11-12,23.99,24.88,23.85,24.21,2258800,24.11
2014-11-11,24.56,24.69,23.84,24.33,3284400,24.23
2014-11-10,25.31,25.74,24.35,24.45,2635600,24.35
2014-11-07,24.39,25.70,24.33,25.01,3815300,24.91
2014-11-06,23.77,24.40,23.46,24.38,4391000,24.28
2014-11-05,23.61,24.22,23.21,23.93,3487200,23.84
2014-11-04,24.40,24.40,23.07,23.15,5259300,23.06
2014-11-03,25.15,25.81,24.66,24.75,3597300,24.65
2014-10-31,24.79,25.24,23.95,25.15,4280800,25.05
2014-10-30,25.24,26.68,24.56,24.98,2943400,24.88
2014-10-29,24.92,25.77,24.64,25.23,5242900,25.13
2014-10-28,23.82,24.75,23.55,24.70,3373400,24.60
2014-10-27,25.09,25.19,23.82,24.03,2853900,23.86
2014-10-24,25.64,25.69,25.00,25.58,1766300,25.39
2014-10-23,25.40,26.00,25.03,25.71,1790100,25.52
2014-10-22,25.79,26.30,25.00,25.01,2590300,24.83
2014-10-21,25.10,25.69,24.94,25.67,3175800,25.48
2014-10-20,24.74,25.21,24.25,24.81,2775900,24.63
2014-10-17,25.16,26.01,24.48,24.75,3949300,24.57
2014-10-16,23.35,24.79,22.98,24.55,4238500,24.37
2014-10-15,23.05,24.18,22.33,23.97,5784200,23.80
2014-10-14,24.96,25.01,23.41,23.51,4803800,23.34
2014-10-13,27.00,27.46,24.58,24.65,5300500,24.47
2014-10-10,27.94,27.94,26.75,26.98,3658300,26.78
2014-10-09,29.56,29.56,28.04,28.09,2704800,27.89
2014-10-08,30.24,30.26,28.91,29.64,3409600,29.42
2014-10-07,30.39,31.37,30.31,30.40,2912400,30.18
2014-10-06,30.75,31.12,30.24,30.56,2950000,30.34
2014-10-03,31.32,31.37,30.38,30.65,2778800,30.43
2014-10-02,31.87,31.88,30.79,31.13,3146000,30.90
