Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.12,25.71,24.72,25.62,444600,25.62
2015-02-12,24.64,25.15,24.64,24.91,369200,24.91
2015-02-11,24.25,24.68,24.19,24.52,279800,24.52
2015-02-10,24.57,24.79,24.07,24.52,347500,24.52
2015-02-09,24.37,24.75,24.17,24.63,607900,24.63
2015-02-06,24.40,24.57,24.18,24.35,252100,24.35
2015-02-05,24.08,24.56,23.78,24.49,587100,24.49
2015-02-04,24.41,24.42,23.93,23.99,484800,23.99
2015-02-03,24.20,24.51,24.06,24.48,492600,24.48
2015-02-02,24.08,24.18,23.82,24.07,770700,24.07
2015-01-30,23.96,24.27,23.80,23.86,687500,23.86
2015-01-29,24.81,24.95,24.00,24.17,528200,24.17
2015-01-28,25.16,25.33,24.42,24.49,527000,24.49
2015-01-27,24.36,25.22,24.14,25.16,304800,25.16
2015-01-26,24.40,24.87,24.29,24.82,207800,24.82
2015-01-23,24.49,24.55,24.13,24.41,260200,24.41
2015-01-22,24.10,24.53,24.10,24.50,213000,24.50
2015-01-21,23.01,24.02,22.91,23.94,336700,23.94
2015-01-20,23.00,23.04,22.63,22.99,631800,22.99
2015-01-16,22.71,23.07,22.56,22.89,322000,22.89
2015-01-15,22.89,23.15,22.70,22.72,416100,22.72
2015-01-14,22.90,23.17,22.72,22.85,780500,22.85
2015-01-13,23.55,23.64,22.84,23.38,384500,23.38
2015-01-12,23.93,23.93,23.47,23.53,435500,23.53
2015-01-09,23.57,24.09,23.40,23.93,223200,23.93
2015-01-08,23.70,23.95,23.40,23.45,390100,23.45
2015-01-07,23.70,23.79,23.43,23.52,190100,23.52
2015-01-06,23.82,23.82,23.49,23.53,297400,23.53
2015-01-05,24.16,24.21,23.75,23.87,231700,23.87
2015-01-02,23.90,24.65,23.72,24.41,312800,24.41
2014-12-31,24.08,24.21,23.64,23.88,193200,23.88
2014-12-30,23.88,24.38,23.88,24.05,249800,24.05
2014-12-29,23.75,23.98,23.73,23.89,466800,23.89
2014-12-26,23.85,23.98,23.75,23.87,93200,23.87
2014-12-24,23.72,23.83,23.40,23.76,95800,23.76
2014-12-23,23.62,23.85,23.36,23.70,264900,23.70
2014-12-22,23.74,23.75,23.21,23.48,251400,23.48
2014-12-19,23.70,24.10,23.57,23.71,868800,23.71
2014-12-18,23.36,23.60,22.64,23.58,417300,23.58
2014-12-17,21.62,23.04,21.56,22.89,552700,22.89
2014-12-16,21.67,22.06,21.52,21.54,732500,21.54
2014-12-15,22.21,22.48,21.87,21.90,805100,21.90
2014-12-12,22.56,22.83,22.24,22.25,259200,22.25
2014-12-11,22.53,23.21,22.53,22.82,436500,22.82
2014-12-10,23.92,24.27,22.52,22.60,688000,22.60
2014-12-09,23.70,23.94,23.40,23.78,580200,23.78
2014-12-08,24.60,24.60,23.71,23.79,349400,23.79
2014-12-05,24.33,24.79,24.25,24.52,273100,24.52
2014-12-04,24.51,24.58,24.11,24.15,337700,24.15
2014-12-03,24.20,25.17,24.08,24.69,552600,24.69
2014-12-02,24.73,25.04,24.40,24.55,580900,24.13
2014-12-01,25.12,25.20,24.84,24.90,452200,24.48
2014-11-28,25.45,25.69,25.19,25.20,453300,24.77
2014-11-26,26.30,26.32,25.93,26.00,580200,25.56
2014-11-25,26.77,26.95,26.20,26.31,473300,25.87
2014-11-24,27.77,27.77,26.52,26.87,556600,26.42
2014-11-21,28.10,28.32,27.35,27.95,761100,27.48
2014-11-20,26.63,27.70,26.55,27.66,565400,27.19
2014-11-19,25.60,26.94,25.60,26.81,715600,26.36
2014-11-18,24.36,25.19,24.33,25.15,478200,24.72
2014-11-17,24.61,24.79,24.19,24.42,190900,24.01
2014-11-14,24.43,24.87,24.14,24.72,334300,24.30
2014-11-13,23.99,24.45,23.61,24.43,517200,24.02
2014-11-12,23.50,24.05,23.41,23.97,170800,23.56
2014-11-11,23.45,23.76,23.34,23.72,161800,23.32
2014-11-10,23.85,23.93,23.31,23.54,170700,23.14
2014-11-07,23.70,24.03,23.70,23.86,201500,23.46
2014-11-06,23.41,23.71,23.29,23.63,141100,23.23
2014-11-05,23.32,23.80,23.29,23.54,124100,23.14
2014-11-04,23.92,23.96,23.20,23.29,156200,22.90
2014-11-03,23.50,24.10,23.13,23.88,335200,23.48
2014-10-31,23.50,23.75,23.38,23.73,175200,23.33
2014-10-30,22.95,23.64,22.89,23.35,280400,22.96
2014-10-29,23.05,23.25,22.85,23.09,237600,22.70
2014-10-28,23.01,23.12,22.70,23.07,165500,22.68
2014-10-27,23.35,23.60,22.38,22.80,340200,22.41
2014-10-24,23.20,23.88,23.02,23.62,199800,23.22
2014-10-23,22.83,23.30,22.61,23.14,343100,22.75
2014-10-22,23.38,23.43,22.70,22.73,258500,22.35
2014-10-21,23.13,23.72,23.13,23.33,296600,22.94
2014-10-20,22.88,23.13,22.79,23.05,219800,22.66
2014-10-17,23.46,23.85,22.83,22.87,301700,22.48
2014-10-16,22.10,23.46,22.02,23.28,525300,22.89
2014-10-15,22.55,22.88,21.86,22.60,556900,22.22
2014-10-14,22.90,23.10,22.42,22.82,303200,22.43
2014-10-13,23.54,23.90,22.64,22.68,397200,22.30
2014-10-10,24.41,24.66,23.52,23.56,416000,23.16
2014-10-09,24.70,24.76,24.47,24.67,457600,24.25
2014-10-08,24.28,24.79,24.07,24.72,524800,24.30
2014-10-07,24.55,24.71,24.15,24.20,401600,23.79
2014-10-06,25.01,25.20,24.63,24.64,520700,24.22
2014-10-03,25.40,25.40,24.69,24.81,255700,24.39
2014-10-02,25.12,25.54,24.27,25.37,435900,24.94
2014-10-01,25.95,25.99,25.25,25.27,329300,24.84
2014-09-30,25.87,26.17,25.64,26.14,420500,25.70
