Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,106.42,107.00,104.64,105.56,1082900,105.56
2015-02-12,107.25,107.64,106.25,106.67,1212800,106.67
2015-02-11,109.45,109.48,106.82,107.12,1098600,107.12
2015-02-10,108.04,110.67,108.03,110.38,1289900,110.38
2015-02-09,107.80,108.70,107.17,107.88,951100,107.88
2015-02-06,112.93,113.04,107.50,108.21,1323600,108.21
2015-02-05,112.85,113.75,111.88,113.42,745600,113.42
2015-02-04,113.37,113.76,111.80,112.03,940600,112.03
2015-02-03,112.84,114.02,112.28,113.81,1071900,113.81
2015-02-02,112.38,113.25,110.88,113.18,741700,113.18
2015-01-30,113.97,114.54,111.78,111.92,838100,111.92
2015-01-29,113.23,115.06,112.38,114.94,627300,114.94
2015-01-28,114.57,116.21,113.11,113.34,712900,113.34
2015-01-27,114.04,115.10,113.89,114.54,620300,114.54
2015-01-26,114.67,115.17,113.40,114.53,547900,114.53
2015-01-23,114.96,115.90,114.49,115.08,552700,115.08
2015-01-22,114.81,115.41,113.79,114.51,717200,114.51
2015-01-21,113.32,114.71,112.79,114.50,866800,114.50
2015-01-20,113.21,113.80,112.41,113.67,825600,113.67
2015-01-16,111.78,113.00,111.20,112.95,937200,112.95
2015-01-15,111.87,112.59,111.18,112.14,828000,112.14
2015-01-14,110.34,111.52,109.45,111.46,739700,111.46
2015-01-13,111.32,112.50,110.21,110.81,1106700,110.81
2015-01-12,111.24,111.24,109.40,110.15,567100,110.15
2015-01-09,111.78,111.78,109.98,110.75,902400,110.75
2015-01-08,110.95,112.18,110.95,111.76,747400,111.76
2015-01-07,109.39,111.21,109.13,110.77,1118400,110.77
2015-01-06,110.10,111.79,108.92,109.01,1180300,109.01
2015-01-05,111.77,112.13,109.50,110.04,973000,110.04
2015-01-02,111.78,112.27,110.69,112.09,716400,112.09
2014-12-31,113.46,113.72,111.25,111.36,743500,111.36
2014-12-30,115.52,115.52,113.17,113.32,620300,113.32
2014-12-29,114.72,116.30,114.72,115.85,1690800,115.85
2014-12-26,112.14,115.03,112.14,114.86,987400,114.86
2014-12-24,110.52,112.66,110.52,112.09,490200,112.09
2014-12-23,110.68,111.24,109.97,110.33,857800,110.33
2014-12-22,110.05,110.90,109.35,110.59,751800,110.59
2014-12-19,110.17,111.00,108.92,110.10,1875500,110.10
2014-12-18,107.12,109.96,106.86,109.94,1305900,109.94
2014-12-17,105.68,107.00,105.20,106.86,1733000,106.20
2014-12-16,105.96,107.75,104.75,105.24,1212100,104.59
2014-12-15,107.10,108.56,105.51,106.12,1736600,105.46
2014-12-12,109.13,109.87,107.99,108.09,1067700,107.42
2014-12-11,109.29,110.71,109.10,109.43,1220000,108.75
2014-12-10,109.89,110.19,108.25,108.33,952100,107.66
2014-12-09,109.15,110.40,108.75,109.81,1104300,109.13
2014-12-08,110.27,110.93,109.29,109.50,947700,108.82
2014-12-05,110.04,111.03,109.73,110.15,938300,109.47
2014-12-04,110.52,111.30,110.08,111.10,673000,110.41
2014-12-03,110.54,110.97,110.24,110.77,968400,110.09
2014-12-02,108.86,111.04,108.40,110.70,1501100,110.02
2014-12-01,111.37,111.61,109.20,109.27,1954900,108.60
2014-11-28,111.71,112.93,111.56,111.73,664000,111.04
2014-11-26,111.00,112.08,111.00,111.67,615400,110.98
2014-11-25,110.57,111.51,110.25,111.16,948900,110.47
2014-11-24,110.37,110.99,110.05,110.16,1248900,109.48
2014-11-21,110.75,111.42,109.42,110.33,858800,109.65
2014-11-20,109.70,110.64,109.28,110.26,530700,109.58
2014-11-19,110.04,110.50,109.53,110.11,517200,109.43
2014-11-18,109.96,111.11,109.52,110.48,607900,109.80
2014-11-17,108.61,110.15,108.22,109.98,583000,109.30
2014-11-14,109.16,109.61,108.58,108.67,1164400,108.00
2014-11-13,110.53,110.96,109.23,109.51,973800,108.83
2014-11-12,111.35,111.85,109.76,110.65,1204500,109.97
2014-11-11,112.84,113.25,112.06,112.49,863000,111.80
2014-11-10,112.39,112.91,112.19,112.60,1463000,111.90
2014-11-07,113.07,113.24,112.22,112.49,1092700,111.80
2014-11-06,113.24,114.50,111.69,112.84,1704400,112.14
2014-11-05,111.25,113.58,109.64,113.44,1686100,112.74
2014-11-04,110.75,111.87,109.83,110.90,872700,110.22
2014-11-03,110.25,111.44,109.76,110.84,905000,110.16
2014-10-31,110.98,111.36,109.76,110.00,1337100,109.32
2014-10-30,109.00,110.89,108.17,110.49,1411500,109.81
2014-10-29,108.91,109.70,107.43,108.51,724700,107.84
2014-10-28,108.04,109.05,107.53,109.04,844600,108.37
2014-10-27,107.90,108.40,107.25,107.76,822400,107.09
2014-10-24,107.03,107.96,106.71,107.86,766500,107.19
2014-10-23,106.80,107.42,106.21,106.64,954700,105.98
2014-10-22,105.85,107.37,105.59,105.84,933500,105.19
2014-10-21,105.10,105.94,104.75,105.82,1087900,105.17
2014-10-20,103.45,104.70,103.11,104.60,912500,103.95
2014-10-17,102.08,103.55,101.96,103.36,1238200,102.72
2014-10-16,99.27,101.99,98.86,101.61,2111900,100.98
2014-10-15,101.41,101.81,98.34,100.24,2712800,99.62
2014-10-14,102.98,103.26,99.32,102.00,4334300,101.37
2014-10-13,105.62,106.30,102.38,102.67,2300800,102.04
2014-10-10,106.16,107.52,105.55,105.70,1315600,105.05
2014-10-09,108.13,108.66,105.63,105.71,1473900,105.06
2014-10-08,106.16,108.13,105.97,108.04,1156200,107.37
2014-10-07,106.85,107.28,106.28,106.36,991200,105.70
2014-10-06,106.79,107.35,106.27,106.97,1160800,106.31
2014-10-03,105.39,106.95,104.54,106.78,1008900,106.12
2014-10-02,104.91,105.59,104.60,104.89,776500,104.24
2014-10-01,105.53,106.16,104.79,105.07,1128000,104.42
2014-09-30,104.96,106.16,104.56,105.38,1144700,104.73
2014-09-29,103.34,104.95,103.16,104.83,918800,104.18
2014-09-26,103.35,104.04,102.34,103.76,891200,103.12
2014-09-25,104.21,104.76,103.16,103.25,922700,102.61
2014-09-24,104.31,104.70,103.43,104.21,601800,103.57
2014-09-23,104.24,104.61,104.01,104.15,663500,103.51
2014-09-22,105.79,105.85,104.81,105.32,728800,104.01
2014-09-19,105.94,106.10,105.33,106.00,1293900,104.69
2014-09-18,105.41,105.97,104.95,105.33,836100,104.02
2014-09-17,106.07,106.68,104.89,105.34,1485000,104.03
2014-09-16,104.22,105.45,104.09,105.14,526700,103.84
2014-09-15,103.85,104.67,103.71,104.31,637500,103.02
