Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,23.49,24.00,23.06,23.70,16300,23.70
2015-02-12,23.00,23.15,22.69,23.05,11000,23.05
2015-02-11,23.46,23.80,22.89,22.94,17300,22.94
2015-02-10,22.54,23.12,22.21,23.00,28200,23.00
2015-02-09,23.02,23.07,22.16,22.16,34300,22.16
2015-02-06,23.04,23.44,22.70,22.70,19500,22.70
2015-02-05,23.52,23.52,22.72,22.95,35600,22.95
2015-02-04,23.46,23.96,23.09,23.96,30700,23.50
2015-02-03,23.32,23.69,23.14,23.53,27100,23.08
2015-02-02,23.90,23.93,23.11,23.37,26700,22.92
2015-01-30,23.76,23.81,23.04,23.54,17600,23.09
2015-01-29,23.29,23.58,23.15,23.57,12300,23.12
2015-01-28,23.30,24.32,23.10,23.19,49700,22.75
2015-01-27,22.99,23.21,22.62,23.05,12000,22.61
2015-01-26,23.22,23.22,22.70,23.14,27800,22.70
2015-01-23,22.79,23.15,22.62,22.95,25500,22.51
2015-01-22,22.99,23.17,22.70,22.95,15200,22.51
2015-01-21,23.04,23.30,22.60,22.88,34300,22.44
2015-01-20,22.72,23.18,22.66,22.81,48200,22.37
2015-01-16,22.73,23.25,22.42,22.58,87300,22.15
2015-01-15,22.14,22.80,21.65,22.44,58400,22.01
2015-01-14,21.24,22.09,21.08,22.08,34800,21.66
2015-01-13,23.50,23.99,21.16,21.40,61000,20.99
2015-01-12,24.44,24.51,23.19,23.62,51500,23.17
2015-01-09,24.49,25.22,24.19,24.86,15200,24.38
2015-01-08,25.40,25.50,23.77,23.90,43300,23.44
2015-01-07,23.85,25.98,23.71,24.97,99100,24.49
2015-01-06,23.91,24.10,23.45,23.64,38500,23.19
2015-01-05,23.30,23.95,22.66,23.69,53400,23.24
2015-01-02,23.06,23.88,22.65,23.03,28800,22.59
2014-12-31,22.89,23.69,22.55,23.45,53200,23.00
2014-12-30,22.62,22.98,22.01,22.91,52600,22.47
2014-12-29,23.11,23.73,22.47,22.47,74400,22.04
2014-12-26,23.22,23.58,23.08,23.11,44700,22.67
2014-12-24,23.37,23.46,23.00,23.44,19300,22.99
2014-12-23,22.88,23.49,22.51,23.49,32800,23.04
2014-12-22,23.50,23.99,22.50,22.50,41100,22.07
2014-12-19,23.50,24.00,22.91,23.82,22500,23.36
2014-12-18,23.64,24.00,22.00,23.09,34200,22.65
2014-12-17,22.99,23.55,22.60,23.31,12200,22.86
2014-12-16,22.93,23.34,22.91,23.18,11600,22.74
