Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,7.55,7.58,7.40,7.50,25400,7.50
2015-02-12,7.43,7.64,7.29,7.58,286400,7.58
2015-02-11,7.37,7.54,7.35,7.39,33800,7.39
2015-02-10,7.50,7.53,7.22,7.36,84600,7.36
2015-02-09,7.36,7.44,7.20,7.28,29800,7.28
2015-02-06,7.47,7.55,7.33,7.36,18000,7.36
2015-02-05,7.51,7.62,7.38,7.45,13500,7.45
2015-02-04,7.78,7.78,7.34,7.53,24100,7.53
2015-02-03,7.75,7.85,7.53,7.84,14400,7.84
2015-02-02,7.55,7.73,7.15,7.72,37100,7.72
2015-01-30,7.36,7.44,7.20,7.20,18600,7.20
2015-01-29,7.32,7.53,7.17,7.45,28500,7.45
2015-01-28,7.48,7.59,7.31,7.35,31700,7.35
2015-01-27,7.67,7.75,7.50,7.63,17300,7.63
2015-01-26,7.71,7.85,7.36,7.81,51400,7.81
2015-01-23,7.74,7.82,7.37,7.74,12300,7.74
2015-01-22,7.23,7.80,7.15,7.77,106200,7.77
2015-01-21,7.25,7.58,7.21,7.21,63300,7.21
2015-01-20,7.55,7.94,7.25,7.35,54900,7.35
2015-01-16,7.45,8.05,7.24,7.60,97500,7.60
2015-01-15,7.89,7.99,7.35,7.49,76800,7.49
2015-01-14,7.96,8.00,7.70,7.89,81600,7.89
2015-01-13,7.73,8.00,7.21,7.96,80100,7.96
2015-01-12,7.52,7.73,7.44,7.65,89800,7.65
2015-01-09,7.74,7.77,7.42,7.58,259300,7.58
2015-01-08,7.90,8.10,7.75,7.77,63900,7.77
2015-01-07,7.69,8.17,7.66,7.87,70500,7.87
2015-01-06,7.86,7.97,7.67,7.70,58100,7.70
2015-01-05,7.81,7.99,7.75,7.81,43400,7.81
2015-01-02,7.79,8.13,7.70,7.81,34300,7.81
2014-12-31,7.81,8.01,7.56,7.79,48700,7.79
2014-12-30,7.76,8.00,7.46,7.81,96400,7.81
2014-12-29,7.80,7.94,7.68,7.81,87100,7.81
2014-12-26,7.94,7.94,7.60,7.82,47400,7.82
2014-12-24,7.66,7.90,7.53,7.82,51400,7.82
2014-12-23,7.50,7.90,7.35,7.67,366000,7.67
2014-12-22,7.50,7.59,7.31,7.51,313400,7.51
2014-12-19,7.59,7.65,7.30,7.50,260100,7.50
2014-12-18,7.30,7.62,7.20,7.62,92500,7.62
2014-12-17,7.15,7.33,7.05,7.30,225900,7.30
2014-12-16,7.32,7.59,7.30,7.35,75600,7.35
2014-12-15,7.56,7.56,7.30,7.40,106700,7.40
2014-12-12,7.82,7.89,7.45,7.55,159400,7.55
2014-12-11,7.46,8.19,7.34,7.96,124000,7.96
2014-12-10,7.62,7.62,7.27,7.40,355100,7.40
2014-12-09,7.31,7.50,7.21,7.38,188500,7.38
2014-12-08,7.74,7.79,7.00,7.36,106400,7.36
2014-12-05,6.42,7.75,6.42,7.74,36900,7.74
