Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,28.50,28.82,28.18,28.60,54600,28.60
2015-02-12,28.13,28.59,28.04,28.57,56400,28.57
2015-02-11,28.18,28.25,27.65,28.10,51700,28.10
2015-02-10,28.57,28.57,27.63,28.21,57500,28.21
2015-02-09,28.72,28.94,28.37,28.43,71100,28.25
2015-02-06,28.91,29.25,28.51,28.94,84900,28.76
2015-02-05,28.16,28.94,28.11,28.75,57900,28.57
2015-02-04,28.26,28.58,27.88,28.04,48800,27.86
2015-02-03,28.11,28.90,27.67,28.36,84800,28.18
2015-02-02,27.62,28.09,27.41,28.07,69700,27.89
2015-01-30,28.17,28.46,27.43,27.49,86100,27.32
2015-01-29,27.41,28.52,27.23,28.47,79300,28.29
2015-01-28,28.17,28.17,27.40,27.41,59500,27.24
2015-01-27,27.52,28.85,27.52,27.86,72200,27.68
2015-01-26,28.37,28.92,28.13,28.78,71500,28.60
2015-01-23,29.03,29.03,28.18,28.47,31900,28.29
2015-01-22,27.95,29.01,27.94,28.94,94500,28.76
2015-01-21,27.88,27.97,27.42,27.64,73800,27.47
2015-01-20,28.12,28.44,27.57,27.85,69800,27.67
2015-01-16,27.13,28.12,27.12,28.04,70200,27.86
2015-01-15,27.33,27.53,27.01,27.27,42300,27.10
2015-01-14,27.38,28.01,27.15,27.38,45700,27.21
2015-01-13,27.71,28.27,27.19,27.80,65900,27.62
2015-01-12,27.31,27.48,27.00,27.42,62200,27.25
2015-01-09,28.17,28.17,27.27,27.34,83100,27.17
2015-01-08,28.36,28.85,28.07,28.23,99200,28.05
2015-01-07,28.02,28.34,27.79,28.10,42800,27.92
2015-01-06,28.56,29.07,27.64,27.92,63700,27.74
2015-01-05,29.10,29.22,28.43,28.70,45700,28.52
2015-01-02,30.09,30.09,28.74,29.22,60400,29.03
2014-12-31,30.49,30.66,29.66,29.81,74800,29.62
2014-12-30,30.30,30.70,30.15,30.45,30600,30.26
2014-12-29,30.25,30.80,30.21,30.47,60400,30.28
2014-12-26,29.88,30.23,29.80,30.19,50200,30.00
2014-12-24,29.83,29.92,28.50,29.69,35600,29.50
2014-12-23,29.61,29.94,29.21,29.84,54800,29.65
2014-12-22,29.27,29.47,29.05,29.39,54000,29.20
2014-12-19,29.30,29.40,28.86,29.25,226600,29.06
2014-12-18,29.32,29.49,29.11,29.39,56900,29.20
