Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,22.69,22.82,22.21,22.40,308100,22.40
2015-02-12,22.37,22.93,22.22,22.67,548200,22.67
2015-02-11,22.08,22.43,21.88,22.30,464300,22.30
2015-02-10,22.30,22.34,21.81,22.16,402900,22.16
2015-02-09,22.18,22.48,22.04,22.15,268900,22.15
2015-02-06,23.01,23.17,22.16,22.20,264600,22.20
2015-02-05,23.00,23.29,22.79,23.07,255500,23.07
2015-02-04,23.19,23.23,22.84,22.93,231300,22.93
2015-02-03,22.67,23.36,22.57,23.35,809100,23.35
2015-02-02,22.92,22.96,21.97,22.48,602400,22.48
2015-01-30,23.39,23.67,22.71,22.96,455200,22.96
2015-01-29,23.19,23.59,23.01,23.54,372800,23.54
2015-01-28,23.30,23.37,22.92,23.21,323100,23.21
2015-01-27,23.15,23.38,23.05,23.27,221100,23.27
2015-01-26,22.99,23.33,22.93,23.20,192000,23.20
2015-01-23,22.99,23.31,22.91,22.97,198700,22.97
2015-01-22,22.53,22.92,22.45,22.91,676600,22.91
2015-01-21,22.58,22.91,22.29,22.44,499400,22.44
2015-01-20,23.07,23.15,22.42,22.69,204300,22.69
2015-01-16,22.82,23.23,22.40,23.13,251200,23.13
2015-01-15,22.83,22.89,22.45,22.80,407200,22.80
2015-01-14,21.96,22.87,21.82,22.76,231500,22.76
2015-01-13,22.20,22.42,21.55,22.09,333600,22.09
2015-01-12,21.94,22.93,21.80,22.05,253100,22.05
2015-01-09,21.88,22.04,21.80,21.87,290700,21.87
2015-01-08,22.04,22.09,21.76,21.95,188600,21.95
2015-01-07,21.36,22.00,21.14,21.94,375300,21.94
2015-01-06,21.41,21.74,20.80,21.20,1020700,21.20
2015-01-05,21.35,21.75,21.23,21.48,435200,21.48
2015-01-02,21.66,21.66,21.18,21.43,271300,21.43
2014-12-31,22.09,22.29,21.60,21.61,194700,21.61
2014-12-30,21.76,22.24,21.63,22.04,186500,22.04
2014-12-29,21.72,21.91,21.12,21.78,220000,21.78
2014-12-26,21.63,22.17,21.24,21.80,189100,21.69
2014-12-24,21.68,21.88,21.37,21.58,54000,21.47
2014-12-23,21.59,21.63,21.19,21.52,179400,21.41
2014-12-22,21.08,21.58,20.83,21.48,842500,21.37
2014-12-19,21.29,21.50,20.80,21.06,3087500,20.95
2014-12-18,21.43,22.46,20.45,21.39,646400,21.28
2014-12-17,20.51,21.44,20.32,21.19,615000,21.08
2014-12-16,20.39,20.86,20.39,20.57,794700,20.46
2014-12-15,20.54,20.78,20.34,20.57,535500,20.46
2014-12-12,20.23,20.98,20.23,20.40,431500,20.29
2014-12-11,20.26,20.53,20.10,20.42,306500,20.31
2014-12-10,20.53,21.01,20.03,20.24,297000,20.13
2014-12-09,20.34,20.53,19.98,20.51,292600,20.40
2014-12-08,20.16,20.34,19.85,20.12,736400,20.01
2014-12-05,20.49,20.49,20.01,20.30,306500,20.19
2014-12-04,19.90,20.41,19.75,20.27,569300,20.16
2014-12-03,20.59,20.60,20.03,20.13,654800,20.02
2014-12-02,20.42,20.88,20.42,20.50,519400,20.39
2014-12-01,21.05,21.13,20.07,20.35,376200,20.24
2014-11-28,20.79,21.07,20.47,20.86,339100,20.75
2014-11-26,20.09,20.69,20.02,20.59,486400,20.48
2014-11-25,19.95,20.18,19.77,20.00,481100,19.90
2014-11-24,19.79,19.99,19.70,19.98,712200,19.88
2014-11-21,19.88,19.95,19.75,19.85,283600,19.75
2014-11-20,19.88,19.95,19.64,19.86,577400,19.76
2014-11-19,19.50,19.90,19.50,19.78,1367100,19.68
2014-11-18,19.65,19.80,19.25,19.50,10252800,19.40
