Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,13.48,13.54,13.42,13.48,686600,13.48
2015-02-12,13.33,13.49,13.29,13.47,873700,13.47
2015-02-11,13.28,13.31,13.21,13.26,617700,13.26
2015-02-10,13.32,13.35,13.21,13.31,414800,13.31
2015-02-09,13.26,13.33,13.22,13.25,1050500,13.25
2015-02-06,13.22,13.43,13.22,13.37,1367000,13.37
2015-02-05,13.03,13.16,12.99,13.15,724900,13.15
2015-02-04,12.98,13.07,12.94,12.98,1714800,12.98
2015-02-03,12.91,13.03,12.89,13.00,2022000,13.00
2015-02-02,12.63,12.86,12.59,12.85,1090700,12.85
2015-01-30,12.58,12.79,12.54,12.61,1992800,12.61
2015-01-29,12.67,12.72,12.57,12.71,1638700,12.71
2015-01-28,12.97,13.03,12.67,12.68,1652500,12.59
2015-01-27,12.96,13.01,12.88,12.90,832800,12.81
2015-01-26,12.99,13.12,12.94,13.08,1411500,12.99
2015-01-23,13.04,13.10,12.95,12.97,1966800,12.88
2015-01-22,12.77,13.12,12.73,13.06,2153100,12.97
2015-01-21,12.73,12.82,12.67,12.69,1805200,12.60
2015-01-20,12.88,12.88,12.72,12.75,1057500,12.66
2015-01-16,12.54,12.84,12.54,12.84,1231700,12.75
2015-01-15,12.72,12.76,12.59,12.65,2170000,12.56
2015-01-14,12.87,12.87,12.54,12.73,2297400,12.64
2015-01-13,13.02,13.17,12.88,12.98,1704400,12.89
2015-01-12,13.00,13.00,12.89,12.96,1048800,12.87
2015-01-09,13.31,13.34,13.00,13.01,1072900,12.92
2015-01-08,13.16,13.31,13.15,13.31,2560200,13.22
2015-01-07,13.06,13.13,12.95,13.09,1620000,13.00
2015-01-06,13.14,13.19,12.91,12.95,1519900,12.86
2015-01-05,13.39,13.40,13.07,13.08,1366700,12.99
2015-01-02,13.53,13.55,13.30,13.47,1574200,13.37
2014-12-31,13.66,13.66,13.43,13.43,863400,13.33
2014-12-30,13.51,13.66,13.47,13.59,575600,13.49
2014-12-29,13.49,13.66,13.49,13.57,937100,13.47
2014-12-26,13.45,13.55,13.36,13.49,1324000,13.39
2014-12-24,13.41,13.47,13.35,13.43,377700,13.33
2014-12-23,13.30,13.49,13.28,13.42,991700,13.32
2014-12-22,13.12,13.30,13.06,13.28,1515200,13.19
2014-12-19,13.19,13.27,13.09,13.12,8850100,13.03
2014-12-18,13.26,13.26,13.09,13.21,10351300,13.12
2014-12-17,12.93,13.16,12.89,13.16,4073300,13.07
2014-12-16,12.93,13.06,12.87,12.89,2154700,12.80
2014-12-15,13.11,13.17,12.89,12.98,2915600,12.89
2014-12-12,13.14,13.24,13.05,13.06,3237100,12.97
2014-12-11,13.26,13.36,13.23,13.25,2122300,13.16
2014-12-10,13.47,13.50,13.19,13.19,2830200,13.10
2014-12-09,13.28,13.51,13.24,13.49,2774900,13.39
2014-12-08,13.45,13.60,13.39,13.41,3819400,13.31
2014-12-05,13.29,13.53,13.29,13.50,2845700,13.40
2014-12-04,13.28,13.31,13.16,13.26,2250700,13.17
2014-12-03,13.15,13.33,13.13,13.31,2572900,13.22
2014-12-02,13.06,13.18,13.06,13.15,4903900,13.06
2014-12-01,13.12,13.16,12.99,13.05,3103200,12.96
2014-11-28,13.27,13.30,13.16,13.17,949600,13.08
2014-11-26,13.25,13.27,13.17,13.27,1487000,13.18
2014-11-25,13.30,13.30,13.17,13.25,2209200,13.16
2014-11-24,13.14,13.31,13.12,13.30,2971300,13.21
2014-11-21,13.20,13.25,13.05,13.12,4386200,13.03
2014-11-20,13.12,13.20,13.07,13.19,2419700,13.10
2014-11-19,13.09,13.18,13.04,13.18,3914500,13.09
2014-11-18,13.04,13.15,13.04,13.10,3730000,13.01
2014-11-17,13.10,13.14,12.98,13.04,3800800,12.95
2014-11-14,13.05,13.17,13.03,13.15,8511600,13.06
2014-11-13,13.02,13.15,13.02,13.06,12034000,12.97
2014-11-12,13.05,13.24,13.01,13.12,25823000,13.03
2014-11-11,9.96,9.99,9.89,9.90,863600,9.83
2014-11-10,9.84,9.98,9.76,9.98,1048800,9.91
2014-11-07,9.76,9.85,9.71,9.83,649000,9.76
2014-11-06,9.71,9.80,9.66,9.78,817100,9.71
2014-11-05,9.77,9.80,9.64,9.72,1256900,9.65
2014-11-04,9.78,9.79,9.61,9.70,1571500,9.63
2014-11-03,9.79,9.94,9.76,9.78,1263000,9.71
2014-10-31,9.71,9.84,9.66,9.81,1271000,9.74
2014-10-30,9.60,9.68,9.49,9.62,1208200,9.55
2014-10-29,9.41,9.65,9.33,9.60,1344100,9.53
2014-10-28,9.24,9.40,9.17,9.40,2031300,9.33
2014-10-27,9.00,9.26,9.00,9.26,2369700,9.10
2014-10-24,9.37,9.51,9.13,9.18,2737200,9.03
2014-10-23,9.75,9.87,9.36,9.40,5207800,9.24
2014-10-22,10.23,10.31,10.08,10.09,1157600,9.92
2014-10-21,10.09,10.25,9.97,10.21,672100,10.04
2014-10-20,9.95,10.03,9.88,9.99,761200,9.82
