Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,58.33,58.33,57.50,58.14,504800,58.14
2015-02-12,58.52,58.62,57.32,57.39,486800,57.39
2015-02-11,57.30,58.70,56.57,57.79,863700,57.79
2015-02-10,56.48,57.74,55.42,57.74,268800,57.74
2015-02-09,57.36,57.75,55.91,56.00,358100,56.00
2015-02-06,56.90,57.60,56.85,56.96,380500,56.96
2015-02-05,56.63,56.92,56.03,56.50,641700,56.50
2015-02-04,56.13,56.53,55.02,56.01,408600,56.01
2015-02-03,56.71,57.61,56.17,57.32,1056700,57.32
2015-02-02,54.29,56.16,54.29,55.94,781200,55.94
2015-01-30,52.72,54.74,52.25,54.25,1075500,54.25
2015-01-29,54.30,59.24,52.31,53.20,1168400,53.20
2015-01-28,54.92,55.92,53.50,54.04,1457800,54.04
2015-01-27,55.77,56.56,55.23,55.34,93800,55.34
2015-01-26,54.95,54.95,54.95,54.95,000,54.95
2015-01-23,54.95,54.95,54.95,54.95,000,54.95
2015-01-22,54.99,56.00,53.75,54.95,1803700,54.95
2015-01-21,53.00,56.00,53.00,54.95,502100,54.95
2015-01-20,53.01,53.50,51.75,52.25,799700,52.25
2015-01-16,52.00,54.25,52.00,54.25,1222600,54.25
