Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,58.23,58.29,57.14,57.60,158100,57.60
2015-02-12,58.33,58.52,58.02,58.28,100500,58.28
2015-02-11,59.30,59.30,58.25,58.53,104300,58.16
2015-02-10,59.00,59.81,58.59,59.57,177300,59.20
2015-02-09,59.81,60.16,58.52,58.98,172000,58.61
2015-02-06,62.59,62.59,59.55,59.96,159600,59.59
2015-02-05,62.72,63.20,62.40,62.75,105300,62.36
2015-02-04,62.88,63.68,62.12,62.37,127100,61.98
2015-02-03,62.36,63.67,62.36,63.38,180800,62.98
2015-02-02,61.58,62.37,61.04,62.30,137600,61.91
2015-01-30,62.55,62.65,61.27,61.46,184800,61.08
2015-01-29,61.82,62.93,61.59,62.85,148700,62.46
2015-01-28,63.24,63.45,61.68,62.01,173000,61.62
2015-01-27,62.61,63.07,62.30,62.93,207700,62.54
2015-01-26,62.75,63.09,61.43,63.09,199800,62.70
2015-01-23,62.67,63.03,62.41,62.84,165000,62.45
2015-01-22,63.00,63.00,62.12,62.78,173300,62.39
2015-01-21,62.56,62.97,61.87,62.51,145600,62.12
2015-01-20,62.69,63.07,62.24,62.89,177600,62.50
2015-01-16,62.00,62.86,61.70,62.66,250400,62.27
2015-01-15,62.79,63.03,61.84,62.21,198000,61.82
2015-01-14,61.66,62.71,61.47,62.64,113500,62.25
2015-01-13,62.06,63.17,61.39,62.17,250300,61.78
2015-01-12,61.77,62.00,60.75,61.66,169600,61.28
2015-01-09,61.65,62.41,61.25,61.77,286400,61.38
2015-01-08,61.11,61.90,61.10,61.79,152800,61.40
2015-01-07,59.78,60.78,59.42,60.76,284400,60.38
2015-01-06,60.36,61.07,59.35,59.50,179600,59.13
2015-01-05,61.04,61.07,59.88,60.37,172200,59.99
2015-01-02,61.96,62.54,60.73,61.52,186300,61.14
2014-12-31,63.13,63.85,61.77,61.81,184600,61.42
2014-12-30,63.74,64.20,62.83,62.84,221900,62.45
2014-12-29,62.14,64.15,62.14,64.04,208200,63.64
2014-12-26,61.57,62.46,61.55,61.94,89000,61.55
2014-12-24,60.35,61.35,60.35,61.24,80200,60.86
2014-12-23,60.11,61.01,59.90,60.57,286300,60.19
2014-12-22,58.16,59.94,58.12,59.80,237900,59.43
2014-12-19,57.86,58.48,57.55,58.25,649800,57.89
2014-12-18,58.25,58.49,57.92,58.00,278200,57.64
2014-12-17,57.55,57.88,56.83,57.76,237400,57.40
2014-12-16,56.64,57.70,55.93,57.32,221300,56.96
2014-12-15,57.62,57.62,56.27,56.54,193800,56.19
2014-12-12,57.54,57.90,56.96,57.19,202400,56.83
2014-12-11,57.79,58.89,57.61,58.28,181800,57.92
2014-12-10,59.10,59.10,57.66,57.72,144200,57.36
2014-12-09,57.77,59.35,57.77,59.34,231200,58.97
2014-12-08,58.48,58.93,57.62,58.27,226100,57.91
2014-12-05,58.34,59.07,58.19,58.51,230400,58.15
2014-12-04,58.72,59.14,58.30,58.58,173600,58.21
2014-12-03,57.86,58.99,57.86,58.68,182600,58.31
2014-12-02,57.68,58.24,57.50,57.96,138700,57.60
2014-12-01,57.73,58.50,57.47,57.97,168800,57.61
2014-11-28,58.11,59.16,57.84,57.89,95400,57.53
2014-11-26,57.73,58.17,57.61,58.01,97600,57.65
2014-11-25,57.90,57.90,57.37,57.67,134700,57.31
2014-11-24,57.86,58.05,57.35,57.73,116400,57.37
2014-11-21,58.02,58.04,57.42,57.77,185200,57.41
2014-11-20,57.19,57.56,56.96,57.49,64300,57.13
2014-11-19,57.27,57.55,56.97,57.35,165800,56.99
2014-11-18,57.41,57.81,57.24,57.26,149500,56.90
2014-11-17,57.00,57.48,56.77,57.34,139000,56.98
2014-11-14,57.67,57.83,56.78,57.00,257200,56.64
2014-11-13,58.77,58.99,57.45,57.63,110300,57.27
2014-11-12,59.19,59.21,58.35,58.96,221800,58.23
2014-11-11,59.32,59.76,58.94,59.58,186900,58.84
2014-11-10,58.92,59.29,58.41,59.27,157500,58.54
2014-11-07,58.74,59.23,58.45,59.07,132100,58.34
2014-11-06,59.34,59.60,57.79,58.61,199100,57.88
2014-11-05,58.33,59.54,58.14,59.38,222100,58.64
2014-11-04,58.00,58.64,57.73,58.41,216400,57.69
2014-11-03,58.29,58.53,57.67,58.13,305000,57.41
2014-10-31,58.41,58.53,57.82,58.09,314900,57.37
2014-10-30,57.20,58.18,57.13,58.08,252200,57.36
2014-10-29,57.80,58.25,56.71,57.39,290600,56.68
2014-10-28,56.77,57.79,56.15,57.78,191300,57.06
2014-10-27,56.04,56.46,55.73,56.33,157600,55.63
2014-10-24,56.01,56.15,55.56,55.95,106600,55.26
2014-10-23,55.27,56.10,54.94,55.78,212700,55.09
2014-10-22,54.95,55.63,54.83,54.90,225300,54.22
2014-10-21,54.26,55.32,54.13,54.91,256600,54.23
2014-10-20,53.36,54.19,53.36,54.13,291200,53.46
2014-10-17,53.42,53.42,52.89,53.26,212800,52.60
2014-10-16,52.73,53.47,52.23,53.09,284100,52.43
2014-10-15,52.70,53.76,52.33,53.35,557300,52.69
2014-10-14,52.04,53.34,51.73,53.01,479700,52.35
2014-10-13,51.39,52.31,51.17,51.61,342300,50.97
2014-10-10,50.75,51.72,50.56,51.41,566200,50.77
2014-10-09,50.86,51.37,50.32,50.69,476600,50.06
2014-10-08,48.71,50.76,48.58,50.67,318700,50.04
2014-10-07,48.83,49.48,48.61,48.80,125100,48.20
2014-10-06,48.83,49.22,48.76,49.04,115700,48.43
2014-10-03,48.84,49.05,48.30,48.85,157700,48.24
2014-10-02,48.29,48.82,48.23,48.45,154100,47.85
