Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,11.26,11.34,11.26,11.31,29500,11.31
2015-02-12,11.25,11.31,11.24,11.31,58500,11.31
2015-02-11,11.23,11.26,11.21,11.25,13200,11.25
2015-02-10,11.23,11.29,11.20,11.28,39100,11.28
2015-02-09,11.24,11.29,11.23,11.23,59000,11.23
2015-02-06,11.20,11.26,11.17,11.17,61400,11.17
2015-02-05,11.25,11.26,11.21,11.22,71600,11.22
2015-02-04,11.21,11.29,11.20,11.20,71100,11.20
2015-02-03,11.14,11.21,11.14,11.16,83600,11.16
2015-02-02,11.10,11.17,11.07,11.14,38900,11.14
2015-01-30,11.05,11.16,11.03,11.06,43100,11.06
2015-01-29,11.21,11.25,11.12,11.17,68600,11.17
2015-01-28,11.38,11.39,11.10,11.10,81700,11.10
2015-01-27,11.44,11.47,11.38,11.38,102600,11.38
2015-01-26,11.39,11.47,11.38,11.44,56700,11.44
2015-01-23,11.53,11.55,11.41,11.41,75600,11.41
2015-01-22,11.42,11.55,11.35,11.52,131300,11.52
2015-01-21,11.48,11.55,11.42,11.48,73700,11.48
2015-01-20,11.41,11.56,11.39,11.49,196200,11.49
2015-01-16,11.40,11.51,11.30,11.36,204500,11.36
2015-01-15,11.53,11.68,11.28,11.53,348800,11.53
2015-01-14,11.13,11.19,11.13,11.17,22000,11.17
2015-01-13,11.17,11.22,11.15,11.16,19100,11.16
2015-01-12,11.18,11.18,11.09,11.10,21000,11.10
2015-01-09,11.02,11.14,11.02,11.10,27200,11.10
2015-01-08,11.03,11.03,10.96,11.01,85300,11.01
2015-01-07,10.94,10.97,10.92,10.95,43600,10.95
2015-01-06,10.96,11.03,10.92,10.93,33200,10.93
2015-01-05,11.09,11.10,10.91,10.96,101300,10.96
2015-01-02,11.13,11.17,11.10,11.16,25600,11.16
2014-12-31,11.13,11.19,11.13,11.14,24800,11.14
2014-12-30,11.27,11.27,11.14,11.17,33700,11.17
2014-12-29,11.35,11.35,11.26,11.28,40000,11.28
2014-12-26,11.43,11.43,11.32,11.36,39900,11.36
2014-12-24,11.36,11.40,11.32,11.37,13600,11.37
2014-12-23,11.34,11.38,11.27,11.28,57600,11.28
2014-12-22,11.40,11.42,11.32,11.34,30600,11.34
2014-12-19,11.33,11.37,11.29,11.31,61600,11.31
2014-12-18,11.48,11.49,11.36,11.39,102100,11.39
