Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,12.81,12.81,12.60,12.66,76700,12.66
2015-02-12,12.35,12.74,12.17,12.68,95000,12.68
2015-02-11,12.06,12.35,12.06,12.20,71400,12.20
2015-02-10,12.46,12.47,12.02,12.12,86200,12.12
2015-02-09,12.15,12.50,12.15,12.33,66200,12.33
2015-02-06,12.28,12.41,12.10,12.11,57300,12.11
2015-02-05,12.38,12.41,12.19,12.30,136800,12.30
2015-02-04,12.73,13.01,12.55,12.78,127100,12.38
2015-02-03,12.60,12.96,12.52,12.82,182900,12.42
2015-02-02,12.93,12.95,12.40,12.46,153200,12.07
2015-01-30,12.27,12.98,12.27,12.80,201800,12.40
2015-01-29,12.62,12.96,12.24,12.31,211100,11.92
2015-01-28,12.48,12.61,12.21,12.26,76700,11.88
2015-01-27,12.34,12.63,12.29,12.50,52400,12.11
2015-01-26,12.18,12.51,12.15,12.38,88600,11.99
2015-01-23,12.53,12.65,12.05,12.12,117700,11.74
2015-01-22,13.00,13.13,12.42,12.44,304900,12.05
2015-01-21,12.85,13.35,12.64,12.92,254000,12.52
2015-01-20,13.35,13.35,12.50,12.79,274200,12.39
2015-01-16,12.54,13.47,12.43,13.25,301000,12.84
2015-01-15,12.15,12.63,11.76,12.43,276500,12.04
2015-01-14,12.34,12.61,11.98,11.98,386700,11.61
2015-01-13,13.19,13.36,12.34,12.38,247000,11.99
2015-01-12,12.85,12.85,12.05,12.24,347200,11.86
2015-01-09,12.84,12.94,12.00,12.68,291600,12.28
2015-01-08,12.45,12.96,12.16,12.71,276000,12.31
2015-01-07,13.35,13.41,12.21,12.41,292300,12.02
2015-01-06,14.70,14.89,13.01,13.27,208000,12.85
2015-01-05,16.00,16.20,14.69,14.77,115900,14.31
2015-01-02,15.94,16.35,15.64,16.18,25800,15.67
2014-12-31,15.02,16.50,14.85,15.90,293300,15.40
2014-12-30,14.05,15.54,14.01,15.38,267200,14.90
2014-12-29,15.13,15.13,13.99,14.19,93500,13.75
2014-12-26,14.57,15.16,14.50,14.98,41000,14.51
2014-12-24,14.27,14.97,14.24,14.64,71800,14.18
2014-12-23,14.60,15.27,13.98,14.34,106700,13.89
2014-12-22,15.33,15.69,14.09,14.46,173400,14.01
2014-12-19,15.95,16.29,15.27,15.28,77400,14.80
2014-12-18,15.78,16.31,15.43,16.02,77000,15.52
2014-12-17,14.94,16.32,14.91,15.62,126100,15.13
2014-12-16,15.23,15.28,14.49,14.98,138700,14.51
2014-12-15,14.44,15.12,14.06,15.04,123200,14.57
2014-12-12,14.10,14.52,13.27,14.50,209000,14.05
2014-12-11,13.00,14.50,13.00,14.04,159300,13.60
2014-12-10,13.00,13.20,12.16,12.99,162500,12.58
2014-12-09,11.63,13.91,11.22,13.17,279700,12.76
2014-12-08,14.37,14.93,12.12,12.46,139700,12.07
2014-12-05,14.00,15.00,14.00,14.30,69800,13.85
2014-12-04,14.69,14.72,14.00,14.06,118400,13.62
2014-12-03,15.34,15.71,14.48,14.74,150300,14.28
2014-12-02,15.00,15.69,14.51,15.43,152300,14.95
2014-12-01,17.22,17.22,14.03,14.95,299800,14.48
2014-11-28,18.58,18.58,17.22,17.44,79000,16.89
2014-11-26,18.81,18.81,18.63,18.74,18900,18.15
2014-11-25,18.94,19.22,18.85,18.91,39200,18.32
2014-11-24,19.09,19.19,18.86,19.01,23400,18.42
2014-11-21,19.00,19.01,18.33,19.00,41400,18.41
2014-11-20,18.67,18.99,18.29,18.87,319800,18.28
