Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,32.50,32.81,32.12,32.71,16300,32.71
2015-02-12,32.34,32.60,32.22,32.50,10000,32.50
2015-02-11,32.08,32.31,31.65,32.03,13400,32.03
2015-02-10,32.26,32.38,31.79,32.12,12100,32.12
2015-02-09,32.75,32.80,31.91,32.03,39700,32.03
2015-02-06,32.18,33.16,32.17,32.86,45400,32.86
2015-02-05,31.56,32.25,31.38,32.17,29700,32.17
2015-02-04,31.76,32.00,31.23,31.49,74600,31.49
2015-02-03,31.26,32.00,31.26,31.74,29400,31.74
2015-02-02,30.91,31.38,30.19,31.27,38300,31.27
2015-01-30,31.20,31.72,30.56,30.80,27900,30.80
2015-01-29,30.71,31.55,30.71,31.54,32100,31.54
2015-01-28,30.81,31.67,30.35,30.47,17700,30.47
2015-01-27,31.57,32.34,31.42,31.43,17300,31.43
2015-01-26,31.99,32.79,31.43,32.35,19800,32.35
2015-01-23,32.18,33.09,30.76,31.90,26500,31.90
2015-01-22,31.08,32.34,30.40,32.27,86500,32.27
2015-01-21,31.11,31.68,30.41,30.67,32700,30.67
2015-01-20,31.73,31.74,31.07,31.26,30600,31.26
2015-01-16,30.93,31.78,30.93,31.71,19000,31.71
2015-01-15,31.62,31.81,30.88,31.05,15000,31.05
2015-01-14,32.44,32.44,31.22,31.73,8100,31.73
2015-01-13,31.55,32.38,31.27,31.94,22600,31.94
2015-01-12,31.66,31.66,31.14,31.16,32800,31.16
2015-01-09,32.59,32.59,31.39,31.67,11100,31.67
2015-01-08,32.04,32.85,32.01,32.58,10600,32.58
2015-01-07,31.78,32.01,31.30,31.95,16200,31.95
2015-01-06,32.21,32.29,31.29,31.50,17600,31.50
2015-01-05,32.79,32.86,32.17,32.22,18200,32.22
2015-01-02,33.62,33.72,32.56,32.86,19000,32.86
2014-12-31,34.23,34.63,33.29,33.34,40500,33.34
2014-12-30,34.01,34.49,33.87,33.95,21000,33.95
2014-12-29,33.69,34.47,33.69,34.16,6000,34.16
2014-12-26,33.31,33.75,33.26,33.58,13400,33.58
2014-12-24,33.39,33.49,33.03,33.25,5800,33.25
2014-12-23,32.88,33.90,32.88,33.26,19700,33.26
2014-12-22,33.09,33.68,32.83,33.00,33700,33.00
2014-12-19,33.06,33.47,32.58,33.17,90600,33.17
2014-12-18,33.14,33.55,32.50,33.24,31200,33.24
2014-12-17,31.42,32.98,31.37,32.96,30300,32.96
2014-12-16,31.44,32.26,31.44,31.65,20400,31.65
2014-12-15,31.70,31.95,31.59,31.59,15800,31.59
2014-12-12,31.71,32.77,31.53,31.63,14500,31.63
2014-12-11,32.17,32.93,31.53,32.13,16000,32.13
2014-12-10,32.87,33.37,32.03,32.10,31000,31.87
2014-12-09,32.09,33.11,31.36,33.09,30400,32.85
2014-12-08,32.49,33.31,31.98,32.06,13300,31.83
2014-12-05,31.70,33.10,31.70,32.51,39700,32.28
2014-12-04,31.63,32.15,31.49,31.70,12200,31.47
2014-12-03,31.69,31.92,31.46,31.79,18600,31.56
2014-12-02,31.06,32.01,31.06,31.77,18800,31.54
2014-12-01,31.36,31.36,30.56,30.56,28900,30.34
2014-11-28,31.88,32.05,31.26,31.29,13500,31.07
2014-11-26,32.00,32.10,31.91,32.10,11200,31.87
2014-11-25,32.23,32.23,31.97,32.05,5700,31.82
2014-11-24,31.45,32.24,31.45,32.24,28200,32.01
2014-11-21,31.99,31.99,31.25,31.35,22800,31.13
2014-11-20,31.32,31.86,31.30,31.63,11000,31.40
2014-11-19,31.95,31.99,31.30,31.48,32100,31.25
2014-11-18,32.04,32.42,32.00,32.27,41700,32.04
2014-11-17,32.70,32.76,31.86,31.92,22600,31.69
