Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,74.67,75.93,74.25,74.67,2070100,74.67
2015-02-12,79.30,80.21,79.13,79.88,658900,79.88
2015-02-11,79.83,80.20,78.83,79.29,468000,79.29
2015-02-10,80.14,80.45,79.21,79.61,728700,79.61
2015-02-09,80.81,81.18,79.90,79.92,295200,79.92
2015-02-06,83.24,83.25,80.46,80.81,288100,80.81
2015-02-05,82.17,83.53,81.98,83.50,308300,83.50
2015-02-04,82.05,82.43,81.38,82.16,303700,82.16
2015-02-03,81.36,82.55,80.94,82.50,451300,82.50
2015-02-02,81.50,81.51,79.83,81.28,490700,81.28
2015-01-30,83.51,83.51,81.88,81.95,464700,81.95
2015-01-29,83.46,83.73,82.66,83.53,316500,83.53
2015-01-28,84.36,85.08,83.17,83.35,558700,83.35
2015-01-27,84.04,84.76,83.72,83.77,414900,83.77
2015-01-26,83.73,84.44,83.10,84.29,551300,84.29
2015-01-23,84.78,85.26,83.45,83.80,369000,83.80
2015-01-22,83.65,84.81,83.18,84.70,438300,84.70
2015-01-21,83.10,83.42,82.44,83.22,204200,83.22
2015-01-20,83.97,84.14,82.66,83.18,398200,83.18
2015-01-16,83.24,84.05,82.77,83.91,307100,83.91
2015-01-15,83.49,83.87,82.66,83.18,353100,83.18
2015-01-14,82.08,83.66,81.58,83.42,457800,83.42
2015-01-13,82.66,83.34,81.81,82.39,281900,82.39
2015-01-12,82.17,83.12,82.17,82.62,375000,82.62
2015-01-09,82.12,82.95,81.72,82.30,366300,82.30
2015-01-08,81.59,82.70,81.25,82.23,554200,82.23
2015-01-07,79.76,81.72,78.96,81.53,472200,81.53
2015-01-06,78.35,79.46,78.28,79.43,583600,79.43
2015-01-05,77.69,78.53,77.15,78.28,512500,78.28
2015-01-02,76.60,77.96,76.43,77.92,436700,77.92
2014-12-31,77.62,78.31,76.34,76.42,450400,76.42
2014-12-30,76.92,77.98,76.91,77.39,357600,77.39
2014-12-29,75.97,77.17,75.91,77.13,391500,77.13
2014-12-26,75.85,76.43,75.47,75.94,167200,75.94
2014-12-24,76.11,76.76,75.65,75.81,115700,75.81
2014-12-23,76.47,76.72,76.00,76.18,334600,76.18
2014-12-22,74.74,76.44,74.73,76.42,427800,76.42
2014-12-19,75.12,75.75,74.61,74.75,712200,74.75
2014-12-18,74.46,75.36,74.38,75.29,603200,75.29
2014-12-17,73.54,74.17,72.90,74.08,477200,74.08
2014-12-16,73.02,73.54,72.36,73.08,712300,73.08
2014-12-15,74.59,74.59,72.56,73.24,646500,73.24
2014-12-12,74.33,74.92,74.15,74.24,600700,74.24
2014-12-11,75.40,75.92,74.10,74.58,774300,74.58
2014-12-10,79.66,79.94,79.14,79.40,671400,74.11
2014-12-09,79.55,80.25,79.47,79.73,466900,74.42
2014-12-08,79.60,80.53,79.50,80.06,740800,74.73
2014-12-05,79.25,79.60,78.63,79.30,384700,74.02
2014-12-04,80.11,80.20,79.12,79.51,487000,74.21
2014-12-03,80.27,80.82,79.64,80.04,443500,74.71
2014-12-02,79.21,80.35,78.43,79.97,600600,74.64
2014-12-01,79.05,79.63,78.67,78.67,301900,73.43
2014-11-28,79.39,80.36,79.27,79.49,220800,74.19
2014-11-26,78.94,79.47,78.85,79.12,292700,73.85
2014-11-25,78.80,79.31,78.63,79.00,444200,73.74
2014-11-24,77.94,78.73,77.61,78.60,260000,73.36
2014-11-21,78.01,78.32,77.54,77.61,447000,72.44
2014-11-20,78.55,78.65,77.38,77.43,536700,72.27
2014-11-19,77.94,79.33,77.29,78.55,1049400,73.32
2014-11-18,76.25,76.91,75.76,76.30,325100,71.22
2014-11-17,75.67,76.39,75.60,76.04,280500,70.97
2014-11-14,76.18,76.61,75.50,75.66,325000,70.62
2014-11-13,76.53,76.97,75.99,76.13,295700,71.06
2014-11-12,76.97,77.55,76.22,76.32,216100,71.24
2014-11-11,77.66,77.94,76.68,77.15,246700,72.01
2014-11-10,76.38,77.63,76.17,77.59,213400,72.42
2014-11-07,76.93,77.02,76.24,76.45,338300,71.36
2014-11-06,77.53,77.67,76.65,76.79,286600,71.67
2014-11-05,77.81,78.15,76.98,77.42,245500,72.26
2014-11-04,77.36,77.85,77.00,77.73,251200,72.55
2014-11-03,76.27,77.39,76.05,77.38,743000,72.22
2014-10-31,78.18,78.44,75.83,76.05,800400,70.98
2014-10-30,76.97,77.33,76.55,77.33,317300,72.18
2014-10-29,77.28,77.67,76.69,77.13,319700,71.99
2014-10-28,77.50,77.71,77.06,77.44,285700,72.28
2014-10-27,76.83,77.44,76.65,77.40,219600,72.24
2014-10-24,76.49,76.95,76.27,76.85,196900,71.73
2014-10-23,76.76,76.80,76.24,76.50,522500,71.40
2014-10-22,76.32,76.90,75.96,76.17,249600,71.10
2014-10-21,75.81,76.37,75.41,76.16,360600,71.09
2014-10-20,74.10,75.55,73.91,75.52,355200,70.49
2014-10-17,75.97,75.97,73.53,74.09,328400,69.15
2014-10-16,73.43,74.48,72.58,74.17,484900,69.23
2014-10-15,74.79,75.29,73.54,73.94,752500,69.01
2014-10-14,74.33,75.67,74.09,74.92,294100,69.93
2014-10-13,74.23,75.09,73.91,73.97,289900,69.04
2014-10-10,74.62,75.33,74.16,74.18,392600,69.24
2014-10-09,74.51,75.32,74.03,74.47,344100,69.51
2014-10-08,72.99,74.55,72.66,74.52,336800,69.56
2014-10-07,73.21,73.43,72.76,72.80,261900,67.95
2014-10-06,73.29,73.68,73.08,73.44,206700,68.55
2014-10-03,73.41,73.44,72.56,73.09,279700,68.22
2014-10-02,72.59,73.18,72.19,73.00,301100,68.14
2014-10-01,72.82,73.34,72.66,72.75,532200,67.90
2014-09-30,73.31,73.34,72.59,73.00,363900,68.14
2014-09-29,72.80,73.39,72.42,73.39,246800,68.50
2014-09-26,72.21,73.34,71.95,73.27,264500,68.39
2014-09-25,72.92,73.17,72.24,72.27,294600,67.46
2014-09-24,73.15,74.19,72.65,72.94,412400,68.08
2014-09-23,73.70,74.31,73.20,73.21,426300,68.33
2014-09-22,74.36,74.70,73.78,73.98,297800,69.05
2014-09-19,74.64,75.16,74.46,74.54,559500,69.57
2014-09-18,74.71,74.86,73.97,74.57,624700,69.60
2014-09-17,74.74,75.21,74.18,74.71,572300,69.73
2014-09-16,73.29,74.49,73.06,74.45,594100,69.49
2014-09-15,73.04,73.61,72.84,73.18,442200,68.30
2014-09-12,74.94,75.22,72.34,72.88,452700,68.02
2014-09-11,75.28,75.66,74.90,75.13,270100,70.12
2014-09-10,75.83,76.44,75.66,75.83,486900,70.27
2014-09-09,76.40,76.78,75.91,76.40,228500,70.80
2014-09-08,76.49,77.12,76.44,76.62,281000,71.01
2014-09-05,75.96,76.84,75.66,76.79,260900,71.16
2014-09-04,76.13,76.54,75.74,76.05,216100,70.48
2014-09-03,76.17,76.71,76.16,76.26,283400,70.67
2014-09-02,76.19,76.70,75.83,76.08,358700,70.51
2014-08-29,76.16,76.32,75.80,76.17,186300,70.59
2014-08-28,76.10,76.31,75.73,75.90,163400,70.34
2014-08-27,75.79,76.25,75.61,76.15,199400,70.57
2014-08-26,75.69,75.93,75.24,75.61,185700,70.07
2014-08-25,75.47,75.78,75.15,75.51,194800,69.98
2014-08-22,76.57,76.57,75.38,75.40,202500,69.88
2014-08-21,76.33,76.73,76.30,76.44,279200,70.84
2014-08-20,75.65,76.49,75.29,76.33,286700,70.74
2014-08-19,75.38,75.91,75.10,75.88,330100,70.32
2014-08-18,74.93,75.37,74.66,75.37,275600,69.85
2014-08-15,75.22,75.43,74.39,74.59,298300,69.12
2014-08-14,74.98,75.16,74.41,74.65,195600,69.18
2014-08-13,73.93,74.84,73.93,74.83,405800,69.35
2014-08-12,73.54,73.98,73.46,73.76,237700,68.36
2014-08-11,73.10,73.91,72.86,73.71,194900,68.31
2014-08-08,73.00,73.61,72.65,72.91,290900,67.57
2014-08-07,73.00,73.18,72.71,73.01,327900,67.66
2014-08-06,72.82,73.03,72.67,72.73,434800,67.40
2014-08-05,73.28,73.78,72.90,73.14,564000,67.78
2014-08-04,73.46,73.83,72.83,73.66,294600,68.26
2014-08-01,73.45,74.20,73.06,73.19,895400,67.83
2014-07-31,75.45,75.90,73.46,73.56,655600,68.17
2014-07-30,75.76,76.25,75.25,75.65,427300,70.11
2014-07-29,76.46,76.68,75.78,75.78,326700,70.23
2014-07-28,75.97,76.75,75.61,76.41,332600,70.81
2014-07-25,76.26,76.71,75.68,75.81,484300,70.26
2014-07-24,76.66,77.17,76.03,76.46,397400,70.86
2014-07-23,76.83,77.40,76.54,76.68,360100,71.06
2014-07-22,76.97,77.06,76.53,76.71,318500,71.09
2014-07-21,76.86,76.86,76.25,76.43,252700,70.83
2014-07-18,76.44,77.15,76.36,76.98,256200,71.34
2014-07-17,76.60,76.85,76.07,76.15,253600,70.57
2014-07-16,76.96,77.26,76.23,76.73,315800,71.11
2014-07-15,76.82,77.09,76.42,76.89,430300,71.26
2014-07-14,76.69,77.12,76.40,76.68,226600,71.06
2014-07-11,76.56,76.72,76.22,76.54,163400,70.93
2014-07-10,76.16,77.11,76.15,76.44,241400,70.84
2014-07-09,76.67,76.82,75.68,76.54,210900,70.93
2014-07-08,76.20,76.83,76.20,76.63,384500,71.02
2014-07-07,76.16,76.52,75.77,76.28,257300,70.69
2014-07-03,76.61,76.61,75.77,76.24,243300,70.65
2014-07-02,76.58,76.68,75.86,76.60,446400,70.99
2014-07-01,75.63,76.83,75.26,76.58,622400,70.97
2014-06-30,75.62,75.97,74.92,75.81,511400,70.26
2014-06-27,74.64,75.62,74.41,75.41,942800,69.88
2014-06-26,75.23,75.23,74.39,74.64,322800,69.17
2014-06-25,74.87,75.36,74.78,75.16,441700,69.65
2014-06-24,74.82,75.21,74.41,74.91,944600,69.42
2014-06-23,75.40,75.50,74.80,74.88,258300,69.39
2014-06-20,75.48,75.90,74.69,75.09,671200,69.59
2014-06-19,75.44,75.85,75.24,75.66,465900,70.12
2014-06-18,73.92,76.14,73.46,75.51,865100,69.98
2014-06-17,73.36,73.97,73.01,73.68,330500,68.28
2014-06-16,73.11,73.91,72.96,73.36,237600,67.98
2014-06-13,73.77,73.78,72.91,73.48,229000,68.10
2014-06-12,73.40,73.90,72.98,73.72,296600,68.32
2014-06-11,73.98,74.36,73.49,74.07,343200,68.14
2014-06-10,75.14,75.14,73.88,74.37,343200,68.42
2014-06-09,76.15,76.40,74.73,75.20,282900,69.18
2014-06-06,77.04,77.04,75.80,76.17,287300,70.07
2014-06-05,75.45,76.88,75.24,76.80,323200,70.65
2014-06-04,75.30,75.52,74.87,75.38,199400,69.35
2014-06-03,75.11,75.54,74.86,75.31,130500,69.28
2014-06-02,74.91,75.42,74.64,75.31,254700,69.28
2014-05-30,74.39,75.15,74.08,74.90,493900,68.91
2014-05-29,74.72,74.72,73.95,74.46,176800,68.50
2014-05-28,74.67,74.98,73.89,74.59,455900,68.62
2014-05-27,74.31,75.12,74.31,74.93,464800,68.93
2014-05-23,73.87,74.30,73.34,74.11,135600,68.18
2014-05-22,73.94,74.20,73.28,73.67,238000,67.77
2014-05-21,73.94,74.14,73.56,73.97,283100,68.05
2014-05-20,73.97,74.28,73.56,73.80,308600,67.89
2014-05-19,74.49,74.49,73.66,73.90,199800,67.99
2014-05-16,73.67,74.53,73.40,74.53,218700,68.57
2014-05-15,73.89,74.23,73.01,73.78,292000,67.88
2014-05-14,74.06,74.41,73.75,73.99,212300,68.07
2014-05-13,74.74,75.33,73.85,74.02,490300,68.10
2014-05-12,74.08,74.72,73.99,74.56,289600,68.59
2014-05-09,74.16,74.21,73.26,73.78,258400,67.88
2014-05-08,74.01,74.58,73.83,74.19,240700,68.25
2014-05-07,72.80,73.98,72.80,73.90,339800,67.99
2014-05-06,72.90,72.95,72.34,72.79,223100,66.96
2014-05-05,72.46,73.40,72.46,73.26,193300,67.40
2014-05-02,72.60,73.28,72.21,72.79,373400,66.96
2014-05-01,72.85,73.22,71.84,72.80,441700,66.97
2014-04-30,72.41,73.01,72.26,72.84,322100,67.01
2014-04-29,73.26,73.38,72.35,72.64,232000,66.83
2014-04-28,72.20,73.06,71.86,73.04,230500,67.19
2014-04-25,72.46,73.60,70.99,71.93,456300,66.17
2014-04-24,72.46,73.03,71.94,72.96,308600,67.12
2014-04-23,72.45,72.55,71.66,72.17,453100,66.39
2014-04-22,72.50,72.80,71.54,72.56,245100,66.75
2014-04-21,72.01,72.45,71.73,72.43,278300,66.63
2014-04-17,72.43,72.51,71.38,72.05,380800,66.28
2014-04-16,72.75,72.95,72.13,72.74,451300,66.92
2014-04-15,72.05,72.89,71.68,72.64,625000,66.83
2014-04-14,71.93,72.15,71.27,72.02,421600,66.26
2014-04-11,71.28,71.80,70.90,71.54,501500,65.81
2014-04-10,71.43,71.87,71.24,71.44,457300,65.72
2014-04-09,71.35,71.67,70.85,71.42,267900,65.70
2014-04-08,70.87,71.38,70.30,71.30,193200,65.59
2014-04-07,70.48,71.55,70.31,70.88,278600,65.21
2014-04-04,70.76,70.99,70.26,70.75,327500,65.09
2014-04-03,70.83,70.83,69.90,70.40,230900,64.77
2014-04-02,70.99,71.23,70.29,70.78,425300,65.12
2014-04-01,70.76,71.04,69.99,70.98,380100,65.30
2014-03-31,70.33,70.96,69.50,70.79,445600,65.12
2014-03-28,69.45,70.29,69.45,70.04,406200,64.43
2014-03-27,68.50,69.63,68.04,69.26,408500,63.72
2014-03-26,69.93,69.93,68.42,68.50,623200,63.02
2014-03-25,69.55,69.96,69.37,69.85,366000,64.26
2014-03-24,69.44,69.60,68.60,69.20,274400,63.66
2014-03-21,68.81,69.98,68.81,69.28,639600,63.74
2014-03-20,68.72,68.79,67.48,68.69,975600,63.19
2014-03-19,69.67,70.04,68.70,68.88,480800,63.37
2014-03-18,69.45,69.66,69.18,69.66,274100,64.09
2014-03-17,69.50,69.94,69.03,69.50,313100,63.94
2014-03-14,69.00,69.45,68.94,69.12,217000,63.59
2014-03-13,69.37,69.50,68.76,68.89,432700,63.38
2014-03-12,69.29,69.95,69.26,69.75,503800,63.67
2014-03-11,69.20,69.95,69.20,69.76,337800,63.68
2014-03-10,69.06,69.66,68.74,69.07,310900,63.05
2014-03-07,69.84,69.84,68.80,69.15,485900,63.12
2014-03-06,70.53,70.70,69.67,69.82,813000,63.74
2014-03-05,70.73,71.19,69.90,70.55,277300,64.40
2014-03-04,70.76,71.48,70.46,70.86,515700,64.68
2014-03-03,70.21,70.65,69.57,70.36,388900,64.23
2014-02-28,70.06,70.75,69.81,70.45,560800,64.31
2014-02-27,69.99,70.21,69.18,70.18,497000,64.06
2014-02-26,70.81,71.01,69.79,69.87,654300,63.78
2014-02-25,71.16,71.36,70.51,70.66,435700,64.50
2014-02-24,71.04,72.11,71.01,71.02,725700,64.83
2014-02-21,70.74,71.53,70.37,70.88,680700,64.70
2014-02-20,70.95,71.42,70.02,70.65,500200,64.49
2014-02-19,70.32,71.26,70.32,70.70,554400,64.54
2014-02-18,69.53,70.55,69.27,70.52,543600,64.37
2014-02-14,68.87,69.99,68.87,69.50,558700,63.44
2014-02-13,69.05,69.60,68.12,68.86,742800,62.86
2014-02-12,68.97,69.50,68.96,69.24,559100,63.21
2014-02-11,68.44,69.48,68.26,69.06,626600,63.04
2014-02-10,67.92,68.70,67.63,68.57,679500,62.59
2014-02-07,68.01,69.16,67.66,67.88,678900,61.96
2014-02-06,66.67,68.04,66.53,67.79,793600,61.88
2014-02-05,65.24,66.40,65.02,66.38,820200,60.59
2014-02-04,64.20,65.38,63.85,65.30,674000,59.61
2014-02-03,64.92,65.00,63.60,64.00,760400,58.42
2014-01-31,63.57,65.92,61.78,65.02,959500,59.35
2014-01-30,63.98,64.37,63.49,64.10,954300,58.51
2014-01-29,62.96,64.33,62.94,63.34,586700,57.82
2014-01-28,64.08,64.14,63.64,63.64,535700,58.09
2014-01-27,64.60,64.99,63.82,63.90,587000,58.33
2014-01-24,66.58,66.58,64.70,64.77,753300,59.13
2014-01-23,66.59,66.96,66.18,66.57,922800,60.77
2014-01-22,65.99,66.59,65.77,66.55,485500,60.75
2014-01-21,65.52,66.24,65.31,65.91,602300,60.17
2014-01-17,66.19,66.40,65.45,65.47,1069400,59.76
2014-01-16,66.15,66.51,65.92,66.47,275100,60.68
2014-01-15,66.25,66.70,66.07,66.35,487500,60.57
2014-01-14,65.75,66.42,65.55,66.37,412100,60.59
2014-01-13,65.60,65.94,65.30,65.77,649300,60.04
2014-01-10,64.72,65.84,63.66,65.84,538100,60.10
2014-01-09,65.10,65.11,63.71,64.42,426000,58.81
2014-01-08,64.98,65.32,64.34,64.88,408600,59.23
2014-01-07,64.92,66.09,64.67,65.25,529500,59.56
2014-01-06,64.54,65.04,64.09,64.84,527300,59.19
2014-01-03,64.43,64.81,64.14,64.33,354700,58.72
2014-01-02,63.97,64.51,63.55,64.33,315100,58.72
2013-12-31,64.56,64.88,63.80,63.92,329900,58.35
2013-12-30,64.38,64.95,64.12,64.44,340900,58.82
2013-12-27,64.00,64.23,63.55,64.10,295200,58.51
2013-12-26,64.42,64.89,63.98,64.14,256300,58.55
2013-12-24,63.85,64.28,63.65,64.11,132100,58.52
2013-12-23,63.94,64.13,63.59,63.86,408900,58.29
2013-12-20,61.43,63.89,61.43,63.65,672900,58.10
2013-12-19,64.39,64.92,62.30,63.75,882200,58.19
2013-12-18,65.05,66.04,63.77,65.98,760200,60.23
2013-12-17,64.76,65.33,64.53,65.30,470000,59.61
2013-12-16,65.49,65.49,64.15,64.91,500200,59.25
2013-12-13,64.92,65.60,64.55,64.98,500400,59.32
2013-12-12,64.22,64.92,64.09,64.56,659300,58.93
2013-12-11,66.79,66.96,64.73,64.82,540300,58.71
2013-12-10,66.96,67.81,66.90,67.01,565600,60.70
2013-12-09,66.57,67.29,66.04,67.05,604100,60.73
2013-12-06,66.82,67.30,66.19,66.43,456800,60.17
2013-12-05,65.30,66.38,64.95,66.34,786300,60.09
2013-12-04,64.81,65.96,64.49,65.37,662400,59.21
2013-12-03,64.83,65.51,64.23,65.25,638400,59.10
2013-12-02,65.39,65.90,64.50,65.04,368800,58.91
2013-11-29,66.77,66.98,65.33,65.38,202200,59.22
2013-11-27,66.40,67.09,66.15,66.80,532100,60.51
2013-11-26,65.88,66.72,65.77,66.60,1008600,60.33
2013-11-25,65.83,65.97,65.33,65.87,303600,59.67
2013-11-22,66.57,66.58,65.52,65.73,251200,59.54
2013-11-21,66.91,67.02,66.35,66.72,394000,60.44
2013-11-20,67.01,67.91,66.54,67.02,729800,60.71
2013-11-19,67.05,67.28,66.47,67.05,678300,60.73
2013-11-18,67.00,67.51,66.71,67.12,338400,60.80
2013-11-15,66.80,67.55,66.39,67.06,529400,60.74
2013-11-14,66.35,67.07,66.35,66.60,457900,60.33
2013-11-13,65.28,66.31,65.04,66.12,276800,59.89
2013-11-12,65.75,65.92,65.32,65.65,757700,59.47
2013-11-11,65.26,66.29,65.09,65.92,578500,59.71
2013-11-08,64.91,65.36,63.80,65.32,674100,59.17
2013-11-07,64.82,65.37,64.33,65.21,748500,59.07
2013-11-06,64.29,64.88,64.06,64.85,546300,58.74
2013-11-05,64.56,64.96,63.94,64.00,725900,57.97
2013-11-04,65.29,65.95,64.49,65.01,424900,58.89
2013-11-01,65.07,65.67,64.77,65.29,608400,59.14
2013-10-31,65.87,66.12,65.23,65.79,602600,59.59
2013-10-30,66.69,67.03,65.43,65.73,650600,59.54
2013-10-29,67.61,67.82,66.50,66.73,760600,60.44
2013-10-28,67.77,67.86,66.87,67.76,517000,61.38
2013-10-25,67.21,69.08,66.21,68.02,997700,61.61
2013-10-24,70.96,71.40,70.56,70.88,468200,64.20
2013-10-23,71.43,71.69,70.69,71.14,327600,64.44
2013-10-22,70.52,71.84,69.99,71.56,305000,64.82
2013-10-21,70.68,70.68,69.89,70.16,266300,63.55
2013-10-18,71.26,71.54,70.60,70.82,302700,64.15
2013-10-17,69.71,71.32,69.52,71.19,421400,64.48
2013-10-16,68.89,70.36,68.75,70.29,329000,63.67
2013-10-15,68.87,69.28,68.27,68.72,301900,62.25
2013-10-14,68.48,69.29,68.13,69.16,356100,62.65
2013-10-11,68.30,69.09,67.64,69.07,268800,62.56
2013-10-10,67.58,68.56,67.38,68.35,429500,61.91
2013-10-09,67.03,67.66,66.78,67.06,341400,60.74
2013-10-08,67.60,67.98,66.87,66.99,535500,60.68
2013-10-07,67.28,68.22,67.14,67.74,498400,61.36
2013-10-04,67.65,68.37,67.52,67.83,638100,61.44
2013-10-03,68.22,68.52,67.05,67.47,598800,61.11
2013-10-02,68.14,68.76,67.84,68.45,563600,62.00
2013-10-01,67.25,69.49,67.02,68.64,979700,62.17
2013-09-30,67.38,68.26,66.95,67.31,409700,60.97
2013-09-27,67.99,68.43,67.38,67.62,240000,61.25
2013-09-26,67.68,68.23,67.60,68.14,339000,61.72
2013-09-25,67.82,68.39,67.12,67.63,490000,61.26
2013-09-24,68.27,68.28,67.49,67.72,462000,61.34
2013-09-23,68.50,68.84,67.79,68.32,303900,61.88
2013-09-20,70.53,70.53,68.28,68.65,787300,62.18
2013-09-19,70.06,70.90,69.88,70.14,438000,63.53
2013-09-18,67.62,69.90,66.74,69.80,1041900,63.23
2013-09-17,68.39,68.85,67.61,67.66,410900,61.29
2013-09-16,68.85,69.44,68.03,68.22,542100,61.79
2013-09-13,68.23,68.70,67.45,67.60,465300,61.23
2013-09-12,69.61,69.61,68.16,68.29,568900,61.86
2013-09-11,69.18,69.27,68.59,69.27,365300,62.29
2013-09-10,70.03,70.24,68.84,69.18,561500,62.21
2013-09-09,69.00,69.83,68.19,69.81,587900,62.78
2013-09-06,67.38,69.29,67.38,68.55,716500,61.64
2013-09-05,67.11,67.37,66.24,66.65,585200,59.94
2013-09-04,66.87,67.87,66.36,67.45,642000,60.66
2013-09-03,67.66,67.98,66.32,66.77,1040900,60.04
2013-08-30,68.65,69.22,67.23,67.41,648300,60.62
2013-08-29,68.19,68.81,68.13,68.60,540500,61.69
2013-08-28,67.86,68.74,67.10,68.62,654500,61.71
2013-08-27,68.11,68.63,67.75,68.00,472400,61.15
2013-08-26,67.22,68.59,67.11,68.50,810600,61.60
2013-08-23,66.56,67.10,66.24,67.02,329500,60.27
2013-08-22,66.65,66.65,65.73,66.54,295300,59.84
2013-08-21,66.50,67.44,65.79,66.42,469400,59.73
2013-08-20,65.36,67.16,65.36,66.80,521100,60.07
2013-08-19,66.15,66.54,65.37,65.37,460100,58.79
2013-08-16,68.40,68.64,66.24,66.32,696400,59.64
2013-08-15,71.46,71.46,68.50,68.67,296800,61.75
2013-08-14,71.19,71.39,70.39,70.68,274700,63.56
2013-08-13,71.86,71.86,70.94,71.22,306700,64.05
2013-08-12,71.73,72.11,71.29,71.74,232300,64.51
2013-08-09,71.10,72.73,71.02,72.11,273200,64.85
2013-08-08,71.96,71.96,71.25,71.31,339400,64.13
2013-08-07,71.85,71.95,71.11,71.60,282200,64.39
2013-08-06,71.88,72.57,71.87,71.97,297900,64.72
2013-08-05,72.60,72.80,72.11,72.15,333200,64.88
2013-08-02,73.64,74.14,72.51,72.76,549900,65.43
2013-08-01,73.65,74.26,73.25,73.68,670900,66.26
2013-07-31,74.41,74.41,72.00,73.22,742600,65.84
2013-07-30,75.27,75.52,74.19,74.30,1373500,66.82
2013-07-29,76.11,76.42,74.67,74.98,876100,67.43
2013-07-26,78.45,78.45,75.67,76.41,1008900,68.71
2013-07-25,78.96,79.28,78.17,78.98,391800,71.02
2013-07-24,80.70,80.70,78.13,79.15,377600,71.18
2013-07-23,80.00,80.67,79.37,80.61,397600,72.49
2013-07-22,79.71,79.97,78.97,79.96,532900,71.91
2013-07-19,79.70,80.21,79.36,79.71,678600,71.68
2013-07-18,77.92,79.95,77.88,79.89,554100,71.84
2013-07-17,77.88,78.10,77.17,77.68,302100,69.86
2013-07-16,77.78,78.16,77.55,77.79,382100,69.95
