Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,9.50,9.50,9.27,9.34,18300,9.34
2015-02-12,9.50,9.50,9.27,9.50,22700,9.50
2015-02-11,9.02,9.49,9.02,9.49,23000,9.49
2015-02-10,9.15,9.30,9.08,9.08,28100,9.08
2015-02-09,9.16,9.30,9.10,9.10,14000,9.10
2015-02-06,9.27,9.35,9.03,9.29,38000,9.29
2015-02-05,9.22,9.40,9.15,9.33,53100,9.33
2015-02-04,9.60,9.60,9.25,9.38,35200,9.38
2015-02-03,9.51,9.67,9.25,9.50,51900,9.50
2015-02-02,9.55,9.90,9.40,9.50,70900,9.50
2015-01-30,10.00,10.49,9.21,9.40,1279100,9.40
