Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,25.30,25.35,25.21,25.21,3600,25.21
2015-02-12,25.49,25.49,25.35,25.35,4200,25.35
2015-02-11,25.21,25.40,25.20,25.40,1400,25.40
2015-02-10,25.35,25.45,25.15,25.43,14400,25.43
2015-02-09,25.50,25.50,25.20,25.45,4400,25.45
2015-02-06,25.49,25.55,25.49,25.54,2600,25.54
2015-02-05,25.50,25.50,25.40,25.44,3500,25.44
2015-02-04,25.32,25.35,25.30,25.32,800,25.32
2015-02-03,25.35,25.45,25.30,25.35,6700,25.35
2015-02-02,25.38,25.40,25.20,25.35,6500,25.35
2015-01-30,25.35,25.41,25.25,25.41,8000,25.41
2015-01-29,25.35,25.35,25.35,25.35,800,25.35
