Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,76.87,77.10,75.04,75.56,339400,75.56
2015-02-12,76.76,77.25,76.16,77.17,426000,77.17
2015-02-11,78.55,78.65,76.40,76.66,324400,76.66
2015-02-10,77.20,78.85,77.20,78.80,232600,78.80
2015-02-09,78.07,78.34,76.85,77.33,197200,77.33
2015-02-06,80.97,81.08,77.70,78.21,293600,78.21
2015-02-05,80.72,81.50,80.32,81.32,270200,81.32
2015-02-04,81.16,81.45,80.34,80.54,259400,80.54
2015-02-03,81.13,81.56,80.77,81.27,287000,81.27
2015-02-02,81.40,81.81,80.38,81.52,229700,81.52
2015-01-30,82.78,83.03,80.98,81.10,343100,81.10
2015-01-29,82.35,83.25,81.69,83.13,180000,83.13
2015-01-28,82.50,83.72,82.10,82.27,221700,82.27
2015-01-27,82.20,82.94,82.09,82.57,214000,82.57
2015-01-26,82.37,82.60,81.59,82.56,185300,82.56
2015-01-23,81.89,82.69,81.89,82.33,167700,82.33
2015-01-22,82.04,82.47,81.38,81.87,171400,81.87
2015-01-21,80.82,82.02,80.25,81.98,215800,81.98
2015-01-20,80.68,81.16,80.25,81.09,351600,81.09
2015-01-16,79.25,80.71,79.09,80.59,200400,80.59
2015-01-15,78.93,79.74,78.93,79.57,163700,79.57
2015-01-14,77.35,79.05,77.31,79.02,253600,79.02
2015-01-13,77.62,79.13,77.32,77.73,243300,77.73
2015-01-12,78.03,78.40,77.39,77.50,413000,77.50
2015-01-09,78.75,78.75,77.74,78.03,241100,78.03
2015-01-08,78.38,79.19,78.38,78.72,484900,78.72
2015-01-07,77.53,78.62,77.24,78.33,233800,78.33
2015-01-06,77.00,78.58,77.00,77.34,384300,77.34
2015-01-05,78.00,78.25,76.84,77.09,277600,77.09
2015-01-02,78.00,78.22,77.11,78.16,379400,78.16
2014-12-31,79.30,79.63,77.77,77.85,278400,77.85
2014-12-30,80.46,80.46,78.82,79.18,620400,79.18
2014-12-29,79.73,80.88,79.73,80.62,452700,80.62
2014-12-26,78.06,79.88,78.02,79.83,286300,79.83
2014-12-24,76.79,78.51,76.79,78.30,208100,78.30
2014-12-23,76.82,77.24,76.68,76.79,214800,76.79
2014-12-22,76.52,77.46,76.18,77.20,383900,77.20
2014-12-19,77.02,77.84,76.58,76.58,995000,76.58
2014-12-18,76.00,76.72,75.65,76.68,407600,76.68
2014-12-17,75.00,75.87,74.64,75.68,370400,75.68
2014-12-16,74.26,75.43,73.88,74.91,322300,74.91
2014-12-15,74.26,74.89,73.74,74.34,397200,74.34
2014-12-12,75.48,76.02,74.22,74.26,496900,74.26
2014-12-11,75.60,76.36,75.60,75.84,419300,75.84
2014-12-10,76.18,76.47,75.50,75.58,330900,75.58
2014-12-09,75.12,76.08,75.10,76.03,374200,76.03
2014-12-08,74.92,76.20,74.92,75.55,325500,75.55
2014-12-05,74.50,75.01,74.28,74.87,531900,74.87
2014-12-04,74.23,75.27,73.83,75.14,475800,75.14
2014-12-03,73.84,74.34,73.54,74.24,413900,74.24
2014-12-02,73.23,74.10,72.94,74.01,511700,74.01
2014-12-01,72.86,74.09,72.47,73.57,573000,73.57
2014-11-28,71.98,73.19,71.98,72.84,151800,72.84
2014-11-26,71.78,72.37,71.76,71.87,215600,71.87
2014-11-25,71.98,72.08,71.51,71.78,359200,71.78
2014-11-24,72.37,72.60,71.69,72.00,389300,72.00
2014-11-21,73.26,73.45,72.54,73.11,613200,72.43
2014-11-20,72.64,73.21,72.64,73.13,459100,72.45
2014-11-19,72.55,73.14,72.21,73.13,650100,72.45
2014-11-18,72.37,73.04,72.34,73.00,486500,72.32
2014-11-17,71.28,72.89,71.28,72.54,333500,71.87
2014-11-14,70.95,71.83,70.75,71.58,475800,70.91
2014-11-13,71.88,72.00,71.10,71.30,331500,70.64
2014-11-12,72.25,72.63,71.13,71.80,507500,71.13
2014-11-11,72.43,72.92,71.99,72.85,389400,72.17
2014-11-10,71.99,72.84,71.82,72.65,610000,71.97
2014-11-07,71.66,72.23,71.24,72.00,487800,71.33
2014-11-06,72.79,73.42,71.38,72.34,640700,71.67
2014-11-05,72.67,74.12,72.06,74.02,529300,73.33
2014-11-04,72.52,73.18,72.05,72.34,327900,71.67
2014-11-03,72.81,73.07,72.37,72.82,286900,72.14
2014-10-31,73.12,73.12,72.21,72.68,420300,72.00
2014-10-30,70.51,72.95,70.50,72.93,507300,72.25
2014-10-29,70.60,71.03,69.56,70.43,354400,69.77
2014-10-28,70.40,70.88,69.94,70.78,409900,70.12
2014-10-27,70.08,70.52,69.86,70.47,383200,69.81
2014-10-24,69.67,70.15,69.52,70.05,561500,69.40
2014-10-23,69.75,69.90,69.20,69.67,429300,69.02
2014-10-22,68.91,69.74,68.84,69.37,559100,68.72
2014-10-21,69.46,69.50,68.82,68.94,584100,68.30
2014-10-20,68.68,69.51,68.41,69.45,319500,68.80
2014-10-17,68.85,69.00,67.83,68.72,422000,68.08
2014-10-16,68.48,68.84,67.54,68.51,804900,67.87
2014-10-15,68.42,69.53,68.39,69.25,930500,68.61
2014-10-14,67.65,69.40,67.47,68.75,457000,68.11
2014-10-13,67.02,68.34,66.98,67.62,286300,66.99
2014-10-10,66.31,67.60,66.31,67.02,301300,66.40
2014-10-09,66.73,67.40,65.94,66.02,358500,65.41
2014-10-08,65.41,67.40,65.41,66.70,442300,66.08
2014-10-07,65.06,65.95,65.06,65.45,397400,64.84
2014-10-06,65.76,66.10,65.34,65.38,300700,64.77
2014-10-03,65.60,65.83,64.97,65.62,351300,65.01
2014-10-02,64.84,65.60,64.84,65.16,233100,64.55
2014-10-01,64.63,65.61,64.63,65.04,368300,64.44
2014-09-30,64.88,65.48,64.65,64.82,360800,64.22
2014-09-29,64.63,64.90,64.49,64.81,173100,64.21
2014-09-26,64.84,65.17,64.48,64.91,274500,64.31
2014-09-25,65.07,65.64,64.87,64.88,259200,64.28
2014-09-24,65.76,65.95,65.21,65.24,428900,64.63
2014-09-23,66.63,66.63,65.75,65.78,325500,65.17
2014-09-22,66.77,66.98,66.13,66.62,462100,66.00
2014-09-19,67.01,67.27,66.68,66.77,653000,66.15
2014-09-18,67.42,67.55,66.51,66.71,155400,66.09
2014-09-17,68.02,68.13,67.17,67.47,163400,66.84
2014-09-16,67.02,68.15,67.00,67.69,245500,67.06
2014-09-15,66.60,67.34,66.60,67.24,246800,66.61
2014-09-12,67.67,67.67,66.41,66.59,206400,65.97
2014-09-11,67.27,68.00,66.99,67.96,113700,67.33
2014-09-10,67.18,67.85,66.89,67.31,159300,66.68
2014-09-09,67.95,67.95,67.27,67.29,188700,66.66
2014-09-08,68.25,68.55,67.67,68.27,385000,67.64
2014-09-05,67.86,68.51,67.82,68.50,267200,67.86
2014-09-04,67.40,67.79,67.10,67.79,320600,67.16
2014-09-03,66.99,67.63,66.99,67.52,282900,66.89
2014-09-02,67.81,67.98,66.83,66.97,319700,66.35
2014-08-29,67.22,67.93,67.22,67.89,211900,67.26
2014-08-28,66.66,67.60,66.61,67.47,263200,66.84
2014-08-27,66.30,66.86,66.07,66.74,301000,66.12
2014-08-26,67.35,67.57,66.69,66.70,388500,65.41
2014-08-25,67.09,67.63,66.83,67.36,216600,66.05
2014-08-22,67.11,67.37,66.51,66.82,238400,65.52
2014-08-21,67.16,67.59,66.97,67.15,372800,65.85
2014-08-20,66.93,67.27,66.76,67.11,208200,65.81
2014-08-19,66.30,67.20,66.10,67.02,321900,65.72
2014-08-18,66.26,66.50,65.92,65.97,265500,64.69
2014-08-15,66.43,66.89,65.99,66.30,2157000,65.01
2014-08-14,66.04,66.48,65.55,66.38,366500,65.09
2014-08-13,65.19,66.20,65.19,65.98,242300,64.70
2014-08-12,65.41,65.83,65.13,65.21,221400,63.94
2014-08-11,65.55,65.89,65.28,65.58,314400,64.31
2014-08-08,64.61,65.60,64.45,65.57,347100,64.30
2014-08-07,65.05,65.60,64.23,64.40,603700,63.15
2014-08-06,64.18,64.37,63.59,63.79,829500,62.55
2014-08-05,64.83,65.41,64.41,64.59,458000,63.34
2014-08-04,66.10,66.13,64.54,65.19,814200,63.93
2014-08-01,65.60,66.66,65.60,66.14,599800,64.86
2014-07-31,67.04,67.39,65.51,65.56,1160100,64.29
2014-07-30,68.95,69.24,67.26,67.54,486700,66.23
2014-07-29,69.86,70.09,69.03,69.03,287900,67.69
2014-07-28,68.63,70.06,68.63,69.98,263000,68.62
2014-07-25,69.46,69.64,68.74,68.85,183000,67.51
2014-07-24,69.21,69.60,69.02,69.49,237400,68.14
2014-07-23,69.00,69.29,68.91,69.17,299500,67.83
2014-07-22,69.31,69.44,68.98,69.07,316900,67.73
2014-07-21,69.06,69.36,68.84,69.07,224600,67.73
2014-07-18,68.84,69.35,68.50,69.14,346000,67.80
2014-07-17,68.98,69.37,68.55,68.58,328600,67.25
2014-07-16,68.98,69.24,68.60,69.14,190300,67.80
2014-07-15,68.43,69.11,68.43,68.89,276600,67.55
2014-07-14,69.24,69.39,68.62,68.70,274000,67.37
2014-07-11,69.46,69.86,69.10,69.23,267800,67.89
2014-07-10,68.81,69.85,68.64,69.74,279600,68.39
2014-07-09,69.87,69.90,69.00,69.28,477800,67.94
2014-07-08,68.77,69.65,68.77,69.56,524300,68.21
2014-07-07,68.13,69.14,68.13,68.96,656100,67.62
2014-07-03,69.03,69.06,68.35,68.50,860900,67.17
2014-07-02,70.08,70.26,68.75,69.10,712400,67.76
2014-07-01,71.00,71.10,70.28,70.33,455100,68.97
2014-06-30,70.68,71.35,70.55,71.13,968500,69.75
2014-06-27,70.00,70.94,69.87,70.92,816700,69.54
2014-06-26,69.50,70.23,69.33,70.23,1265500,68.87
2014-06-25,69.03,69.58,68.83,69.33,1334400,67.98
2014-06-24,68.40,69.49,67.93,69.27,2366800,67.93
2014-06-23,68.01,70.61,67.92,68.35,7842500,67.02
2014-06-20,60.76,61.04,60.48,60.95,946000,59.77
2014-06-19,60.20,61.00,60.16,60.80,508100,59.62
2014-06-18,58.65,60.23,58.65,60.21,399200,59.04
2014-06-17,58.61,58.81,58.28,58.51,403800,57.37
2014-06-16,57.68,58.78,57.57,58.65,611300,57.51
2014-06-13,57.55,57.81,57.13,57.70,293700,56.58
2014-06-12,57.16,57.60,56.46,57.53,254700,56.41
2014-06-11,57.68,57.80,57.14,57.16,270600,56.05
2014-06-10,57.92,58.11,57.66,57.82,194600,56.70
2014-06-09,58.42,58.55,57.87,57.99,259400,56.86
2014-06-06,58.78,58.97,58.37,58.49,300100,57.36
2014-06-05,58.00,58.89,58.00,58.77,324600,57.63
