Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,11.15,11.19,11.13,11.17,192600,11.17
2015-02-12,11.12,11.23,11.08,11.15,383100,11.15
2015-02-11,11.11,11.12,11.06,11.12,167400,11.12
2015-02-10,11.10,11.12,11.08,11.12,169600,11.12
2015-02-09,11.08,11.14,11.08,11.10,158200,11.10
2015-02-06,11.10,11.14,11.06,11.11,149500,11.11
2015-02-05,11.04,11.15,11.04,11.14,182400,11.14
2015-02-04,11.09,11.14,11.00,11.04,175800,11.04
2015-02-03,11.00,11.09,10.97,11.09,340100,11.09
2015-02-02,11.07,11.08,10.95,10.98,209400,10.98
2015-01-30,11.01,11.07,10.99,11.07,214100,11.07
2015-01-29,11.03,11.07,11.01,11.05,180000,11.05
2015-01-28,11.11,11.15,11.04,11.05,302600,11.05
2015-01-27,11.01,11.14,11.01,11.13,191800,11.13
2015-01-26,11.19,11.21,11.13,11.14,214300,11.14
2015-01-23,11.10,11.23,11.10,11.23,276500,11.23
2015-01-22,11.15,11.15,11.10,11.15,246800,11.15
2015-01-21,11.06,11.11,11.06,11.10,179100,11.10
2015-01-20,11.04,11.10,11.02,11.10,254100,11.10
2015-01-16,10.96,11.09,10.96,11.06,258200,11.06
2015-01-15,11.02,11.06,10.97,10.99,184900,10.99
2015-01-14,10.98,11.08,10.93,10.99,309100,10.99
2015-01-13,11.10,11.11,11.03,11.03,184900,11.03
2015-01-12,11.08,11.11,11.06,11.06,277000,11.06
2015-01-09,11.12,11.18,11.10,11.11,381900,11.11
2015-01-08,11.15,11.20,11.09,11.11,365900,11.11
2015-01-07,11.11,11.17,11.04,11.12,554200,11.12
2015-01-06,11.07,11.15,10.98,11.04,796000,11.04
2015-01-05,11.16,11.26,11.07,11.18,727100,11.18
2015-01-02,11.25,11.32,11.14,11.28,528200,11.28
2014-12-31,11.42,11.50,11.20,11.34,984300,11.34
2014-12-30,11.29,11.38,11.20,11.32,418000,11.32
2014-12-29,11.51,11.52,11.34,11.37,332600,11.37
2014-12-26,11.48,11.62,11.44,11.54,301600,11.54
2014-12-24,11.37,11.47,11.37,11.43,100400,11.43
2014-12-23,11.31,11.40,11.31,11.33,277800,11.33
2014-12-22,11.35,11.54,11.32,11.34,263000,11.34
2014-12-19,11.30,11.45,11.30,11.42,266000,11.42
2014-12-18,11.13,11.38,11.13,11.27,350500,11.27
2014-12-17,10.86,11.10,10.86,11.02,635300,11.02
2014-12-16,10.91,11.01,10.61,10.86,595400,10.86
2014-12-15,11.45,11.46,11.08,11.08,425700,11.08
2014-12-12,11.54,11.57,11.39,11.42,263600,11.42
2014-12-11,12.24,12.25,12.15,12.21,263200,11.67
2014-12-10,12.36,12.36,12.16,12.24,314900,11.69
2014-12-09,12.22,12.34,12.22,12.33,177500,11.78
2014-12-08,12.43,12.56,12.24,12.31,319800,11.76
2014-12-05,12.67,12.70,12.50,12.50,225000,11.94
2014-12-04,12.71,12.76,12.63,12.68,179200,12.12
2014-12-03,12.70,12.79,12.67,12.78,170000,12.21
2014-12-02,12.75,12.75,12.51,12.70,662000,12.13
2014-12-01,12.72,12.74,12.64,12.71,190700,12.14
2014-11-28,12.60,12.76,12.60,12.76,104500,12.19
2014-11-26,12.56,12.64,12.53,12.60,155800,12.04
2014-11-25,12.59,12.60,12.53,12.56,193800,12.00
2014-11-24,12.52,12.57,12.50,12.55,113900,11.99
2014-11-21,12.49,12.56,12.47,12.49,150200,11.93
2014-11-20,12.43,12.46,12.41,12.44,163500,11.89
2014-11-19,12.42,12.45,12.39,12.43,117800,11.88
2014-11-18,12.42,12.43,12.39,12.40,155800,11.85
2014-11-17,12.39,12.47,12.39,12.44,145900,11.89
2014-11-14,12.46,12.48,12.40,12.44,136200,11.89
2014-11-13,12.53,12.54,12.40,12.40,112100,11.85
2014-11-12,12.45,12.54,12.43,12.50,119700,11.94
2014-11-11,12.54,12.55,12.47,12.53,103900,11.97
2014-11-10,12.56,12.57,12.50,12.50,133300,11.94
2014-11-07,12.58,12.61,12.55,12.57,95800,12.01
2014-11-06,12.65,12.66,12.55,12.58,130200,12.02
2014-11-05,12.68,12.68,12.55,12.56,234800,12.00
2014-11-04,12.66,12.67,12.60,12.62,152400,12.06
2014-11-03,12.68,12.71,12.65,12.66,173200,12.10
2014-10-31,12.71,12.73,12.66,12.70,212400,12.13
2014-10-30,12.62,12.72,12.62,12.69,136900,12.12
2014-10-29,12.68,12.71,12.62,12.67,110700,12.11
2014-10-28,12.67,12.71,12.64,12.70,60300,12.13
2014-10-27,12.66,12.70,12.61,12.63,92800,12.07
2014-10-24,12.59,12.71,12.59,12.70,80600,12.13
