Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,30.83,31.43,30.33,31.07,450400,31.07
2015-02-12,30.35,31.01,30.00,30.52,431500,30.52
2015-02-11,29.49,30.19,29.06,29.76,525800,29.76
2015-02-10,30.36,30.36,29.43,29.90,407600,29.76
2015-02-09,29.18,30.76,29.15,30.36,621100,30.22
2015-02-06,28.24,29.15,27.97,29.13,781900,28.99
2015-02-05,27.48,28.85,27.38,28.27,883900,28.14
2015-02-04,26.60,27.46,26.55,27.03,484100,26.90
2015-02-03,27.86,28.07,26.83,26.89,607300,26.76
2015-02-02,27.07,27.65,26.84,27.38,677900,27.25
2015-01-30,28.37,28.37,26.02,27.00,1535200,26.87
2015-01-29,29.00,29.20,27.89,27.95,817400,27.82
2015-01-28,30.15,30.26,29.12,29.16,813500,29.02
2015-01-27,30.02,30.21,29.59,29.83,619500,29.69
2015-01-26,29.42,30.53,29.05,30.39,325000,30.25
2015-01-23,30.66,30.66,29.38,29.52,488300,29.38
2015-01-22,30.60,31.15,30.20,30.85,452800,30.71
2015-01-21,30.21,30.87,29.92,30.38,341200,30.24
2015-01-20,30.14,30.55,29.62,30.50,501200,30.36
2015-01-16,29.50,30.18,29.16,30.13,563800,29.99
2015-01-15,30.84,30.91,29.52,29.64,599800,29.50
2015-01-14,30.77,31.06,29.62,30.39,706400,30.25
2015-01-13,33.22,33.69,31.35,31.54,1042200,31.39
2015-01-12,34.93,34.93,31.51,33.01,1114900,32.86
2015-01-09,36.53,36.53,34.42,35.03,767000,34.87
2015-01-08,36.95,37.42,35.72,36.55,831100,36.38
2015-01-07,34.96,37.47,33.55,36.65,1303200,36.48
2015-01-06,36.28,36.65,34.26,34.61,1118000,34.45
2015-01-05,36.91,37.12,35.75,36.26,734300,36.09
2015-01-02,37.00,37.37,36.00,37.21,560000,37.04
2014-12-31,36.93,37.18,35.62,37.03,299600,36.86
2014-12-30,34.98,37.04,34.78,36.96,658700,36.79
2014-12-29,34.60,35.29,34.36,35.25,262700,35.08
2014-12-26,34.11,34.99,34.00,34.72,272000,34.56
2014-12-24,34.34,34.50,33.87,34.00,121700,33.84
2014-12-23,34.11,34.51,33.83,34.27,568000,34.11
2014-12-22,34.26,35.24,33.71,34.00,840700,33.84
2014-12-19,33.10,34.68,32.69,34.30,803000,34.14
2014-12-18,32.50,33.35,32.49,33.16,781700,33.00
2014-12-17,31.21,32.15,30.18,32.06,994100,31.91
2014-12-16,30.88,31.48,30.51,31.17,582000,31.02
2014-12-15,31.63,31.99,30.97,31.19,535800,31.04
2014-12-12,32.25,32.79,31.28,31.34,346300,31.19
2014-12-11,33.17,33.20,32.01,32.14,392600,31.99
2014-12-10,32.76,32.90,32.31,32.41,419300,32.26
2014-12-09,32.36,33.16,32.33,32.99,381700,32.84
2014-12-08,32.75,33.15,32.53,32.76,311900,32.61
2014-12-05,32.45,33.09,32.45,32.72,237000,32.57
2014-12-04,32.80,33.09,32.40,32.54,188800,32.39
2014-12-03,32.13,33.01,32.00,32.88,431300,32.73
2014-12-02,33.28,33.28,31.98,32.12,335000,31.97
2014-12-01,35.36,35.65,32.78,32.88,401500,32.73
2014-11-28,36.47,37.20,35.60,35.62,227900,35.45
2014-11-26,37.14,37.78,36.64,36.74,203400,36.57
2014-11-25,36.93,37.34,36.65,37.27,264000,37.10
2014-11-24,36.39,36.97,36.39,36.68,582300,36.51
2014-11-21,36.18,37.48,36.02,36.24,381800,36.07
2014-11-20,35.49,36.34,35.46,35.73,372600,35.56
2014-11-19,37.19,37.24,35.70,35.88,294500,35.57
2014-11-18,37.35,37.50,37.01,37.17,251800,36.85
2014-11-17,37.88,38.22,36.80,37.20,435000,36.88
2014-11-14,37.50,38.32,37.41,38.11,296200,37.78
2014-11-13,38.14,38.83,37.00,37.46,335600,37.14
2014-11-12,37.75,38.55,37.52,38.35,197700,38.02
2014-11-11,38.40,38.87,37.63,37.85,210900,37.53
2014-11-10,39.34,39.49,38.18,38.40,306500,38.07
2014-11-07,37.59,39.25,37.59,39.04,449400,38.71
2014-11-06,37.43,38.25,37.43,37.69,455800,37.37
2014-11-05,37.03,38.70,36.97,37.60,536600,37.28
2014-11-04,37.83,37.83,36.30,36.45,630900,36.14
2014-11-03,40.14,40.49,38.14,38.17,355600,37.84
2014-10-31,41.35,42.59,40.55,40.58,374000,40.23
2014-10-30,40.44,41.12,39.15,41.10,373800,40.75
2014-10-29,40.07,41.30,39.47,40.70,417900,40.35
2014-10-28,39.13,40.26,38.77,39.99,291800,39.65
2014-10-27,40.09,40.21,38.46,38.68,404800,38.35
2014-10-24,40.82,41.22,40.34,40.85,159900,40.50
2014-10-23,40.05,41.34,39.61,40.83,332000,40.48
2014-10-22,39.17,39.85,38.87,39.69,400800,39.35
2014-10-21,36.68,39.25,36.31,39.08,857500,38.75
2014-10-20,37.42,38.10,35.79,36.31,541000,36.00
2014-10-17,37.25,38.38,36.91,37.42,475400,37.10
2014-10-16,37.67,37.76,36.41,36.80,629000,36.48
2014-10-15,37.83,38.27,36.37,37.94,1030800,37.62
2014-10-14,35.71,38.72,35.52,38.70,1010800,38.37
2014-10-13,38.00,39.08,35.07,35.47,970200,35.17
