Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,126.40,126.89,125.50,125.78,14200,125.78
2015-02-12,129.50,129.54,125.11,126.08,16400,126.08
2015-02-11,127.00,130.10,126.76,128.75,41400,126.25
2015-02-10,125.18,127.09,125.18,126.71,24100,124.25
2015-02-09,126.00,126.00,124.15,124.71,20000,122.29
2015-02-06,123.32,125.17,120.51,121.93,15700,119.56
2015-02-05,121.99,124.20,119.95,123.15,28200,120.76
2015-02-04,124.90,125.99,119.96,120.42,23900,118.08
2015-02-03,125.21,127.00,122.78,124.90,35300,122.47
2015-02-02,122.69,127.30,121.58,125.71,45300,123.27
2015-01-30,122.00,123.21,120.03,121.66,16600,119.30
2015-01-29,120.01,123.03,116.63,122.04,20500,119.67
2015-01-28,125.09,126.82,121.44,121.44,46600,119.08
2015-01-27,115.89,125.14,115.69,123.88,108200,121.47
2015-01-26,121.29,122.69,115.00,118.50,55400,116.20
2015-01-23,129.08,131.41,122.00,122.10,46000,119.73
2015-01-22,131.34,131.46,127.05,129.43,39900,126.92
2015-01-21,132.09,133.00,129.24,130.05,33500,127.52
2015-01-20,124.00,133.45,123.60,131.01,46100,128.47
2015-01-16,119.47,124.99,119.46,123.60,25000,121.20
2015-01-15,119.51,120.74,119.01,119.85,15100,117.52
2015-01-14,118.63,120.46,118.50,119.56,17400,117.24
2015-01-13,121.97,121.97,118.50,119.66,33600,117.34
2015-01-12,116.84,123.00,116.10,119.83,64100,117.50
2015-01-09,109.11,117.91,109.11,116.09,52400,113.84
2015-01-08,113.00,113.00,108.12,109.00,30700,106.88
2015-01-07,104.27,111.79,102.63,111.24,41200,109.08
2015-01-06,103.21,104.00,99.22,104.00,53800,101.98
2015-01-05,103.72,103.72,101.30,102.42,28700,100.43
2015-01-02,102.57,104.25,102.25,103.81,15700,101.79
2014-12-31,103.96,104.35,100.13,102.70,69700,100.71
2014-12-30,101.55,104.75,101.00,104.39,44000,102.36
2014-12-29,102.94,104.98,102.29,102.91,40700,100.91
2014-12-26,98.90,105.00,98.45,103.74,68400,101.73
2014-12-24,96.00,98.60,95.38,97.72,30100,95.82
2014-12-23,95.26,97.98,94.70,96.52,42800,94.65
2014-12-22,97.96,98.99,94.56,95.26,30100,93.41
2014-12-19,95.25,98.00,95.25,98.00,42900,96.10
2014-12-18,95.01,97.00,93.00,95.15,38400,93.30
2014-12-17,93.15,95.60,92.80,93.48,63600,91.66
2014-12-16,94.30,95.00,92.50,93.74,49200,91.92
2014-12-15,98.80,101.99,93.85,95.03,47900,93.18
2014-12-12,94.73,100.00,94.12,98.86,36900,96.94
2014-12-11,92.00,97.24,92.00,96.92,63400,95.04
2014-12-10,94.66,95.45,91.50,92.02,91600,90.23
