Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,9.90,9.90,9.90,9.90,000,9.90
2015-02-12,9.90,9.90,9.90,9.90,000,9.90
2015-02-11,9.90,9.90,9.90,9.90,000,9.90
2015-02-10,9.90,9.90,9.90,9.90,100,9.90
2015-02-09,10.00,10.00,10.00,10.00,200,10.00
2015-02-06,9.72,9.72,9.72,9.72,000,9.72
2015-02-05,9.72,9.72,9.72,9.72,000,9.72
2015-02-04,9.72,9.72,9.72,9.72,000,9.72
2015-02-03,9.72,9.72,9.72,9.72,000,9.72
2015-02-02,9.58,9.93,9.58,9.72,4500,9.72
2015-01-30,9.95,9.95,9.95,9.95,000,9.95
2015-01-29,9.95,9.95,9.95,9.95,100,9.95
2015-01-28,9.49,9.86,9.47,9.72,700,9.72
2015-01-27,9.90,9.90,9.90,9.90,100,9.90
2015-01-26,9.81,9.81,9.81,9.81,000,9.81
2015-01-23,9.81,9.81,9.81,9.81,000,9.81
2015-01-22,9.81,9.81,9.81,9.81,000,9.81
2015-01-21,9.81,9.81,9.81,9.81,000,9.81
2015-01-20,9.95,9.95,9.60,9.81,11600,9.81
2015-01-16,9.70,9.70,9.70,9.70,000,9.70
2015-01-15,9.70,9.70,9.70,9.70,000,9.70
2015-01-14,9.70,9.70,9.70,9.70,000,9.70
2015-01-13,9.70,9.70,9.70,9.70,000,9.70
2015-01-12,9.70,9.70,9.70,9.70,000,9.70
2015-01-09,9.70,9.70,9.70,9.70,000,9.70
2015-01-08,9.70,9.70,9.70,9.70,000,9.70
2015-01-07,9.70,9.70,9.70,9.70,000,9.70
2015-01-06,9.70,9.70,9.70,9.70,000,9.70
2015-01-05,9.70,9.70,9.70,9.70,000,9.70
2015-01-02,9.70,9.70,9.70,9.70,000,9.70
2014-12-31,9.70,9.70,9.70,9.70,000,9.70
2014-12-30,9.90,9.90,9.70,9.70,000,9.70
2014-12-29,9.55,9.55,9.55,9.55,000,9.55
2014-12-26,9.55,9.55,9.55,9.55,000,9.55
2014-12-24,9.55,9.55,9.55,9.55,000,9.55
2014-12-23,9.55,9.55,9.55,9.55,000,9.55
2014-12-22,9.55,9.55,9.55,9.55,000,9.55
2014-12-19,9.55,9.55,9.55,9.55,273200,9.55
2014-12-18,9.55,9.55,9.55,9.55,000,9.55
2014-12-17,9.55,9.55,9.55,9.55,000,9.55
2014-12-16,9.55,9.55,9.55,9.55,000,9.55
2014-12-15,9.55,9.55,9.55,9.55,000,9.55
2014-12-12,9.55,9.55,9.55,9.55,000,9.55
2014-12-11,9.55,9.55,9.55,9.55,000,9.55
2014-12-10,9.55,9.55,9.55,9.55,000,9.55
2014-12-09,9.55,9.55,9.55,9.55,000,9.55
2014-12-08,9.55,9.55,9.55,9.55,000,9.55
2014-12-05,9.55,9.55,9.55,9.55,000,9.55
2014-12-04,9.55,9.55,9.55,9.55,000,9.55
2014-12-03,9.55,9.55,9.55,9.55,000,9.55
2014-12-02,9.55,9.55,9.55,9.55,000,9.55
2014-12-01,9.55,9.55,9.55,9.55,000,9.55
2014-11-28,9.55,9.55,9.55,9.55,000,9.55
2014-11-26,9.55,9.55,9.55,9.55,000,9.55
2014-11-25,9.55,9.55,9.55,9.55,000,9.55
2014-11-24,9.55,9.55,9.55,9.55,000,9.55
2014-11-21,9.55,9.55,9.55,9.55,000,9.55
2014-11-20,9.55,9.55,9.55,9.55,000,9.55
