Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,107.76,108.40,107.69,108.00,2232200,108.00
2015-02-12,107.78,108.16,107.56,108.04,2151900,108.04
2015-02-11,106.58,107.92,106.31,107.77,1865500,107.77
2015-02-10,106.14,106.77,105.99,106.52,2065500,106.52
2015-02-09,105.43,106.16,105.16,105.77,2206900,105.77
2015-02-06,107.41,108.07,106.91,107.20,2464100,107.20
2015-02-05,106.46,107.48,106.46,107.41,1705700,107.41
2015-02-04,105.66,107.36,105.58,106.73,2308200,106.73
2015-02-03,104.82,106.09,104.52,106.04,2478500,106.04
2015-02-02,102.94,104.62,101.94,104.58,2060600,104.58
2015-01-30,102.75,104.11,102.28,102.82,3675400,102.82
2015-01-29,104.89,105.07,103.51,104.54,2797400,104.54
2015-01-28,106.50,106.98,104.51,104.58,2262700,104.58
2015-01-27,106.67,106.73,105.71,106.05,1681100,106.05
2015-01-26,106.91,107.24,106.41,107.07,1806400,107.07
2015-01-23,107.99,108.14,106.93,107.00,1885300,107.00
2015-01-22,106.50,108.24,105.24,108.17,3486800,108.17
2015-01-21,105.47,106.04,104.59,105.01,2517800,105.01
2015-01-20,106.91,107.27,104.93,105.84,2226800,105.84
2015-01-16,104.44,106.69,104.17,106.54,2137100,106.54
2015-01-15,103.77,104.62,103.41,104.21,1547200,104.21
2015-01-14,103.64,104.99,102.99,103.77,2142900,103.77
2015-01-13,105.96,107.23,104.66,105.36,2086900,105.36
2015-01-12,106.06,106.27,104.95,105.20,1541600,105.20
2015-01-09,107.26,107.43,105.81,105.83,1415900,105.83
2015-01-08,105.85,107.24,105.66,107.18,1941200,107.18
2015-01-07,104.38,105.05,103.65,105.00,1558200,105.00
2015-01-06,104.07,104.69,103.04,103.24,2350900,103.24
2015-01-05,105.11,105.24,103.87,104.17,1728700,104.17
2015-01-02,106.29,106.74,104.94,105.44,1270800,105.44
2014-12-31,107.15,107.94,105.84,105.85,1064900,105.85
2014-12-30,106.95,107.14,106.40,106.93,939300,106.93
2014-12-29,106.69,107.59,106.51,106.95,824200,106.95
2014-12-26,107.23,107.29,106.69,106.70,779200,106.70
2014-12-24,107.40,107.44,106.62,106.72,540300,106.72
2014-12-23,106.77,107.29,106.28,106.95,1290700,106.95
2014-12-22,106.07,106.62,105.63,106.31,1117200,106.31
2014-12-19,106.41,106.70,105.41,105.75,3896900,105.75
2014-12-18,105.41,105.95,104.70,105.95,2225300,105.95
2014-12-17,103.28,104.49,102.93,104.41,2386200,104.41
2014-12-16,102.83,104.43,102.57,103.08,2196500,103.08
2014-12-15,103.64,104.38,102.14,103.09,1960500,103.09
2014-12-12,103.64,104.77,103.12,103.16,2247400,103.16
2014-12-11,103.78,105.73,103.71,104.57,2467600,104.57
2014-12-10,104.55,105.76,104.22,104.26,2417000,104.26
2014-12-09,104.44,105.64,104.36,105.02,1975300,105.02
