Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,16.08,16.20,15.85,16.14,178800,16.14
2015-02-12,15.69,16.24,15.41,16.00,303900,16.00
2015-02-11,15.35,15.59,15.25,15.49,156000,15.49
2015-02-10,15.56,15.68,15.25,15.35,139200,15.35
2015-02-09,15.79,15.86,15.36,15.42,156000,15.42
2015-02-06,15.94,16.00,15.66,15.79,90800,15.79
2015-02-05,15.65,15.98,15.45,15.95,109600,15.95
2015-02-04,15.62,15.87,15.35,15.62,463700,15.62
2015-02-03,15.47,15.71,15.28,15.71,138000,15.71
2015-02-02,15.57,15.59,15.10,15.45,98100,15.45
2015-01-30,15.13,15.65,15.05,15.59,236000,15.59
2015-01-29,15.29,15.41,15.13,15.29,142800,15.29
2015-01-28,15.59,15.62,15.14,15.30,278900,15.30
2015-01-27,15.37,15.64,15.35,15.49,165700,15.49
2015-01-26,15.39,15.70,15.07,15.66,157200,15.66
2015-01-23,15.48,15.58,15.30,15.44,44300,15.44
2015-01-22,15.37,15.59,15.08,15.52,146100,15.52
2015-01-21,15.26,15.34,15.13,15.25,36400,15.25
2015-01-20,15.49,15.51,15.16,15.35,56800,15.35
2015-01-16,15.10,15.52,15.08,15.51,211100,15.51
2015-01-15,15.79,15.86,15.07,15.19,173200,15.19
2015-01-14,15.39,15.95,15.39,15.74,82000,15.74
2015-01-13,15.81,15.86,15.33,15.61,312600,15.61
2015-01-12,15.90,16.05,15.45,15.68,83200,15.68
2015-01-09,16.09,16.16,15.65,15.95,64700,15.95
2015-01-08,16.29,16.41,15.96,16.05,235800,16.05
2015-01-07,16.22,16.31,15.91,16.08,198100,16.08
2015-01-06,17.16,17.16,15.96,16.12,353900,16.12
2015-01-05,17.73,17.92,17.11,17.12,220200,17.12
2015-01-02,18.13,18.30,17.67,17.85,377700,17.85
2014-12-31,18.07,18.32,17.87,18.00,379000,18.00
2014-12-30,17.97,18.19,17.87,18.07,280100,18.07
2014-12-29,18.03,18.23,17.75,18.04,445000,18.04
2014-12-26,18.11,18.11,17.78,18.02,44900,18.02
2014-12-24,17.70,18.15,17.70,17.99,60800,17.99
2014-12-23,17.81,17.89,17.40,17.74,203200,17.74
2014-12-22,17.39,18.49,17.34,17.79,206700,17.79
2014-12-19,17.00,17.88,16.58,17.40,2896400,17.40
2014-12-18,16.84,17.45,16.65,17.00,710100,17.00
2014-12-17,15.91,16.85,15.66,16.64,1443800,16.64
2014-12-16,15.50,16.00,15.15,15.95,905300,15.95
2014-12-15,16.05,16.31,15.45,15.54,780500,15.54
2014-12-12,16.26,16.43,15.77,15.96,166600,15.96
2014-12-11,16.03,16.56,15.88,16.54,222400,16.54
2014-12-10,16.00,16.16,15.66,15.94,374800,15.94
2014-12-09,15.68,16.25,15.68,16.00,329200,16.00
2014-12-08,16.29,16.50,15.52,15.85,256400,15.85
2014-12-05,16.54,16.95,16.22,16.42,76600,16.42
2014-12-04,16.55,16.90,16.41,16.58,85600,16.58
2014-12-03,17.15,17.18,16.17,16.46,247700,16.46
2014-12-02,17.19,17.39,16.76,16.94,496400,16.94
2014-12-01,17.00,17.29,16.26,17.17,173000,17.10
2014-11-28,16.95,17.35,16.56,17.35,173400,17.27
2014-11-26,16.18,16.96,16.09,16.95,205800,16.88
2014-11-25,16.06,16.27,15.98,16.27,661800,16.20
2014-11-24,16.09,16.27,15.82,16.06,157100,15.99
2014-11-21,15.85,16.05,15.59,16.00,585000,15.93
2014-11-20,15.64,15.90,15.44,15.65,99400,15.58
2014-11-19,16.00,16.00,15.52,15.65,73100,15.58
2014-11-18,15.91,16.20,15.91,16.04,152400,15.97
2014-11-17,15.69,16.06,15.69,15.99,232600,15.92
2014-11-14,15.94,15.94,15.52,15.65,44200,15.58
2014-11-13,15.74,16.04,15.64,15.94,374800,15.87
2014-11-12,15.54,16.00,15.53,15.86,97600,15.79
2014-11-11,15.80,16.10,15.70,15.72,377700,15.65
2014-11-10,15.44,15.89,15.44,15.80,343200,15.73
2014-11-07,15.43,15.47,15.01,15.40,161500,15.33
2014-11-06,14.93,15.52,14.63,14.96,337400,14.89
2014-11-05,15.01,15.05,14.68,14.94,187600,14.87
2014-11-04,15.10,15.35,14.77,14.97,284100,14.90
2014-11-03,14.40,15.43,13.87,15.32,218600,15.25
2014-10-31,14.45,15.10,14.37,14.45,490400,14.39
2014-10-30,14.47,14.79,14.25,14.32,240000,14.26
2014-10-29,14.84,14.84,14.42,14.60,53800,14.54
2014-10-28,14.62,14.90,14.53,14.87,113200,14.81
2014-10-27,14.21,14.74,14.05,14.68,272600,14.62
2014-10-24,13.91,14.75,13.91,14.36,217100,14.30
2014-10-23,14.18,14.30,13.79,14.11,178000,14.05
2014-10-22,14.07,14.30,13.75,13.87,198700,13.81
2014-10-21,12.97,14.00,12.94,13.95,491100,13.89
2014-10-20,12.85,13.59,12.60,13.33,139500,13.27
2014-10-17,13.13,13.54,12.83,13.08,455500,13.02
2014-10-16,12.00,12.95,11.86,12.89,2253900,12.83
2014-10-15,12.49,13.18,12.00,12.06,786700,12.01
2014-10-14,13.73,13.87,12.56,12.94,1160200,12.88
2014-10-13,14.20,14.20,13.47,13.54,391600,13.48
2014-10-10,14.39,14.39,13.21,14.00,1289600,13.94
2014-10-09,14.31,15.16,14.20,14.48,270500,14.42
2014-10-08,15.44,15.53,14.19,14.77,1605100,14.71
2014-10-07,15.76,15.95,15.17,15.22,661200,15.15
2014-10-06,15.85,15.99,15.72,15.89,371700,15.82
2014-10-03,15.97,16.10,15.77,15.86,373500,15.79
2014-10-02,16.25,16.44,15.75,15.75,1220100,15.68
2014-10-01,16.30,16.30,15.90,16.00,1718000,15.93
2014-09-30,16.33,16.46,16.11,16.46,695800,16.39
2014-09-29,16.06,16.57,16.02,16.26,1086500,16.19
2014-09-26,16.65,16.70,16.02,16.25,2945000,16.18
2014-09-25,17.69,17.70,16.26,16.40,19126100,16.33
