Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,16.60,16.60,16.59,16.59,1000,16.59
2015-02-12,16.46,16.62,16.46,16.61,8500,16.61
2015-02-11,16.04,16.56,16.04,16.33,9000,16.33
2015-02-10,16.32,16.32,16.32,16.32,000,16.32
2015-02-09,16.31,16.44,16.31,16.32,5100,16.32
2015-02-06,16.40,16.40,16.34,16.34,4500,16.34
2015-02-05,16.48,16.59,16.47,16.59,4900,16.59
2015-02-04,16.60,16.63,16.53,16.53,3000,16.53
2015-02-03,16.49,16.64,16.49,16.60,5000,16.60
2015-02-02,16.21,16.59,16.21,16.53,5600,16.53
2015-01-30,16.21,16.21,16.06,16.11,5500,16.11
2015-01-29,16.39,16.45,16.29,16.45,4700,16.45
2015-01-28,16.64,16.74,16.54,16.56,3300,16.56
2015-01-27,16.57,16.67,16.57,16.67,900,16.67
2015-01-26,16.76,16.76,16.61,16.61,2800,16.61
2015-01-23,16.60,16.78,16.60,16.76,18900,16.76
2015-01-22,16.20,16.44,16.20,16.37,17200,16.37
2015-01-21,16.16,16.25,16.12,16.17,50400,16.17
2015-01-20,15.91,16.06,15.91,16.02,14600,16.02
2015-01-16,16.00,16.05,15.89,16.03,3500,16.03
2015-01-15,15.94,16.07,15.94,16.02,3400,16.02
2015-01-14,15.79,15.79,15.70,15.72,12700,15.72
2015-01-13,15.97,16.10,15.90,15.90,10500,15.90
2015-01-12,15.87,15.90,15.82,15.85,17900,15.85
2015-01-09,15.95,16.08,15.80,15.81,9100,15.81
2015-01-08,15.90,16.14,15.90,16.05,16000,16.05
2015-01-07,15.80,15.80,15.66,15.72,8800,15.72
2015-01-06,15.94,15.98,15.55,15.71,10400,15.71
2015-01-05,15.96,16.00,15.91,15.96,10700,15.96
2015-01-02,16.22,16.22,16.00,16.06,10400,16.06
2014-12-31,16.16,16.35,16.03,16.35,19300,16.35
2014-12-30,16.13,16.20,16.09,16.15,8300,16.15
2014-12-29,16.52,16.52,15.95,16.19,19500,16.19
2014-12-26,16.39,16.39,16.03,16.29,5000,16.29
2014-12-24,18.81,18.89,18.73,18.89,33500,16.26
2014-12-23,18.76,18.83,18.73,18.83,11100,16.21
2014-12-22,18.81,18.88,18.54,18.85,15500,16.22
2014-12-19,18.81,18.81,18.68,18.79,8300,16.17
2014-12-18,18.63,18.94,18.63,18.68,16700,16.08
2014-12-17,18.37,19.06,18.07,18.67,9200,16.07
2014-12-16,18.19,18.70,18.16,18.56,14300,15.97
2014-12-15,18.58,18.58,18.58,18.58,000,15.99
2014-12-12,18.74,18.74,18.58,18.58,2700,15.99
2014-12-11,18.69,19.05,18.58,18.89,6100,16.26
2014-12-10,18.55,19.00,18.48,18.78,10700,16.16
2014-12-09,18.84,18.84,18.64,18.83,5100,16.21
2014-12-08,18.92,19.10,18.92,19.05,4300,16.39
2014-12-05,18.88,19.29,18.77,19.06,13600,16.40
2014-12-04,18.75,19.25,18.75,18.99,1700,16.34
2014-12-03,18.85,18.98,18.85,18.96,1400,16.32
2014-12-02,18.49,18.73,18.49,18.59,2900,16.00
2014-12-01,18.74,18.74,18.45,18.62,4200,16.02
2014-11-28,18.86,18.97,18.81,18.95,10500,16.31
2014-11-26,18.86,19.13,18.73,18.84,5100,16.21
2014-11-25,18.79,19.25,18.57,18.70,20300,16.09
2014-11-24,18.69,18.85,18.69,18.85,9600,16.22
2014-11-21,18.92,18.92,18.52,18.76,7000,16.15
2014-11-20,18.48,18.65,18.48,18.64,5800,16.04
2014-11-19,18.37,18.44,18.21,18.37,6400,15.81
2014-11-18,18.30,18.38,18.16,18.31,15100,15.76
2014-11-17,18.39,18.41,18.26,18.36,8900,15.80
2014-11-14,18.46,18.58,18.35,18.57,7900,15.98
2014-11-13,18.53,18.83,18.49,18.68,4400,16.08
2014-11-12,18.49,18.51,18.48,18.48,2700,15.90
2014-11-11,18.72,18.73,18.70,18.72,900,16.11
2014-11-10,18.56,18.81,18.56,18.78,5100,16.16
2014-11-07,18.36,18.36,18.34,18.34,800,15.78
2014-11-06,18.50,18.51,18.34,18.34,2300,15.78
2014-11-05,18.54,18.55,18.53,18.53,3400,15.95
2014-11-04,18.60,18.62,18.60,18.61,600,16.02
2014-11-03,18.51,18.86,18.51,18.67,3900,16.07
2014-10-31,18.65,18.65,18.60,18.62,1300,16.02
2014-10-30,18.66,18.66,18.45,18.57,2800,15.98
2014-10-29,18.69,18.69,18.46,18.54,5000,15.96
2014-10-28,18.14,18.30,18.14,18.29,7200,15.74
2014-10-27,17.98,18.01,17.98,17.98,700,15.47
2014-10-24,18.01,18.08,17.98,18.08,2700,15.56
2014-10-23,18.23,18.31,18.20,18.30,7600,15.75
2014-10-22,18.32,18.50,18.22,18.22,10600,15.68
2014-10-21,18.20,18.23,18.12,18.19,11500,15.65
2014-10-20,17.93,18.10,17.88,18.06,7900,15.54
2014-10-17,18.01,18.09,17.90,17.96,2400,15.46
2014-10-16,18.03,18.03,17.97,18.02,14000,15.51
2014-10-15,18.18,18.61,18.00,18.11,7800,15.59
2014-10-14,17.99,18.54,17.99,18.36,15800,15.80
2014-10-13,18.74,18.75,18.46,18.46,7400,15.89
2014-10-10,18.75,18.75,18.52,18.71,3800,16.10
2014-10-09,19.07,19.07,18.87,18.91,6700,16.27
2014-10-08,19.19,19.19,18.95,19.19,6600,16.52
2014-10-07,19.30,19.60,19.29,19.32,3300,16.63
2014-10-06,19.15,19.45,19.15,19.28,11400,16.59
2014-10-03,19.01,19.14,19.01,19.12,14600,16.45
