Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,34.44,34.45,34.44,34.45,400,34.45
2015-02-12,33.24,33.24,33.24,33.24,000,33.24
2015-02-11,33.24,33.24,33.24,33.24,300,33.24
2015-02-10,26.06,26.06,26.06,26.06,000,26.06
2015-02-09,26.06,26.06,26.06,26.06,000,26.06
2015-02-06,30.38,30.38,30.38,30.38,000,30.38
2015-02-05,32.10,32.10,30.38,30.38,800,30.38
2015-02-04,29.05,29.05,29.05,29.05,000,29.05
2015-02-03,29.00,29.00,29.00,29.00,000,29.00
2015-02-02,36.25,37.37,29.00,29.00,1400,29.00
2015-01-30,29.20,29.20,29.20,29.20,000,29.20
2015-01-29,29.20,29.20,29.20,29.20,000,29.20
2015-01-28,29.20,29.20,29.20,29.20,000,29.20
2015-01-27,29.20,29.20,29.20,29.20,000,29.20
2015-01-26,29.20,29.20,29.20,29.20,000,29.20
2015-01-23,29.21,29.21,29.20,29.20,300,29.20
2015-01-22,34.45,34.45,34.45,34.45,000,34.45
2015-01-21,34.45,34.45,34.45,34.45,000,34.45
2015-01-20,34.45,34.45,34.45,34.45,000,34.45
2015-01-16,34.45,34.45,34.45,34.45,000,34.45
2015-01-15,34.45,34.45,34.45,34.45,000,34.45
2015-01-14,34.45,34.45,34.45,34.45,100,34.45
2015-01-13,34.45,34.45,34.45,34.45,200,34.45
2015-01-12,29.05,29.05,29.05,29.05,000,29.05
2015-01-09,29.05,29.05,29.05,29.05,000,29.05
2015-01-08,31.50,31.50,31.50,31.50,000,31.50
2015-01-07,31.50,31.50,31.50,31.50,000,31.50
2015-01-06,31.50,31.50,31.50,31.50,300,31.50
2015-01-05,29.05,29.05,29.05,29.05,000,29.05
2015-01-02,31.50,31.50,31.50,31.50,000,31.50
2014-12-31,31.50,31.50,31.50,31.50,000,31.50
2014-12-30,29.00,29.00,29.00,29.00,100,29.00
2014-12-29,28.15,28.15,28.15,28.15,000,28.15
2014-12-26,28.15,28.15,28.15,28.15,000,28.15
2014-12-24,29.00,29.00,29.00,29.00,000,29.00
2014-12-23,29.00,29.00,29.00,29.00,000,29.00
2014-12-22,29.00,29.00,29.00,29.00,000,29.00
2014-12-19,30.80,30.80,29.00,29.00,400,29.00
2014-12-18,28.85,28.85,28.85,28.85,000,28.85
2014-12-17,28.85,28.85,28.85,28.85,000,28.85
2014-12-16,28.85,28.85,28.85,28.85,000,28.85
2014-12-15,28.85,28.85,28.85,28.85,000,28.85
2014-12-12,28.85,28.85,28.85,28.85,000,28.85
2014-12-11,28.85,28.85,28.85,28.85,000,28.85
2014-12-10,28.85,28.85,28.85,28.85,000,28.85
2014-12-09,28.85,28.85,28.85,28.85,000,28.85
2014-12-08,28.85,28.85,28.85,28.85,000,28.85
2014-12-05,28.85,28.85,28.85,28.85,300,28.85
2014-12-04,28.81,28.81,28.81,28.81,000,28.81
2014-12-03,29.75,29.75,29.75,29.75,000,29.75
2014-12-02,29.05,29.75,29.05,29.75,700,29.75
2014-12-01,33.00,33.00,33.00,33.00,100,33.00
2014-11-28,33.00,33.00,33.00,33.00,000,33.00
2014-11-26,33.00,33.00,33.00,33.00,000,33.00
2014-11-25,33.00,33.00,33.00,33.00,000,33.00
2014-11-24,33.00,33.00,33.00,33.00,600,32.11
2014-11-21,35.11,35.11,35.11,35.11,000,34.17
2014-11-20,35.11,35.11,35.11,35.11,600,34.17
2014-11-19,28.00,28.00,28.00,28.00,000,27.25
2014-11-18,28.00,28.00,28.00,28.00,000,27.25
2014-11-17,28.00,28.00,28.00,28.00,000,27.25
2014-11-14,28.00,28.00,28.00,28.00,000,27.25
2014-11-13,28.00,28.00,28.00,28.00,000,27.25
2014-11-12,28.00,28.00,28.00,28.00,000,27.25
2014-11-11,28.00,28.00,28.00,28.00,000,27.25
2014-11-10,28.00,28.00,28.00,28.00,000,27.25
2014-11-07,28.00,28.00,28.00,28.00,000,27.25
2014-11-06,28.00,28.00,27.99,28.00,2800,27.25
2014-11-05,30.00,30.00,30.00,30.00,000,29.19
2014-11-04,30.00,30.00,30.00,30.00,000,29.19
2014-11-03,30.00,30.00,30.00,30.00,300,29.19
2014-10-31,40.00,40.00,40.00,40.00,000,38.92
2014-10-30,40.00,40.00,40.00,40.00,000,38.92
2014-10-29,40.00,40.00,40.00,40.00,000,38.92
2014-10-28,40.00,40.00,40.00,40.00,000,38.92
2014-10-27,40.00,40.00,40.00,40.00,000,38.92
2014-10-24,40.00,40.00,40.00,40.00,000,38.92
2014-10-23,40.00,40.00,40.00,40.00,000,38.92
2014-10-22,40.00,40.00,40.00,40.00,000,38.92
2014-10-21,40.00,40.00,40.00,40.00,000,38.92
2014-10-20,40.00,40.00,40.00,40.00,000,38.92
2014-10-17,40.00,40.00,40.00,40.00,000,38.92
2014-10-16,40.00,40.00,40.00,40.00,000,38.92
2014-10-15,40.00,40.00,40.00,40.00,000,38.92
2014-10-14,40.00,40.00,40.00,40.00,000,38.92
2014-10-13,40.00,40.00,40.00,40.00,000,38.92
2014-10-10,40.00,40.00,40.00,40.00,000,38.92
2014-10-09,40.00,40.00,40.00,40.00,000,38.92
2014-10-08,40.00,40.00,40.00,40.00,000,38.92
2014-10-07,40.00,40.00,40.00,40.00,000,38.92
2014-10-06,46.00,46.00,40.00,40.00,1000,38.92
2014-10-03,50.00,50.00,50.00,50.00,300,48.65
2014-10-02,51.00,51.00,51.00,51.00,400,49.63
2014-10-01,57.08,57.08,57.08,57.08,200,55.54
2014-09-30,52.50,56.20,52.50,53.00,1200,51.57
2014-09-29,40.52,50.20,40.52,50.20,1400,48.85
2014-09-26,38.90,40.62,38.90,40.62,200,39.53
2014-09-25,37.00,37.00,37.00,37.00,100,36.00
2014-09-24,36.50,36.50,36.50,36.50,000,35.52
2014-09-23,36.50,36.50,35.05,36.50,300,35.52
2014-09-22,29.87,45.35,29.87,38.39,5000,37.36
2014-09-19,28.30,28.30,28.30,28.30,000,27.54
2014-09-18,28.30,28.30,28.30,28.30,000,27.54
2014-09-17,28.30,28.30,28.30,28.30,000,27.54
2014-09-16,28.30,28.30,28.30,28.30,000,27.54
2014-09-15,28.30,28.30,28.30,28.30,000,27.54
2014-09-12,28.30,28.30,28.30,28.30,000,27.54
2014-09-11,28.30,28.30,28.30,28.30,200,27.54
2014-09-10,27.02,27.02,27.02,27.02,000,26.29
2014-09-09,27.02,27.02,27.02,27.02,000,26.29
2014-09-08,27.02,27.02,27.02,27.02,000,26.29
2014-09-05,32.84,32.84,27.02,27.02,600,26.29
2014-09-04,34.86,34.86,34.86,34.86,000,33.92
2014-09-03,34.86,34.86,34.86,34.86,000,33.92
2014-09-02,34.86,34.86,34.86,34.86,000,33.92
2014-08-29,34.86,34.86,34.86,34.86,000,33.92
2014-08-28,34.86,34.86,34.86,34.86,000,33.92
2014-08-27,34.86,34.86,34.86,34.86,000,33.92
2014-08-26,34.86,34.86,34.86,34.86,200,33.92
2014-08-25,34.79,34.79,34.79,34.79,000,33.85
2014-08-22,34.79,34.79,34.79,34.79,000,33.85
2014-08-21,34.79,34.79,34.79,34.79,000,33.85
2014-08-20,34.79,34.79,34.79,34.79,000,33.85
2014-08-19,34.79,34.79,34.79,34.79,000,33.85
2014-08-18,34.79,34.79,34.79,34.79,000,33.85
2014-08-15,34.79,34.79,34.79,34.79,000,33.85
2014-08-14,34.79,34.79,34.79,34.79,000,33.85
2014-08-13,34.79,34.79,34.79,34.79,000,33.85
2014-08-12,34.79,34.79,34.79,34.79,000,33.85
2014-08-11,34.79,34.79,34.79,34.79,000,33.85
2014-08-08,34.79,34.79,34.79,34.79,000,33.85
2014-08-07,34.79,34.79,34.79,34.79,000,33.85
2014-08-06,34.79,34.79,34.79,34.79,000,33.85
2014-08-05,34.79,34.79,34.79,34.79,000,33.85
2014-08-04,34.80,34.80,34.79,34.79,200,33.85
2014-08-01,35.50,35.50,35.50,35.50,000,34.54
2014-07-31,35.50,35.50,35.50,35.50,000,34.54
2014-07-30,35.50,35.50,35.50,35.50,200,34.54
2014-07-29,35.54,35.88,35.51,35.88,400,34.91
2014-07-28,36.69,36.69,36.69,36.69,200,35.70
2014-07-25,37.44,37.44,37.44,37.44,000,36.43
2014-07-24,37.44,37.44,37.44,37.44,000,36.43
2014-07-23,37.44,37.44,37.44,37.44,000,36.43
2014-07-22,37.44,37.44,37.44,37.44,200,36.43
2014-07-21,37.44,37.44,37.44,37.44,200,36.43
2014-07-18,46.80,46.80,46.80,46.80,000,45.54
2014-07-17,46.80,46.80,46.80,46.80,000,45.54
2014-07-16,46.80,46.80,46.80,46.80,000,45.54
2014-07-15,46.80,46.80,46.80,46.80,000,45.54
2014-07-14,46.80,46.80,46.80,46.80,400,45.54
2014-07-11,36.57,36.57,36.57,36.57,000,35.59
2014-07-10,36.57,36.57,36.57,36.57,000,35.59
2014-07-09,36.57,36.57,36.57,36.57,000,35.59
2014-07-08,35.85,36.57,35.85,36.57,400,35.59
2014-07-07,33.19,33.19,33.19,33.19,000,32.30
2014-07-03,33.19,33.19,33.19,33.19,000,32.30
2014-07-02,33.19,33.19,33.19,33.19,200,32.30
2014-07-01,33.19,33.19,33.19,33.19,600,32.30
2014-06-30,33.87,33.87,33.87,33.87,400,32.96
2014-06-27,32.57,33.23,32.52,33.23,1300,32.34
2014-06-26,31.27,31.95,30.68,31.95,600,31.09
2014-06-25,30.68,30.68,30.68,30.68,000,29.85
