Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,11.87,12.16,11.87,12.16,200,12.16
2015-02-12,11.95,12.03,11.95,12.03,500,12.03
2015-02-11,12.00,12.00,11.77,12.00,2800,12.00
2015-02-10,12.12,12.12,12.00,12.00,1200,12.00
2015-02-09,12.00,12.15,12.00,12.12,3500,12.12
2015-02-06,12.00,12.01,12.00,12.01,700,12.01
2015-02-05,12.00,12.00,12.00,12.00,7800,12.00
2015-02-04,12.00,12.00,11.75,11.75,500,11.75
2015-02-03,11.98,12.00,11.91,12.00,1300,12.00
2015-02-02,11.80,11.80,11.80,11.80,100,11.80
2015-01-30,11.70,11.70,11.70,11.70,10400,11.70
2015-01-29,11.76,11.76,11.76,11.76,000,11.76
2015-01-28,11.76,11.76,11.76,11.76,000,11.76
2015-01-27,11.76,11.76,11.76,11.76,000,11.76
2015-01-26,11.73,12.00,11.73,11.76,2500,11.76
2015-01-23,11.68,11.89,11.68,11.76,2400,11.76
2015-01-22,11.97,12.00,11.55,12.00,7700,12.00
2015-01-21,11.80,11.98,11.80,11.90,3400,11.90
2015-01-20,11.82,11.98,11.82,11.98,1200,11.98
2015-01-16,11.82,11.90,11.81,11.88,29200,11.88
2015-01-15,11.95,11.95,11.93,11.95,800,11.95
2015-01-14,11.80,11.80,11.80,11.80,300,11.80
2015-01-13,11.95,11.95,11.95,11.95,100,11.95
2015-01-12,11.94,11.94,11.94,11.94,100,11.94
2015-01-09,11.83,11.83,11.83,11.83,000,11.83
2015-01-08,11.95,11.95,11.69,11.83,700,11.83
2015-01-07,11.95,11.95,11.95,11.95,100,11.95
2015-01-06,11.69,11.95,11.69,11.90,4200,11.90
2015-01-05,11.71,11.95,11.69,11.95,6800,11.95
2015-01-02,11.65,11.70,11.65,11.70,400,11.70
2014-12-31,11.90,11.90,11.63,11.63,600,11.63
2014-12-30,11.93,11.93,11.73,11.73,500,11.73
2014-12-29,11.79,11.95,11.78,11.95,3500,11.95
2014-12-26,11.95,11.95,11.95,11.95,200,11.95
2014-12-24,11.87,11.96,11.55,11.56,3100,11.56
2014-12-23,11.76,11.92,11.76,11.92,1800,11.92
2014-12-22,12.01,12.02,11.53,11.53,6000,11.53
2014-12-19,11.50,12.28,11.31,12.00,10900,12.00
2014-12-18,11.51,11.69,11.51,11.52,2500,11.52
2014-12-17,11.41,11.62,11.41,11.53,3500,11.53
2014-12-16,11.45,11.68,11.44,11.44,2500,11.44
2014-12-15,11.67,11.70,11.42,11.49,3100,11.49
2014-12-12,11.45,11.46,11.41,11.46,700,11.46
2014-12-11,11.70,11.70,11.29,11.37,500,11.37
2014-12-10,11.57,11.63,11.57,11.61,600,11.61
2014-12-09,11.27,11.76,11.27,11.49,1000,11.49
2014-12-08,12.25,12.25,12.05,12.11,2100,12.11
2014-12-05,12.45,12.45,12.08,12.11,1600,12.11
2014-12-04,12.06,12.42,12.06,12.19,2500,12.19
2014-12-03,12.15,12.15,12.15,12.15,700,12.15
2014-12-02,12.06,12.06,12.06,12.06,1400,12.06
2014-12-01,12.41,12.41,12.41,12.41,000,12.41
2014-11-28,12.41,12.41,12.41,12.41,100,12.41
2014-11-26,12.10,12.27,12.10,12.26,24000,12.26
2014-11-25,12.15,12.20,12.15,12.20,5000,12.20
2014-11-24,12.18,12.18,12.18,12.18,000,12.18
2014-11-21,12.18,12.18,12.18,12.18,000,12.12
2014-11-20,12.05,12.18,12.00,12.18,23800,12.12
2014-11-19,12.00,12.04,12.00,12.04,1100,11.98
2014-11-18,12.02,12.07,12.02,12.07,2400,12.01
2014-11-17,12.04,12.04,12.01,12.01,300,11.95
2014-11-14,12.04,12.04,12.01,12.01,400,11.95
2014-11-13,12.00,12.04,11.94,12.04,2800,11.98
2014-11-12,12.06,12.06,12.00,12.00,300,11.94
2014-11-11,12.05,12.06,12.04,12.04,1400,11.98
2014-11-10,12.04,12.10,11.81,12.06,11000,12.00
2014-11-07,12.03,12.10,11.87,11.87,2000,11.81
2014-11-06,12.00,12.04,12.00,12.04,3600,11.98
2014-11-05,12.01,12.02,11.94,12.02,2700,11.96
2014-11-04,11.97,12.01,11.97,12.00,1100,11.94
2014-11-03,11.96,11.96,11.96,11.96,2100,11.90
2014-10-31,11.96,11.96,11.94,11.94,2500,11.88
2014-10-30,11.58,11.81,11.58,11.81,500,11.75
2014-10-29,11.75,11.75,11.74,11.75,2100,11.69
2014-10-28,11.70,11.75,11.53,11.65,47100,11.59
2014-10-27,11.53,11.74,11.53,11.70,2300,11.64
2014-10-24,11.53,11.75,11.53,11.73,2800,11.67
2014-10-23,11.57,11.73,11.52,11.54,6800,11.48
2014-10-22,11.52,11.52,11.52,11.52,000,11.46
2014-10-21,11.74,11.75,11.52,11.52,4000,11.46
2014-10-20,11.54,11.75,11.50,11.71,4500,11.65
2014-10-17,11.75,11.75,11.73,11.73,3100,11.67
2014-10-16,11.48,11.75,11.48,11.75,4100,11.69
2014-10-15,11.52,11.75,11.35,11.75,10400,11.69
2014-10-14,11.56,11.75,11.54,11.65,7100,11.59
2014-10-13,11.75,11.75,11.58,11.58,11300,11.52
2014-10-10,11.78,11.78,11.56,11.56,600,11.50
2014-10-09,11.58,11.80,11.53,11.80,11100,11.74
2014-10-08,11.61,12.04,11.61,11.97,2400,11.91
2014-10-07,11.88,12.02,11.60,11.60,5800,11.54
2014-10-06,11.80,11.98,11.80,11.97,5500,11.91
2014-10-03,11.82,11.84,11.56,11.84,300,11.78
2014-10-02,11.56,11.95,11.56,11.95,3400,11.89
2014-10-01,11.90,11.95,11.51,11.77,10700,11.71
2014-09-30,11.72,11.95,11.72,11.95,2300,11.89
2014-09-29,11.94,11.94,11.94,11.94,000,11.88
2014-09-26,11.52,11.95,11.48,11.94,3400,11.88
2014-09-25,11.89,11.89,11.70,11.77,47300,11.71
2014-09-24,11.67,11.67,11.67,11.67,000,11.61
2014-09-23,11.67,11.67,11.67,11.67,000,11.61
2014-09-22,11.74,11.87,11.67,11.67,2600,11.61
2014-09-19,11.94,11.95,11.60,11.60,13300,11.54
2014-09-18,11.73,11.95,11.73,11.93,4500,11.87
2014-09-17,11.92,11.93,11.60,11.79,9200,11.73
2014-09-16,11.92,11.92,11.74,11.84,5300,11.78
2014-09-15,11.77,11.94,11.53,11.85,11700,11.79
2014-09-12,11.90,11.95,11.62,11.94,7200,11.88
2014-09-11,11.78,11.99,11.54,11.79,55300,11.73
2014-09-10,11.98,11.98,11.40,11.76,43200,11.70
2014-09-09,11.95,12.01,11.81,12.01,8500,11.95
2014-09-08,11.94,11.99,11.84,11.85,4700,11.79
2014-09-05,11.72,11.72,11.64,11.72,400,11.66
2014-09-04,11.94,11.97,11.70,11.90,4800,11.84
2014-09-03,11.68,11.94,11.68,11.90,4800,11.84
2014-09-02,11.67,11.82,11.67,11.82,300,11.76
2014-08-29,11.97,11.97,11.65,11.67,2300,11.61
2014-08-28,11.55,11.89,11.55,11.80,15100,11.74
2014-08-27,11.88,11.88,11.88,11.88,100,11.82
2014-08-26,11.80,11.89,11.80,11.89,2100,11.83
2014-08-25,11.72,11.89,11.70,11.80,2900,11.74
2014-08-22,11.99,11.99,11.72,11.72,2100,11.66
2014-08-21,11.94,12.00,11.87,12.00,7500,11.94
2014-08-20,11.93,11.93,11.68,11.68,1700,11.62
2014-08-19,11.74,11.75,11.43,11.43,3800,11.37
2014-08-18,11.73,11.73,11.55,11.55,2100,11.49
2014-08-15,11.45,11.73,11.40,11.73,4300,11.67
2014-08-14,11.75,11.75,11.47,11.72,13800,11.66
2014-08-13,11.85,11.85,11.70,11.70,1500,11.64
2014-08-12,11.75,11.77,11.75,11.75,53800,11.69
2014-08-11,11.75,11.83,11.65,11.75,14600,11.69
2014-08-08,11.94,11.94,11.61,11.63,1800,11.57
2014-08-07,11.92,11.92,11.92,11.92,1500,11.86
2014-08-06,11.80,11.80,11.80,11.80,4200,11.74
2014-08-05,11.89,11.89,11.80,11.88,1300,11.82
2014-08-04,11.90,11.90,11.80,11.86,3500,11.80
2014-08-01,11.84,11.84,11.80,11.82,1500,11.76
2014-07-31,11.95,11.95,11.85,11.95,2100,11.83
2014-07-30,11.80,11.95,11.80,11.95,1300,11.83
2014-07-29,11.80,11.88,11.80,11.88,1400,11.76
2014-07-28,11.95,11.95,11.81,11.82,4700,11.70
2014-07-25,11.91,11.91,11.91,11.91,000,11.79
2014-07-24,11.91,11.91,11.91,11.91,000,11.79
2014-07-23,12.01,12.01,11.91,11.91,26700,11.79
2014-07-22,12.00,12.05,11.91,12.05,5100,11.93
2014-07-21,11.90,12.05,11.90,12.01,6200,11.89
2014-07-18,12.07,12.07,12.07,12.07,000,11.95
2014-07-17,12.02,12.07,12.02,12.07,1000,11.95
2014-07-16,11.70,12.58,11.70,12.04,9100,11.92
2014-07-15,11.75,11.75,11.75,11.75,000,11.63
2014-07-14,11.74,11.75,11.74,11.75,900,11.63
2014-07-11,11.65,11.77,11.64,11.75,1000,11.63
2014-07-10,11.65,11.98,11.65,11.75,64500,11.63
2014-07-09,11.60,11.75,11.60,11.71,5600,11.59
2014-07-08,11.60,11.60,11.60,11.60,10900,11.48
2014-07-07,11.61,11.67,11.60,11.60,19400,11.48
2014-07-03,11.68,11.68,11.60,11.60,300,11.48
2014-07-02,11.77,11.77,11.77,11.77,000,11.65
2014-07-01,11.78,11.78,11.77,11.77,1100,11.65
2014-06-30,11.96,11.96,11.76,11.76,29800,11.64
2014-06-27,11.79,12.00,11.79,12.00,5100,11.88
2014-06-26,11.97,11.99,11.78,11.79,2400,11.67
2014-06-25,11.57,11.90,11.57,11.75,5700,11.63
2014-06-24,11.75,11.75,11.56,11.58,98000,11.47
2014-06-23,11.75,11.75,11.53,11.53,107300,11.42
2014-06-20,11.75,11.75,11.47,11.75,11000,11.63
2014-06-19,11.50,11.75,11.49,11.72,6500,11.60
2014-06-18,11.45,11.57,11.45,11.57,4200,11.46
2014-06-17,11.37,11.40,11.35,11.40,6100,11.29
2014-06-16,11.32,11.38,11.31,11.35,1400,11.24
2014-06-13,11.33,11.36,11.33,11.33,900,11.22
2014-06-12,11.35,11.57,11.35,11.37,1200,11.26
2014-06-11,11.25,11.36,11.25,11.36,2900,11.25
2014-06-10,11.30,11.50,11.30,11.48,5000,11.37
2014-06-09,11.25,11.38,11.10,11.30,30800,11.19
2014-06-06,11.01,11.25,11.00,11.25,18800,11.14
2014-06-05,11.00,11.00,10.99,11.00,1800,10.89
2014-06-04,10.97,10.98,10.86,10.91,7500,10.80
2014-06-03,11.09,11.09,11.09,11.09,000,10.98
2014-06-02,11.09,11.09,11.09,11.09,000,10.98
2014-05-30,11.08,11.09,11.07,11.09,1800,10.98
2014-05-29,11.00,11.02,10.86,10.90,5000,10.79
2014-05-28,10.71,10.87,10.66,10.85,3400,10.74
2014-05-27,11.01,11.01,11.01,11.01,000,10.90
2014-05-23,11.06,11.09,11.00,11.01,2900,10.90
2014-05-22,10.88,10.96,10.68,10.96,1500,10.85
2014-05-21,10.79,10.92,10.79,10.91,1800,10.80
2014-05-20,10.87,10.87,10.78,10.78,800,10.67
