Date,Open,High,Low,Close,Volume,Adj Close
2015-02-13,24.43,24.94,24.12,24.47,712000,24.47
2015-02-12,24.19,24.34,23.98,24.29,907600,24.29
2015-02-11,24.21,24.49,24.00,24.19,272900,24.19
2015-02-10,24.00,24.36,23.87,24.29,451600,24.29
2015-02-09,24.22,24.57,23.72,24.03,467800,24.03
2015-02-06,24.41,24.83,24.05,24.16,595000,24.16
2015-02-05,24.00,24.58,23.68,24.54,1057000,24.54
2015-02-04,23.66,24.16,23.54,23.96,1102400,23.96
2015-02-03,23.75,24.04,23.33,24.04,922800,24.04
2015-02-02,23.33,23.85,23.14,23.63,1434800,23.63
2015-01-30,23.91,24.21,23.60,23.74,829900,23.74
2015-01-29,23.13,24.26,23.02,24.08,1340800,24.08
2015-01-28,23.13,24.50,23.11,23.25,1881100,23.25
2015-01-27,23.70,24.25,22.33,23.57,3022900,23.57
2015-01-26,23.76,24.72,23.74,23.86,2343500,23.86
2015-01-23,24.36,24.40,23.65,23.85,6471100,23.85
2015-01-22,24.09,25.37,23.94,24.67,1868400,24.67
2015-01-21,23.55,24.00,23.44,23.90,1713700,23.90
2015-01-20,24.30,24.30,23.46,23.59,3415400,23.59
2015-01-16,23.72,24.29,23.20,23.98,5379500,23.98
